direction,abs_tau,flip_pos,flip_neg,k_pos,k_neg,n_yesno,asym,fisher_p,holm_p,sig_holm,nonmono_pos,nonmono_neg,incoh_pos,incoh_neg,incoh_base,classification,sig_at_min_mag,saturated
mag_resid_pc1,0.3,0.9583333333333334,0.0,23,0,24,0.9583333333333334,1.5505028060799287e-12,2.1707039285119e-11,True,False,False,0.09375,0.3125,0.15625,directional,True,False
mag_resid_pc1,1.0,1.0,0.4166666666666667,24,10,24,0.5833333333333333,8.132581961041671e-06,9.759098353250006e-05,True,False,False,0.03125,0.21875,0.15625,directional,True,False
mag_u_Answered,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.15625,0.21875,0.15625,inert,False,True
mag_u_Answered,1.0,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.15625,0.375,0.15625,inert,False,True
mag_u_FewShot,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.125,0.1875,0.15625,directional,False,False
mag_u_FewShot,1.0,0.3333333333333333,0.0,8,0,24,0.3333333333333333,0.0038980943990538364,0.038980943990538364,True,False,False,0.3125,0.125,0.15625,directional,False,False
mag_u_Prefixed,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.15625,0.28125,0.15625,directional,False,True
mag_u_Prefixed,1.0,1.0,0.0,24,0,24,1.0,6.202011224319716e-14,1.116362020377549e-12,True,False,False,0.0625,0.3125,0.15625,directional,False,True
mag_u_QuestionDelta,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.15625,0.28125,0.15625,directional,False,True
mag_u_QuestionDelta,1.0,1.0,0.0,24,0,24,1.0,6.202011224319716e-14,1.116362020377549e-12,True,False,False,0.0625,0.3125,0.15625,directional,False,True
mag_u_gold,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.125,0.15625,0.15625,directional,False,True
mag_u_gold,1.0,0.0,1.0,0,24,24,1.0,6.202011224319716e-14,1.116362020377549e-12,True,False,False,0.25,0.1875,0.15625,directional,False,True
mag_u_yM,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.09375,0.125,0.15625,directional,False,False
mag_u_yM,1.0,0.5,0.0,12,0,24,0.5,7.762919144630687e-05,0.0008539211059093756,True,False,False,0.03125,0.15625,0.15625,directional,False,False
sup_grad,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.15625,0.1875,0.15625,directional,False,False
sup_grad,1.0,0.8333333333333334,0.0416666666666666,20,1,24,0.7916666666666667,2.303892119554166e-08,2.9950597554204155e-07,True,False,False,0.15625,0.25,0.15625,directional,False,False
sup_mean_diff,0.3,0.0,0.0,0,0,24,0.0,1.0,1.0,False,False,False,0.15625,0.15625,0.15625,directional,False,True
sup_mean_diff,1.0,0.0,1.0,0,24,24,1.0,6.202011224319716e-14,1.116362020377549e-12,True,False,False,0.3125,0.25,0.15625,directional,False,True
