direction,false_rate,incoh_rate,true_rate,n,arm,abs_mag,signed_mag,prompt_set,rel_mag,layer,h_src_median
mag_resid_pc1,0.25,0.21875,0.53125,32,naive,118.17029571533203,-118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_resid_pc1,0.0,0.3125,0.6875,32,naive,35.45108871459961,-35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_resid_pc1,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
mag_resid_pc1,0.03125,0.09375,0.875,32,naive,35.45108871459961,35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_resid_pc1,0.0,0.03125,0.96875,32,naive,118.17029571533203,118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_Answered,0.1875,0.375,0.4375,32,naive,118.17029571533203,-118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_Answered,0.03125,0.21875,0.75,32,naive,35.45108871459961,-35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_Answered,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
mag_u_Answered,0.0,0.15625,0.84375,32,naive,35.45108871459961,35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_Answered,0.09375,0.15625,0.75,32,naive,118.17029571533203,118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_FewShot,0.1875,0.125,0.6875,32,naive,118.17029571533203,-118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_FewShot,0.0625,0.1875,0.75,32,naive,35.45108871459961,-35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_FewShot,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
mag_u_FewShot,0.09375,0.125,0.78125,32,naive,35.45108871459961,35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_FewShot,0.15625,0.3125,0.53125,32,naive,118.17029571533203,118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_Prefixed,0.125,0.3125,0.5625,32,naive,118.17029571533203,-118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_Prefixed,0.03125,0.28125,0.6875,32,naive,35.45108871459961,-35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_Prefixed,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
mag_u_Prefixed,0.0,0.15625,0.84375,32,naive,35.45108871459961,35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_Prefixed,0.09375,0.0625,0.84375,32,naive,118.17029571533203,118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_QuestionDelta,0.125,0.3125,0.5625,32,naive,118.17029571533203,-118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_QuestionDelta,0.03125,0.28125,0.6875,32,naive,35.45108871459961,-35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_QuestionDelta,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
mag_u_QuestionDelta,0.0,0.15625,0.84375,32,naive,35.45108871459961,35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_QuestionDelta,0.09375,0.0625,0.84375,32,naive,118.17029571533203,118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_gold,0.15625,0.1875,0.65625,32,naive,118.17029571533203,-118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_gold,0.03125,0.15625,0.8125,32,naive,35.45108871459961,-35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_gold,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
mag_u_gold,0.125,0.125,0.75,32,naive,35.45108871459961,35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_gold,0.1875,0.25,0.5625,32,naive,118.17029571533203,118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_yM,0.21875,0.15625,0.625,32,naive,118.17029571533203,-118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
mag_u_yM,0.0625,0.125,0.8125,32,naive,35.45108871459961,-35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_yM,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
mag_u_yM,0.125,0.09375,0.78125,32,naive,35.45108871459961,35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
mag_u_yM,0.0625,0.03125,0.90625,32,naive,118.17029571533203,118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
sup_grad,0.03125,0.25,0.71875,32,naive,118.17029571533203,-118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
sup_grad,0.03125,0.1875,0.78125,32,naive,35.45108871459961,-35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
sup_grad,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
sup_grad,0.0,0.15625,0.84375,32,naive,35.45108871459961,35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
sup_grad,0.125,0.15625,0.71875,32,naive,118.17029571533203,118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
sup_mean_diff,0.15625,0.25,0.59375,32,naive,118.17029571533203,-118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
sup_mean_diff,0.03125,0.15625,0.8125,32,naive,35.45108871459961,-35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
sup_mean_diff,0.03125,0.15625,0.8125,32,naive,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
sup_mean_diff,0.125,0.15625,0.71875,32,naive,35.45108871459961,35.45108871459961,FACTUAL_32,0.2343390409085241,13,151.28118890116218
sup_mean_diff,0.15625,0.3125,0.53125,32,naive,118.17029571533203,118.17029571533203,FACTUAL_32,0.7811301363617471,13,151.28118890116218
jtw_mean_diff_tgt,0.03125,0.1875,0.78125,32,reach_mean,21.377463444595527,-21.377463444595527,FACTUAL_32,0.1413094621999715,13,151.28118890116218
jtw_mean_diff_tgt,0.03125,0.1875,0.78125,32,reach_mean,16.033097583446647,-16.033097583446647,FACTUAL_32,0.10598209664997865,13,151.28118890116218
jtw_mean_diff_tgt,0.03125,0.15625,0.8125,32,reach_mean,10.688731722297764,-10.688731722297764,FACTUAL_32,0.07065473109998575,13,151.28118890116218
jtw_mean_diff_tgt,0.0,0.15625,0.84375,32,reach_mean,5.344365861148882,-5.344365861148882,FACTUAL_32,0.03532736554999288,13,151.28118890116218
jtw_mean_diff_tgt,0.03125,0.15625,0.8125,32,reach_mean,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
jtw_mean_diff_tgt,0.0625,0.1875,0.75,32,reach_mean,5.344365861148882,5.344365861148882,FACTUAL_32,0.03532736554999288,13,151.28118890116218
jtw_mean_diff_tgt,0.09375,0.21875,0.6875,32,reach_mean,10.688731722297764,10.688731722297764,FACTUAL_32,0.07065473109998575,13,151.28118890116218
jtw_mean_diff_tgt,0.125,0.0625,0.8125,32,reach_mean,16.033097583446647,16.033097583446647,FACTUAL_32,0.10598209664997865,13,151.28118890116218
jtw_mean_diff_tgt,0.15625,0.09375,0.75,32,reach_mean,21.377463444595527,21.377463444595527,FACTUAL_32,0.1413094621999715,13,151.28118890116218
jtw_probe_grad_tgt,0.03125,0.15625,0.8125,32,reach_mean,4.191524305384826,-4.191524305384826,FACTUAL_32,0.027706844028858802,13,151.28118890116218
jtw_probe_grad_tgt,0.03125,0.15625,0.8125,32,reach_mean,3.1436432290386196,-3.1436432290386196,FACTUAL_32,0.020780133021644102,13,151.28118890116218
jtw_probe_grad_tgt,0.03125,0.15625,0.8125,32,reach_mean,2.095762152692413,-2.095762152692413,FACTUAL_32,0.013853422014429401,13,151.28118890116218
jtw_probe_grad_tgt,0.03125,0.15625,0.8125,32,reach_mean,1.0478810763462063,-1.0478810763462063,FACTUAL_32,0.0069267110072147,13,151.28118890116218
jtw_probe_grad_tgt,0.03125,0.15625,0.8125,32,reach_mean,0.0,0.0,FACTUAL_32,0.0,13,151.28118890116218
jtw_probe_grad_tgt,0.03125,0.15625,0.8125,32,reach_mean,1.0478810763462063,1.0478810763462063,FACTUAL_32,0.0069267110072147,13,151.28118890116218
jtw_probe_grad_tgt,0.03125,0.15625,0.8125,32,reach_mean,2.095762152692413,2.095762152692413,FACTUAL_32,0.013853422014429401,13,151.28118890116218
jtw_probe_grad_tgt,0.03125,0.15625,0.8125,32,reach_mean,3.1436432290386196,3.1436432290386196,FACTUAL_32,0.020780133021644102,13,151.28118890116218
jtw_probe_grad_tgt,0.03125,0.15625,0.8125,32,reach_mean,4.191524305384826,4.191524305384826,FACTUAL_32,0.027706844028858802,13,151.28118890116218
jtw_stmt,0.05,0.11,0.84,200,reach_stmt,0.0,,STMT_200,0.0,13,151.28118890116218
