direction,scale,n_yesno,k_flip,flip_rate,k_parse_gain,k_flip_true,base_parse_rate,mean_d_margin,sd_d_margin,wilcoxon_p_raw,n_judged,k_false,k_incoh,false_rate,incoh_rate
baseline,0.0,24,0,0.0,0,0,0.0,0.0,0.0,1.0,32,1,5,0.03125,0.15625
jtw_mean_diff_tgt,-1.0,24,24,1.0,24,0,0.0,-0.13109816666666665,0.014524213401335586,1.1920928955078125e-07,32,4,21,0.125,0.65625
jtw_mean_diff_tgt,-0.82,24,21,0.875,21,0,0.0,-0.13188545833333334,0.01590260723490817,1.1920928955078125e-07,32,2,14,0.0625,0.4375
jtw_mean_diff_tgt,-0.66,24,24,1.0,24,0,0.0,-0.09664927499999999,0.01944803189868814,1.1920928955078125e-07,32,1,8,0.03125,0.25
jtw_mean_diff_tgt,-0.52,24,24,1.0,24,0,0.0,-0.05179280833333333,0.020901221230077042,1.1920928955078125e-07,32,2,5,0.0625,0.15625
jtw_mean_diff_tgt,-0.4,24,24,1.0,24,0,0.0,-0.014758884583333335,0.020787407183936474,0.0035042762756347656,32,1,4,0.03125,0.125
jtw_mean_diff_tgt,-0.3,24,24,1.0,24,0,0.0,0.010734845041666668,0.019616232023102583,0.016406655311584473,32,2,5,0.0625,0.15625
jtw_mean_diff_tgt,-0.22,24,21,0.875,21,0,0.0,0.030063823333333333,0.016429319842746055,5.960464477539062e-07,32,2,7,0.0625,0.21875
jtw_mean_diff_tgt,-0.15,24,8,0.3333333333333333,8,0,0.0,0.04024155833333334,0.01091027513800106,1.1920928955078125e-07,32,1,6,0.03125,0.1875
jtw_mean_diff_tgt,-0.08,24,0,0.0,0,0,0.0,0.025879870833333332,0.006582789926670722,1.1920928955078125e-07,32,1,6,0.03125,0.1875
jtw_mean_diff_tgt,-0.04,24,0,0.0,0,0,0.0,0.011002372916666668,0.003149736175960138,1.1920928955078125e-07,32,0,5,0.0,0.15625
jtw_mean_diff_tgt,-0.02,24,0,0.0,0,0,0.0,0.004741942916666667,0.0014519309288891936,1.1920928955078125e-07,32,1,5,0.03125,0.15625
jtw_mean_diff_tgt,-0.01,24,0,0.0,0,0,0.0,0.0021691287500000002,0.0006883173535091555,1.1920928955078125e-07,32,1,5,0.03125,0.15625
jtw_mean_diff_tgt,0.01,24,0,0.0,0,0,0.0,-0.0017634131666666667,0.0006063294265560571,1.1920928955078125e-07,32,1,5,0.03125,0.15625
jtw_mean_diff_tgt,0.02,24,0,0.0,0,0,0.0,-0.0031285362499999998,0.001128698076056667,1.1920928955078125e-07,32,1,7,0.03125,0.21875
jtw_mean_diff_tgt,0.04,24,0,0.0,0,0,0.0,-0.004700140833333333,0.0019340423380913125,1.1920928955078125e-07,32,2,6,0.0625,0.1875
jtw_mean_diff_tgt,0.08,24,0,0.0,0,0,0.0,-0.0030807614750000003,0.0028318125536615476,5.328655242919922e-05,32,3,6,0.09375,0.1875
jtw_mean_diff_tgt,0.15,24,0,0.0,0,0,0.0,0.021879629166666664,0.0076919964421796,1.1920928955078125e-07,32,4,2,0.125,0.0625
jtw_mean_diff_tgt,0.22,24,10,0.4166666666666667,10,0,0.0,0.0765075625,0.024663700902423074,1.1920928955078125e-07,32,4,1,0.125,0.03125
jtw_mean_diff_tgt,0.3,24,7,0.2916666666666667,7,0,0.0,0.07416607208333333,0.046121497226432086,1.1920928955078125e-07,32,1,3,0.03125,0.09375
jtw_mean_diff_tgt,0.4,24,2,0.08333333333333333,2,0,0.0,0.008935395462083334,0.03213088106123541,0.344876766204834,32,3,2,0.09375,0.0625
jtw_mean_diff_tgt,0.52,24,0,0.0,0,0,0.0,-0.034328635833333336,0.015667160174466267,1.1920928955078125e-07,32,6,5,0.1875,0.15625
jtw_mean_diff_tgt,0.66,24,0,0.0,0,0,0.0,-0.037959220833333335,0.014305308958351614,1.1920928955078125e-07,32,5,6,0.15625,0.1875
jtw_mean_diff_tgt,0.82,24,0,0.0,0,0,0.0,-0.03771652083333333,0.014261276175012596,1.1920928955078125e-07,32,6,12,0.1875,0.375
jtw_mean_diff_tgt,1.0,24,0,0.0,0,0,0.0,-0.03764676249999999,0.014269621302790567,1.1920928955078125e-07,32,5,20,0.15625,0.625
mag_resid_pc1,-1.0,24,4,0.16666666666666666,4,0,0.0,0.10595648208333334,0.17924486444682644,0.007189035415649414,32,13,8,0.40625,0.25
mag_resid_pc1,-0.82,24,12,0.5,12,0,0.0,0.35106802291666667,0.28385073655095405,8.344650268554688e-07,32,11,6,0.34375,0.1875
mag_resid_pc1,-0.66,24,0,0.0,0,0,0.0,0.046935290416666664,0.059583020406797,0.0008462667465209961,32,7,7,0.21875,0.21875
mag_resid_pc1,-0.52,24,0,0.0,0,0,0.0,-0.02096086541666667,0.010522482122174315,1.1920928955078125e-07,32,5,6,0.15625,0.1875
mag_resid_pc1,-0.4,24,0,0.0,0,0,0.0,-0.030660208333333338,0.010328729139255297,1.1920928955078125e-07,32,4,7,0.125,0.21875
mag_resid_pc1,-0.3,24,0,0.0,0,0,0.0,-0.031231737500000006,0.009681653131200292,1.1920928955078125e-07,32,3,5,0.09375,0.15625
mag_resid_pc1,-0.22,24,0,0.0,0,0,0.0,-0.028856179166666666,0.008264980036114618,1.1920928955078125e-07,32,0,9,0.0,0.28125
mag_resid_pc1,-0.15,24,0,0.0,0,0,0.0,-0.0247691375,0.006636612697545959,1.1920928955078125e-07,32,0,9,0.0,0.28125
mag_resid_pc1,-0.08,24,0,0.0,0,0,0.0,-0.01687069458333333,0.004075960658385231,1.1920928955078125e-07,32,1,7,0.03125,0.21875
mag_resid_pc1,-0.04,24,0,0.0,0,0,0.0,-0.00964850125,0.0021666415078788618,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_resid_pc1,-0.02,24,0,0.0,0,0,0.0,-0.00514236375,0.0011144844010682502,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,-0.01,24,0,0.0,0,0,0.0,-0.0026523458333333333,0.0005653775674401071,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,0.01,24,0,0.0,0,0,0.0,0.002818724166666667,0.0005831052277018176,1.1920928955078125e-07,32,1,6,0.03125,0.1875
mag_resid_pc1,0.02,24,0,0.0,0,0,0.0,0.00580842875,0.0011850785578925267,1.1920928955078125e-07,32,1,5,0.03125,0.15625
mag_resid_pc1,0.04,24,0,0.0,0,0,0.0,0.012330939166666666,0.002455889510797005,1.1920928955078125e-07,32,2,4,0.0625,0.125
mag_resid_pc1,0.08,24,0,0.0,0,0,0.0,0.027880720833333334,0.005333915577410127,1.1920928955078125e-07,32,0,5,0.0,0.15625
mag_resid_pc1,0.15,24,5,0.20833333333333334,5,0,0.0,0.06603559583333334,0.011769605271777814,1.1920928955078125e-07,32,0,4,0.0,0.125
mag_resid_pc1,0.22,24,21,0.875,21,0,0.0,0.11743135,0.020728653819332775,1.1920928955078125e-07,32,1,3,0.03125,0.09375
mag_resid_pc1,0.3,24,24,1.0,24,0,0.0,0.16270339583333335,0.0346723597512044,1.1920928955078125e-07,32,1,3,0.03125,0.09375
mag_resid_pc1,0.4,24,24,1.0,24,0,0.0,0.17026494583333332,0.0471103689883843,1.1920928955078125e-07,32,2,2,0.0625,0.0625
mag_resid_pc1,0.52,24,24,1.0,24,0,0.0,0.13131381583333332,0.05084880677477974,2.384185791015625e-07,32,2,2,0.0625,0.0625
mag_resid_pc1,0.66,24,24,1.0,24,0,0.0,0.05146566249999999,0.04408517219263887,3.6597251892089844e-05,32,1,1,0.03125,0.03125
mag_resid_pc1,0.82,24,24,1.0,24,0,0.0,-0.023055303333333332,0.033447136437211616,0.0020009279251098633,32,0,0,0.0,0.0
mag_resid_pc1,1.0,24,24,1.0,24,0,0.0,-0.0417785875,0.024669092347207554,1.1920928955078125e-06,32,2,0,0.0625,0.0
mag_u_gold,-1.0,24,3,0.125,3,0,0.0,-0.1401953375,0.019708999193346045,1.1920928955078125e-07,32,5,10,0.15625,0.3125
mag_u_gold,-0.82,24,24,1.0,24,0,0.0,-0.205461625,0.020987628952008227,1.1920928955078125e-07,32,6,7,0.1875,0.21875
mag_u_gold,-0.66,24,24,1.0,24,0,0.0,-0.2093190833333333,0.020521298558192964,1.1920928955078125e-07,32,4,6,0.125,0.1875
mag_u_gold,-0.52,24,24,1.0,24,0,0.0,-0.14623066666666665,0.021703980061102933,1.1920928955078125e-07,32,4,3,0.125,0.09375
mag_u_gold,-0.4,24,2,0.08333333333333333,2,0,0.0,-0.0623236375,0.016097801315000392,1.1920928955078125e-07,32,3,4,0.09375,0.125
mag_u_gold,-0.3,24,0,0.0,0,0,0.0,-0.0295079875,0.010264351824738416,1.1920928955078125e-07,32,1,5,0.03125,0.15625
