direction,scale,p_flip_vs_rand,p_false_vs_rand,p_incoh_vs_base,padj_flip_vs_rand,padj_false_vs_rand,padj_incoh_vs_base,moved,coherent,clean_window,flip_rate,k_flip_true,k_parse_gain,false_rate,incoh_rate,mean_d_margin
jtw_mean_diff_tgt,-1.0,1.0,0.05342972707500478,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.28125,0.1875,-0.014084696124999999
jtw_mean_diff_tgt,-0.82,1.0,0.006351445311097844,0.7629385355581229,1.0,0.7621734373317414,1.0,False,True,False,0.0,0,0,0.28125,0.125,-0.01924063166666667
jtw_mean_diff_tgt,-0.66,1.0,0.013239893286982388,0.9879133092525701,1.0,1.0,1.0,False,True,False,0.0,0,0,0.25,0.03125,-0.016011457416666666
jtw_mean_diff_tgt,-0.52,1.0,0.753968253968254,0.9879133092525701,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.03125,0.011027103658333334
jtw_mean_diff_tgt,-0.4,1.0,0.3064012490241998,1.0,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.0,0.04784829870833333
jtw_mean_diff_tgt,-0.3,0.7553191489361701,0.49999999999999994,0.9479021950541817,1.0,1.0,1.0,False,True,False,0.041666666666666664,0,1,0.09375,0.0625,0.05631328750000001
jtw_mean_diff_tgt,-0.22,1.0,0.8809523809523809,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.03177559291666667
jtw_mean_diff_tgt,-0.15,1.0,1.0,0.37498016799877926,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.21875,0.008688335291666667
jtw_mean_diff_tgt,-0.08,1.0,1.0,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.1875,-0.0016648495083333333
jtw_mean_diff_tgt,-0.04,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.0023160718291666666
jtw_mean_diff_tgt,-0.02,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.0014987893333333333
jtw_mean_diff_tgt,-0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.00083100125
jtw_mean_diff_tgt,0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.0009858473791666666
jtw_mean_diff_tgt,0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.0021165514625
jtw_mean_diff_tgt,0.04,1.0,1.0,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.125,0.00476442475
jtw_mean_diff_tgt,0.08,1.0,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,0.011180037916666668
jtw_mean_diff_tgt,0.15,1.0,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,0.023695908333333335
jtw_mean_diff_tgt,0.22,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,0.037398204166666664
jtw_mean_diff_tgt,0.3,0.11702127659574464,1.0,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.125,0,3,0.0,0.125,0.056604704166666665
jtw_mean_diff_tgt,0.4,0.0019490471995269184,1.0,0.7629385355581229,0.19685376715221875,1.0,1.0,False,True,False,0.3333333333333333,0,8,0.0,0.125,0.05715550375
jtw_mean_diff_tgt,0.52,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,0.008735139791666667
jtw_mean_diff_tgt,0.66,1.0,1.0,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.1875,-0.028520039166666667
jtw_mean_diff_tgt,0.82,1.0,0.9735883424408015,0.043932755709832697,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.375,-0.0376387
jtw_mean_diff_tgt,1.0,1.0,0.2370614644418771,0.0035006455394093737,1.0,1.0,0.4200774647291248,False,True,False,0.0,0,0,0.1875,0.5,-0.0377723625
mag_resid_pc1,-1.0,1.1519460597770828e-08,0.4999999999999999,0.37498016799877926,1.267140665754791e-06,1.0,1.0,True,True,True,0.8333333333333334,0,20,0.125,0.21875,0.0539737025
mag_resid_pc1,-0.82,0.002193664459386572,0.3064012490241998,0.49999999999999994,0.21936644593865717,1.0,1.0,False,True,False,0.9583333333333334,0,23,0.09375,0.1875,0.12979880416666667
mag_resid_pc1,-0.66,3.261730733038103e-07,0.753968253968254,0.37498016799877926,3.4248172696900076e-05,1.0,1.0,True,True,True,1.0,0,24,0.03125,0.21875,0.16176583749999998
mag_resid_pc1,-0.52,4.413885412967744e-05,0.753968253968254,0.8717406882028634,0.004546301975356776,1.0,1.0,True,True,True,0.875,0,21,0.03125,0.09375,0.12607974583333334
mag_resid_pc1,-0.4,0.9059046676562758,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.08333333333333333,0,2,0.03125,0.125,0.0762270625
mag_resid_pc1,-0.3,1.0,0.6935987509758001,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.15625,0.04769069583333333
mag_resid_pc1,-0.22,1.0,0.8809523809523809,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.03290449583333333
mag_resid_pc1,-0.15,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,0.022763737500000002
mag_resid_pc1,-0.08,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.011955887916666666
mag_resid_pc1,-0.04,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.00577403375
mag_resid_pc1,-0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.002821501666666667
mag_resid_pc1,-0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.0013932016666666665
mag_resid_pc1,0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.001356444791666667
mag_resid_pc1,0.02,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.0026748508333333336
mag_resid_pc1,0.04,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.0051980241666666665
mag_resid_pc1,0.08,1.0,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,-0.009804187083333334
mag_resid_pc1,0.15,1.0,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,-0.016591422916666664
mag_resid_pc1,0.22,1.0,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,-0.02169992083333333
mag_resid_pc1,0.3,1.0,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,-0.0250394125
mag_resid_pc1,0.4,1.0,0.6935987509758001,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.125,-0.024753408333333334
mag_resid_pc1,0.52,1.0,0.7871167917013986,0.8717406882028634,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.09375,-0.014396647541666668
mag_resid_pc1,0.66,8.154326832595258e-08,0.9879133092525701,0.9479021950541817,8.643586442550974e-06,1.0,1.0,True,True,True,0.7083333333333334,0,17,0.03125,0.0625,0.020920646666666667
mag_resid_pc1,0.82,1.7838534783949582e-09,0.9019635083819579,0.9479021950541817,1.9979158958023531e-07,1.0,1.0,True,True,True,0.9583333333333334,0,23,0.0625,0.0625,0.06248584166666666
mag_resid_pc1,1.0,0.0006744171912345118,0.822664584959667,0.6338596181023172,0.0687905535059202,1.0,1.0,False,True,False,0.9166666666666666,0,22,0.0625,0.15625,0.042546875000000005
mag_u_gold,-1.0,1.7892802382162378e-11,0.3539230358010428,0.267820311997733,2.0755650763308358e-09,1.0,1.0,True,True,True,0.9583333333333334,0,23,0.15625,0.25,0.08775782916666668
mag_u_gold,-0.82,0.9792682043549683,0.5,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.3333333333333333,0,8,0.0625,0.15625,0.06647969166666667
mag_u_gold,-0.66,1.0,0.3064012490241998,0.8717406882028634,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.09375,0.025114712083333334
mag_u_gold,-0.52,1.0,0.5,0.8717406882028634,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.09375,-0.007212904583333333
