direction,scale,p_flip_vs_rand,p_false_vs_rand,p_incoh_vs_base,padj_flip_vs_rand,padj_false_vs_rand,padj_incoh_vs_base,moved,coherent,clean_window,flip_rate,k_flip_true,k_parse_gain,false_rate,incoh_rate,mean_d_margin
jtw_mean_diff_tgt,-1.0,3.101005612159858e-14,0.7629385355581229,4.728845517581327e-05,3.7212067345918295e-12,1.0,0.005674614621097592,True,False,False,1.0,0,24,0.125,0.65625,-0.13109816666666665
jtw_mean_diff_tgt,-0.82,9.070441415567581e-11,0.6935987509758001,0.013596129808827278,9.161145829723257e-09,1.0,1.0,True,True,True,0.875,0,21,0.0625,0.4375,-0.13188545833333334
jtw_mean_diff_tgt,-0.66,3.101005612159858e-14,0.8809523809523809,0.267820311997733,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.03125,0.25,-0.09664927499999999
jtw_mean_diff_tgt,-0.52,3.101005612159858e-14,0.5,0.6338596181023172,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.0625,0.15625,-0.05179280833333333
jtw_mean_diff_tgt,-0.4,3.101005612159858e-14,0.753968253968254,0.7629385355581229,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.03125,0.125,-0.014758884583333335
jtw_mean_diff_tgt,-0.3,3.101005612159858e-14,0.5,0.6338596181023172,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.0625,0.15625,0.010734845041666668
jtw_mean_diff_tgt,-0.22,9.070441415567581e-11,0.24603174603174596,0.37498016799877926,9.161145829723257e-09,1.0,1.0,True,True,True,0.875,0,21,0.0625,0.21875,0.030063823333333333
jtw_mean_diff_tgt,-0.15,0.0019490471995269184,0.5,0.49999999999999994,0.18515948395505724,1.0,1.0,False,True,False,0.3333333333333333,0,8,0.03125,0.1875,0.04024155833333334
jtw_mean_diff_tgt,-0.08,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.025879870833333332
jtw_mean_diff_tgt,-0.04,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,0.011002372916666668
