arm,direction,scale,n,frac_true,frac_false,frac_incoherent,hardened
mean,jtw_mean_diff_tgt,-5.604518778126244,32,0.7812,0.0312,0.1875,0
mean,jtw_mean_diff_tgt,-4.203389083594683,32,0.7812,0.0312,0.1875,0
mean,jtw_mean_diff_tgt,-2.802259389063122,32,0.7812,0.0312,0.1875,0
mean,jtw_mean_diff_tgt,-1.401129694531561,32,0.8125,0.0312,0.1562,0
mean,jtw_mean_diff_tgt,0.0,32,0.8125,0.0312,0.1562,0
mean,jtw_mean_diff_tgt,1.401129694531561,32,0.8125,0.0312,0.1562,0
mean,jtw_mean_diff_tgt,2.802259389063122,32,0.8125,0.0312,0.1562,0
mean,jtw_mean_diff_tgt,4.203389083594683,32,0.8438,0.0312,0.1250,0
mean,jtw_mean_diff_tgt,5.604518778126244,32,0.8750,0.0000,0.1250,0
mean,jtw_mean_diff_tgt,-5.604518778126244,26,0.9615,0.0000,0.0385,1
mean,jtw_mean_diff_tgt,-4.203389083594683,26,0.9615,0.0000,0.0385,1
mean,jtw_mean_diff_tgt,-2.802259389063122,26,0.9615,0.0000,0.0385,1
mean,jtw_mean_diff_tgt,-1.401129694531561,26,1.0000,0.0000,0.0000,1
mean,jtw_mean_diff_tgt,0.0,26,1.0000,0.0000,0.0000,1
mean,jtw_mean_diff_tgt,1.401129694531561,26,1.0000,0.0000,0.0000,1
mean,jtw_mean_diff_tgt,2.802259389063122,26,1.0000,0.0000,0.0000,1
mean,jtw_mean_diff_tgt,4.203389083594683,26,1.0000,0.0000,0.0000,1
mean,jtw_mean_diff_tgt,5.604518778126244,26,1.0000,0.0000,0.0000,1
stmt,jtw_stmt,-18.199789033289175,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.652358869736585,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.337361228270469,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.060540578910105,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-13.910914904045892,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-13.729911240152914,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-13.602392024599053,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-13.378217442731149,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-12.684050795544517,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-12.642687555594465,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.526857679543063,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.355401143841348,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-12.148053567717396,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-12.04410881883858,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-11.946753210679349,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-11.915552603548907,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.85041790641311,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-11.74868179968682,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-11.659792031790579,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-11.533903842008407,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.055058588271566,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.99299088276094,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.988147242908884,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-10.75175390334087,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.626497769325528,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.174839723183366,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.117176981996824,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-9.845229589323,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-9.697446481198135,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-9.33898558967036,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-9.324025552395547,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-9.317500218878367,1,0.0000,0.0000,1.0000,0
