arm,direction,scale,n,frac_true,frac_false,frac_incoherent,hardened
mean,jtw_mean_diff_tgt,-21.377463444595527,32,0.7812,0.0312,0.1875,0
mean,jtw_mean_diff_tgt,-16.033097583446647,32,0.7812,0.0312,0.1875,0
mean,jtw_mean_diff_tgt,-10.688731722297764,32,0.8125,0.0312,0.1562,0
mean,jtw_mean_diff_tgt,-5.344365861148882,32,0.8438,0.0000,0.1562,0
mean,jtw_mean_diff_tgt,0.0,32,0.8125,0.0312,0.1562,0
mean,jtw_mean_diff_tgt,5.344365861148882,32,0.7500,0.0625,0.1875,0
mean,jtw_mean_diff_tgt,10.688731722297764,32,0.6875,0.0938,0.2188,0
mean,jtw_mean_diff_tgt,16.033097583446647,32,0.8125,0.1250,0.0625,0
mean,jtw_mean_diff_tgt,21.377463444595527,32,0.7500,0.1562,0.0938,0
mean,jtw_probe_grad_tgt,-4.191524305384826,32,0.8125,0.0312,0.1562,0
mean,jtw_probe_grad_tgt,-3.1436432290386196,32,0.8125,0.0312,0.1562,0
mean,jtw_probe_grad_tgt,-2.095762152692413,32,0.8125,0.0312,0.1562,0
mean,jtw_probe_grad_tgt,-1.0478810763462065,32,0.8125,0.0312,0.1562,0
mean,jtw_probe_grad_tgt,0.0,32,0.8125,0.0312,0.1562,0
mean,jtw_probe_grad_tgt,1.0478810763462065,32,0.8125,0.0312,0.1562,0
mean,jtw_probe_grad_tgt,2.095762152692413,32,0.8125,0.0312,0.1562,0
mean,jtw_probe_grad_tgt,3.1436432290386196,32,0.8125,0.0312,0.1562,0
mean,jtw_probe_grad_tgt,4.191524305384826,32,0.8125,0.0312,0.1562,0
mean,jtw_mean_diff_tgt,-21.377463444595527,26,0.9231,0.0385,0.0385,1
mean,jtw_mean_diff_tgt,-16.033097583446647,26,0.9231,0.0385,0.0385,1
mean,jtw_mean_diff_tgt,-10.688731722297764,26,0.9615,0.0385,0.0000,1
mean,jtw_mean_diff_tgt,-5.344365861148882,26,1.0000,0.0000,0.0000,1
mean,jtw_mean_diff_tgt,0.0,26,1.0000,0.0000,0.0000,1
mean,jtw_mean_diff_tgt,5.344365861148882,26,0.8846,0.0385,0.0769,1
mean,jtw_mean_diff_tgt,10.688731722297764,26,0.8077,0.0769,0.1154,1
mean,jtw_mean_diff_tgt,16.033097583446647,26,0.8846,0.1154,0.0000,1
mean,jtw_mean_diff_tgt,21.377463444595527,26,0.8077,0.1538,0.0385,1
mean,jtw_probe_grad_tgt,-4.191524305384826,26,1.0000,0.0000,0.0000,1
mean,jtw_probe_grad_tgt,-3.1436432290386196,26,1.0000,0.0000,0.0000,1
mean,jtw_probe_grad_tgt,-2.095762152692413,26,1.0000,0.0000,0.0000,1
mean,jtw_probe_grad_tgt,-1.0478810763462065,26,1.0000,0.0000,0.0000,1
mean,jtw_probe_grad_tgt,0.0,26,1.0000,0.0000,0.0000,1
mean,jtw_probe_grad_tgt,1.0478810763462065,26,1.0000,0.0000,0.0000,1
mean,jtw_probe_grad_tgt,2.095762152692413,26,1.0000,0.0000,0.0000,1
mean,jtw_probe_grad_tgt,3.1436432290386196,26,1.0000,0.0000,0.0000,1
mean,jtw_probe_grad_tgt,4.191524305384826,26,1.0000,0.0000,0.0000,1
stmt,jtw_stmt,-67.69179647658625,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-67.45394120092016,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-65.33460406364522,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-62.791565771995664,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-61.36090270462885,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-60.67411237603496,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-55.36520601072109,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-55.25989647862892,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-55.02401304540427,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-52.31702549601039,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-51.21449889572492,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-51.016372876077554,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-50.84669092660876,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-49.868132868871065,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-49.74388651988386,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-48.81711575482313,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-48.62086185577643,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-47.700309430142134,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-47.692446656769114,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-47.649152701407296,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-47.46980953890911,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-46.10006654398709,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-45.670154538976504,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-45.21226639494981,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-44.88605913820964,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-44.8754847993395,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-43.44935146300988,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-43.149674759513985,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-43.07667836167986,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-42.1995887281493,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-41.538789598090375,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-40.95521201939712,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-40.94022757744797,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-40.51844314828848,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-39.95854557777174,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-39.42088059420339,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-39.19325867957311,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-38.14141286409378,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-37.78081166707927,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-37.159342563884714,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-37.07795779767474,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-36.38699131434497,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-36.16082271644701,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-35.48002996824651,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-35.15193031137515,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-34.75522445416247,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-34.619784501440975,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-34.25604150380005,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-34.21530762923409,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-34.12085743123501,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-33.932645105398635,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-33.845898238293124,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-33.72697060046008,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-33.44742351530829,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-33.38393437594558,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-33.296078267657464,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-33.243217249268675,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-33.23049450848375,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-32.93222441649895,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-32.9220340641739,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-32.66730203182261,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-32.63787717820879,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-32.536290779091935,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-32.206809383524416,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-32.14261532996426,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-31.938244873096167,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-31.925760554066034,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-31.76095617223143,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-31.537086912149313,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-31.53185884683124,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-31.395782885997832,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-31.230075341711192,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-30.842207729243807,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-30.680451352314424,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-30.564943630675373,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-30.33705618801748,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-30.263416350952628,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-30.17157769705043,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-30.11175854555366,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-29.349860665665634,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-29.27598948292098,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-28.842863649484656,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-28.68656917054674,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-28.52386240799853,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-28.510047142350757,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-28.333799001197747,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-28.253784913529977,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-27.85059422750788,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-27.82006676537697,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-27.78850051053278,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-27.682603005360544,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-27.62994823931446,1,1.0000,0.0000,0.0000,0
