operator,target,acc,roc,n
Direct,gold,0.7139325842696629,0.7876664057568489,4450
Direct,yM,nan,nan,4450
Prefixed,gold,0.6910112359550562,0.7563594495644489,4450
Prefixed,yM,nan,nan,4450
Answered,gold,0.6885393258426966,0.7605330640070698,4450
Answered,yM,nan,nan,4450
Verdict,gold,0.5002247191011236,0.5009438202247192,4450
Verdict,yM,nan,nan,4450
InputDelta,gold,0.7195505617977528,0.7938890544123216,4450
InputDelta,yM,nan,nan,4450
QuestionDelta,gold,0.690561797752809,0.7563329882590581,4450
QuestionDelta,yM,nan,nan,4450
Interaction,gold,0.7193258426966292,0.793893902285065,4450
Interaction,yM,nan,nan,4450
FewShot,gold,0.6984269662921349,0.7700496401969448,4450
FewShot,yM,nan,nan,4450
DCT_top10,gold,0.6692134831460674,0.7321756343895973,4450
DCT_top10,yM,nan,nan,4450
DCT_top50,gold,0.7215730337078652,0.8005829566973867,4450
DCT_top50,yM,nan,nan,4450
random_10,gold,0.6334831460674157,0.679732357025628,4450
random_10,yM,nan,nan,4450
