direction,tau,flip_rate
mag_u_gold,-1.0,1.0
mag_u_gold,-0.3,0.0
mag_u_gold,0.0,0.0
mag_u_gold,0.3,0.0
mag_u_gold,1.0,0.0
mag_u_yM,-1.0,0.0
mag_u_yM,-0.3,0.0
mag_u_yM,0.0,0.0
mag_u_yM,0.3,0.0
mag_u_yM,1.0,0.5
mag_u_Prefixed,-1.0,0.0
mag_u_Prefixed,-0.3,0.0
mag_u_Prefixed,0.0,0.0
mag_u_Prefixed,0.3,0.0
mag_u_Prefixed,1.0,1.0
mag_u_Answered,-1.0,0.0
mag_u_Answered,-0.3,0.0
mag_u_Answered,0.0,0.0
mag_u_Answered,0.3,0.0
mag_u_Answered,1.0,0.0
mag_u_QuestionDelta,-1.0,0.0
mag_u_QuestionDelta,-0.3,0.0
mag_u_QuestionDelta,0.0,0.0
mag_u_QuestionDelta,0.3,0.0
mag_u_QuestionDelta,1.0,1.0
mag_u_FewShot,-1.0,0.0
mag_u_FewShot,-0.3,0.0
mag_u_FewShot,0.0,0.0
mag_u_FewShot,0.3,0.0
mag_u_FewShot,1.0,0.3333333333333333
mag_resid_pc1,-1.0,0.4166666666666667
mag_resid_pc1,-0.3,0.0
mag_resid_pc1,0.0,0.0
mag_resid_pc1,0.3,0.9583333333333334
mag_resid_pc1,1.0,1.0
sup_mean_diff,-1.0,1.0
sup_mean_diff,-0.3,0.0
sup_mean_diff,0.0,0.0
sup_mean_diff,0.3,0.0
sup_mean_diff,1.0,0.0
sup_grad,-1.0,0.041666666666666664
sup_grad,-0.3,0.0
sup_grad,0.0,0.0
sup_grad,0.3,0.0
sup_grad,1.0,0.8333333333333334
