frac_eps_star,n,mean_g_read,crossed,frac_refused,n_refused,refused_ci95_lo,refused_ci95_hi,too_small_to_adjudicate,delta_vs_baseline
-2,64,-1.31938,1,0.296875,19,0.199052,0.417702,0,0.271749
-1.98,1,4.2889,0,0,0,0,0.793451,1,-0.0251256
-1.97,1,10.6031,0,0,0,0,0.793451,1,-0.0251256
-1.96,1,11.3713,0,0,0,0,0.793451,1,-0.0251256
-1.94,1,-4.71011,1,0,0,0,0.793451,1,-0.0251256
-1.91,3,-2.2418,1,0,0,0,0.561497,1,-0.0251256
-1.89,1,-0.326389,1,0,0,0,0.793451,1,-0.0251256
-1.88,1,0.334469,0,0,0,0,0.793451,1,-0.0251256
-1.86,4,5.6653,0,0.25,1,0.0455873,0.699358,1,0.224874
-1.84,1,14.6111,0,0,0,0,0.793451,1,-0.0251256
-1.82,1,17.2846,0,0,0,0,0.793451,1,-0.0251256
-1.78,1,8.43523,0,0,0,0,0.793451,1,-0.0251256
-1.76,2,11.7564,0,0,0,0,0.65762,1,-0.0251256
-1.75,1,2.88301,0,0,0,0,0.793451,1,-0.0251256
-1.74,1,17.7519,0,0,0,0,0.793451,1,-0.0251256
-1.73,1,7.08971,0,0,0,0,0.793451,1,-0.0251256
-1.72,1,23.5327,0,0,0,0,0.793451,1,-0.0251256
-1.7,1,1.38786,0,0,0,0,0.793451,1,-0.0251256
-1.69,2,19.7133,0,0,0,0,0.65762,1,-0.0251256
-1.68,2,3.80005,0,0,0,0,0.65762,1,-0.0251256
-1.67,1,13.5572,0,0,0,0,0.793451,1,-0.0251256
-1.66,3,16.1941,0,0,0,0,0.561497,1,-0.0251256
-1.65,2,16.6238,0,0,0,0,0.65762,1,-0.0251256
-1.64,1,20.8023,0,0,0,0,0.793451,1,-0.0251256
-1.62,1,-1.0308,1,0,0,0,0.793451,1,-0.0251256
-1.61,3,25.0108,0,0,0,0,0.561497,1,-0.0251256
-1.6,1,14.2017,0,0,0,0,0.793451,1,-0.0251256
-1.57,3,13.2098,0,0,0,0,0.561497,1,-0.0251256
-1.56,1,12.5671,0,0,0,0,0.793451,1,-0.0251256
-1.55,2,20.9411,0,0,0,0,0.65762,1,-0.0251256
-1.54,2,13.1235,0,0,0,0,0.65762,1,-0.0251256
-1.53,1,19.7634,0,0,0,0,0.793451,1,-0.0251256
-1.52,1,15.125,0,0,0,0,0.793451,1,-0.0251256
-1.49,1,10.8821,0,0,0,0,0.793451,1,-0.0251256
-1.48,2,12.5227,0,0.5,1,0.0945312,0.905469,1,0.474874
-1.47,1,4.15294,0,0,0,0,0.793451,1,-0.0251256
-1.46,2,21.2785,0,0,0,0,0.65762,1,-0.0251256
-1.45,2,-0.21807,1,0.5,1,0.0945312,0.905469,1,0.474874
-1.44,1,25.5327,0,0,0,0,0.793451,1,-0.0251256
-1.43,2,4.58087,0,0,0,0,0.65762,1,-0.0251256
-1.42,1,9.33812,0,0,0,0,0.793451,1,-0.0251256
-1.39,1,7.30232,0,0,0,0,0.793451,1,-0.0251256
-1.38,2,12.9992,0,0,0,0,0.65762,1,-0.0251256
-1.36,1,16.6228,0,0,0,0,0.793451,1,-0.0251256
-1.34,2,12.5017,0,0,0,0,0.65762,1,-0.0251256
-1.33,1,26.5449,0,0,0,0,0.793451,1,-0.0251256
-1.32,1,29.1825,0,0,0,0,0.793451,1,-0.0251256
-1.31,2,10.4284,0,0,0,0,0.65762,1,-0.0251256
-1.3,1,-0.208115,1,0,0,0,0.793451,1,-0.0251256
-1.29,1,37.749,0,0,0,0,0.793451,1,-0.0251256
-1.28,3,13.6867,0,0,0,0,0.561497,1,-0.0251256
-1.27,2,21.6128,0,0,0,0,0.65762,1,-0.0251256
-1.26,1,19.7646,0,0,0,0,0.793451,1,-0.0251256
-1.25,2,14.1419,0,0,0,0,0.65762,1,-0.0251256
-1.24,2,22.4845,0,0,0,0,0.65762,1,-0.0251256
-1.22,4,18.4487,0,0,0,0,0.489891,1,-0.0251256
-1.21,2,6.58752,0,0,0,0,0.65762,1,-0.0251256
-1.2,3,23.0758,0,0,0,0,0.561497,1,-0.0251256
-1.18,1,11.4074,0,0,0,0,0.793451,1,-0.0251256
-1.17,3,22.5684,0,0,0,0,0.561497,1,-0.0251256
-1.16,1,18.3818,0,0,0,0,0.793451,1,-0.0251256
-1.15,1,23.3112,0,0,0,0,0.793451,1,-0.0251256
-1.13,2,21.1224,0,0,0,0,0.65762,1,-0.0251256
-1.12,1,21.7581,0,0,0,0,0.793451,1,-0.0251256
-1.11,3,23.0717,0,0,0,0,0.561497,1,-0.0251256
-1.1,1,26.7685,0,0,0,0,0.793451,1,-0.0251256
-1.09,1,11.237,0,0,0,0,0.793451,1,-0.0251256
-1.08,1,24.3913,0,0,0,0,0.793451,1,-0.0251256
-1.07,2,1.83527,0,0.5,1,0.0945312,0.905469,1,0.474874
-1.05,2,25.0465,0,0,0,0,0.65762,1,-0.0251256
-1.04,3,21.333,0,0,0,0,0.561497,1,-0.0251256
-1.02,1,23.5309,0,0,0,0,0.793451,1,-0.0251256
-1.01,2,28.362,0,0,0,0,0.65762,1,-0.0251256
-1,181,13.3452,0,0.0773481,14,0.0466312,0.125632,0,0.0522224
-0.99,1,26.9449,0,0,0,0,0.793451,1,-0.0251256
-0.98,2,22.3492,0,0,0,0,0.65762,1,-0.0251256
-0.97,1,25.4702,0,0,0,0,0.793451,1,-0.0251256
-0.96,2,29.6311,0,0,0,0,0.65762,1,-0.0251256
-0.95,1,8.93235,0,0,0,0,0.793451,1,-0.0251256
-0.94,1,12.0266,0,0,0,0,0.793451,1,-0.0251256
-0.92,1,21.8235,0,0,0,0,0.793451,1,-0.0251256
-0.9,2,21.8783,0,0,0,0,0.65762,1,-0.0251256
-0.88,1,19.357,0,0,0,0,0.793451,1,-0.0251256
-0.87,1,21.6999,0,0,0,0,0.793451,1,-0.0251256
-0.85,1,27.8359,0,0,0,0,0.793451,1,-0.0251256
-0.84,1,0.66333,0,0,0,0,0.793451,1,-0.0251256
-0.83,1,25.2096,0,0,0,0,0.793451,1,-0.0251256
-0.8,1,30.0904,0,0,0,0,0.793451,1,-0.0251256
-0.71,1,24.4736,0,0,0,0,0.793451,1,-0.0251256
0,199,43.962,0,0.0251256,5,0.0107788,0.057459,0,0
0.71,1,68.6245,0,0,0,0,0.793451,1,-0.0251256
0.8,1,78.5102,0,0,0,0,0.793451,1,-0.0251256
0.83,1,75.9454,0,0,0,0,0.793451,1,-0.0251256
0.84,1,79.1588,0,0,0,0,0.793451,1,-0.0251256
0.85,1,80.0929,0,0,0,0,0.793451,1,-0.0251256
0.87,1,68.5952,0,0,0,0,0.793451,1,-0.0251256
0.88,1,66.7145,0,0,0,0,0.793451,1,-0.0251256
0.9,2,73.5778,0,0,0,0,0.65762,1,-0.0251256
0.92,1,80.3406,0,0,0,0,0.793451,1,-0.0251256
0.94,1,76.147,0,0,0,0,0.793451,1,-0.0251256
0.95,1,82.895,0,0,0,0,0.793451,1,-0.0251256
0.96,2,76.9092,0,0,0,0,0.65762,1,-0.0251256
0.97,1,76.0893,0,0,0,0,0.793451,1,-0.0251256
0.98,2,71.7591,0,0,0,0,0.65762,1,-0.0251256
0.99,1,74.5618,0,0,0,0,0.793451,1,-0.0251256
1,181,60.9487,0,0.0110497,2,0.00303548,0.0393871,0,-0.0140759
1.01,2,76.1838,0,0,0,0,0.65762,1,-0.0251256
1.02,1,74.1423,0,0,0,0,0.793451,1,-0.0251256
1.04,3,76.5407,0,0,0,0,0.561497,1,-0.0251256
1.05,2,74.2031,0,0,0,0,0.65762,1,-0.0251256
1.07,2,74.0575,0,0,0,0,0.65762,1,-0.0251256
1.08,1,69.8517,0,0,0,0,0.793451,1,-0.0251256
1.09,1,79.4318,0,0,0,0,0.793451,1,-0.0251256
1.1,1,76.2822,0,0,0,0,0.793451,1,-0.0251256
1.11,3,74.4734,0,0,0,0,0.561497,1,-0.0251256
1.12,1,76.6699,0,0,0,0,0.793451,1,-0.0251256
1.13,2,79.5275,0,0,0,0,0.65762,1,-0.0251256
1.15,1,79.2707,0,0,0,0,0.793451,1,-0.0251256
1.16,1,70.2717,0,0,0,0,0.793451,1,-0.0251256
1.17,3,75.7486,0,0,0,0,0.561497,1,-0.0251256
1.18,1,77.9881,0,0,0,0,0.793451,1,-0.0251256
1.2,3,72.4937,0,0,0,0,0.561497,1,-0.0251256
1.21,2,63.2478,0,0,0,0,0.65762,1,-0.0251256
1.22,4,70.2818,0,0,0,0,0.489891,1,-0.0251256
1.24,2,76.5921,0,0,0,0,0.65762,1,-0.0251256
1.25,2,68.7159,0,0,0,0,0.65762,1,-0.0251256
1.26,1,57.5931,0,0,0,0,0.793451,1,-0.0251256
1.27,2,71.5337,0,0,0,0,0.65762,1,-0.0251256
1.28,3,70.7138,0,0,0,0,0.561497,1,-0.0251256
1.29,1,78.2678,0,0,0,0,0.793451,1,-0.0251256
1.3,1,65.5399,0,0,0,0,0.793451,1,-0.0251256
1.31,2,72.2685,0,0,0,0,0.65762,1,-0.0251256
1.32,1,75.279,0,0,0,0,0.793451,1,-0.0251256
1.33,1,71.1401,0,0,0,0,0.793451,1,-0.0251256
1.34,2,71.1133,0,0,0,0,0.65762,1,-0.0251256
1.36,1,64.41,0,0,0,0,0.793451,1,-0.0251256
1.38,2,59.076,0,0,0,0,0.65762,1,-0.0251256
1.39,1,68.9741,0,0,0,0,0.793451,1,-0.0251256
1.42,1,68.4661,0,0,0,0,0.793451,1,-0.0251256
1.43,2,66.9186,0,0,0,0,0.65762,1,-0.0251256
1.44,1,68.787,0,0,0,0,0.793451,1,-0.0251256
1.45,2,61.8848,0,0,0,0,0.65762,1,-0.0251256
1.46,2,73.2793,0,0,0,0,0.65762,1,-0.0251256
1.47,1,65.8091,0,0,0,0,0.793451,1,-0.0251256
1.48,2,65.4296,0,0,0,0,0.65762,1,-0.0251256
1.49,1,64.7601,0,0,0,0,0.793451,1,-0.0251256
1.52,1,67.1849,0,0,0,0,0.793451,1,-0.0251256
1.53,1,55.6409,0,0,0,0,0.793451,1,-0.0251256
1.54,2,66.629,0,0,0,0,0.65762,1,-0.0251256
1.55,2,73.2422,0,0,0,0,0.65762,1,-0.0251256
1.56,1,67.9549,0,0,0,0,0.793451,1,-0.0251256
1.57,3,69.4597,0,0,0,0,0.561497,1,-0.0251256
1.6,1,75.4401,0,0,0,0,0.793451,1,-0.0251256
1.61,3,70.6521,0,0,0,0,0.561497,1,-0.0251256
1.62,1,60.5152,0,0,0,0,0.793451,1,-0.0251256
1.64,1,57.6252,0,0,0,0,0.793451,1,-0.0251256
1.65,2,69.2759,0,0,0,0,0.65762,1,-0.0251256
1.66,3,65.6054,0,0,0,0,0.561497,1,-0.0251256
1.67,1,62.4117,0,0,0,0,0.793451,1,-0.0251256
1.68,2,51.9513,0,0,0,0,0.65762,1,-0.0251256
1.69,2,58.331,0,0,0,0,0.65762,1,-0.0251256
1.7,1,66.6384,0,0,0,0,0.793451,1,-0.0251256
1.72,1,70.6854,0,0,0,0,0.793451,1,-0.0251256
1.73,1,70.3631,0,0,0,0,0.793451,1,-0.0251256
1.74,1,65.4989,0,0,0,0,0.793451,1,-0.0251256
1.75,1,66.757,0,0,0,0,0.793451,1,-0.0251256
1.76,2,62.4583,0,0,0,0,0.65762,1,-0.0251256
1.78,1,58.9696,0,0,0,0,0.793451,1,-0.0251256
1.82,1,63.6919,0,0,0,0,0.793451,1,-0.0251256
1.84,1,56.1687,0,0,0,0,0.793451,1,-0.0251256
1.86,4,64.1752,0,0,0,0,0.489891,1,-0.0251256
1.88,1,64.1319,0,0,0,0,0.793451,1,-0.0251256
1.89,1,71.9212,0,0,0,0,0.793451,1,-0.0251256
1.91,3,65.1737,0,0,0,0,0.561497,1,-0.0251256
1.94,1,69.1173,0,0,0,0,0.793451,1,-0.0251256
1.96,1,53.0459,0,0,0,0,0.793451,1,-0.0251256
1.97,1,56.8916,0,0,0,0,0.793451,1,-0.0251256
1.98,1,58.1426,0,0,0,0,0.793451,1,-0.0251256
2,64,53.9307,0,0.015625,1,0.00276354,0.083341,0,-0.00950063
