direction,eps,frac_reachable
mean_diff_tgt,0,0.043
mean_diff_tgt,2.16832,0.09
mean_diff_tgt,4.33665,0.163
mean_diff_tgt,6.50497,0.274
mean_diff_tgt,8.6733,0.388
mean_diff_tgt,10.8416,0.506
mean_diff_tgt,13.0099,0.613
mean_diff_tgt,15.1783,0.699
mean_diff_tgt,17.3466,0.785
mean_diff_tgt,19.5149,0.832
mean_diff_tgt,21.6832,0.878
mean_diff_tgt,23.8516,0.924
mean_diff_tgt,26.0199,0.945
mean_diff_tgt,28.1882,0.969
mean_diff_tgt,30.3565,0.982
mean_diff_tgt,32.5249,0.992
mean_diff_tgt,34.6932,0.999
mean_diff_tgt,36.8615,1
mean_diff_tgt,39.0298,1
mean_diff_tgt,41.1982,1
mean_diff_tgt,43.3665,1
mean_diff_tgt,45.5348,1
mean_diff_tgt,47.7031,1
mean_diff_tgt,49.8715,1
mean_diff_tgt,52.0398,1
mean_diff_tgt,54.2081,1
mean_diff_tgt,56.3764,1
mean_diff_tgt,58.5448,1
mean_diff_tgt,60.7131,1
mean_diff_tgt,62.8814,1
mean_diff_tgt,65.0497,1
mean_diff_tgt,67.2181,1
mean_diff_tgt,69.3864,1
mean_diff_tgt,71.5547,1
mean_diff_tgt,73.723,1
mean_diff_tgt,75.8914,1
mean_diff_tgt,78.0597,1
mean_diff_tgt,80.228,1
mean_diff_tgt,82.3963,1
mean_diff_tgt,84.5647,1
mean_diff_tgt,86.733,1
mean_diff_tgt,88.9013,1
mean_diff_tgt,91.0696,1
mean_diff_tgt,93.238,1
mean_diff_tgt,95.4063,1
mean_diff_tgt,97.5746,1
mean_diff_tgt,99.7429,1
mean_diff_tgt,101.911,1
mean_diff_tgt,104.08,1
mean_diff_tgt,106.248,1
mean_diff_tgt,108.416,1
mean_diff_tgt,110.585,1
mean_diff_tgt,112.753,1
mean_diff_tgt,114.921,1
mean_diff_tgt,117.09,1
mean_diff_tgt,119.258,1
mean_diff_tgt,121.426,1
mean_diff_tgt,123.595,1
mean_diff_tgt,125.763,1
mean_diff_tgt,127.931,1
mean_diff_tgt,130.099,1
probe_grad_tgt,0,0
probe_grad_tgt,2.16832,0.526
probe_grad_tgt,4.33665,0.85
probe_grad_tgt,6.50497,0.971
probe_grad_tgt,8.6733,0.992
probe_grad_tgt,10.8416,1
probe_grad_tgt,13.0099,1
probe_grad_tgt,15.1783,1
probe_grad_tgt,17.3466,1
probe_grad_tgt,19.5149,1
probe_grad_tgt,21.6832,1
probe_grad_tgt,23.8516,1
probe_grad_tgt,26.0199,1
probe_grad_tgt,28.1882,1
probe_grad_tgt,30.3565,1
probe_grad_tgt,32.5249,1
probe_grad_tgt,34.6932,1
probe_grad_tgt,36.8615,1
probe_grad_tgt,39.0298,1
probe_grad_tgt,41.1982,1
probe_grad_tgt,43.3665,1
probe_grad_tgt,45.5348,1
probe_grad_tgt,47.7031,1
probe_grad_tgt,49.8715,1
probe_grad_tgt,52.0398,1
probe_grad_tgt,54.2081,1
probe_grad_tgt,56.3764,1
probe_grad_tgt,58.5448,1
probe_grad_tgt,60.7131,1
probe_grad_tgt,62.8814,1
probe_grad_tgt,65.0497,1
probe_grad_tgt,67.2181,1
probe_grad_tgt,69.3864,1
probe_grad_tgt,71.5547,1
probe_grad_tgt,73.723,1
probe_grad_tgt,75.8914,1
probe_grad_tgt,78.0597,1
probe_grad_tgt,80.228,1
probe_grad_tgt,82.3963,1
probe_grad_tgt,84.5647,1
probe_grad_tgt,86.733,1
probe_grad_tgt,88.9013,1
probe_grad_tgt,91.0696,1
probe_grad_tgt,93.238,1
probe_grad_tgt,95.4063,1
probe_grad_tgt,97.5746,1
probe_grad_tgt,99.7429,1
probe_grad_tgt,101.911,1
probe_grad_tgt,104.08,1
probe_grad_tgt,106.248,1
probe_grad_tgt,108.416,1
probe_grad_tgt,110.585,1
probe_grad_tgt,112.753,1
probe_grad_tgt,114.921,1
probe_grad_tgt,117.09,1
probe_grad_tgt,119.258,1
probe_grad_tgt,121.426,1
probe_grad_tgt,123.595,1
probe_grad_tgt,125.763,1
probe_grad_tgt,127.931,1
probe_grad_tgt,130.099,1
truth_sub_0,0,0.043
truth_sub_0,2.16832,0.09
truth_sub_0,4.33665,0.163
truth_sub_0,6.50497,0.274
truth_sub_0,8.6733,0.388
truth_sub_0,10.8416,0.506
truth_sub_0,13.0099,0.613
truth_sub_0,15.1783,0.699
truth_sub_0,17.3466,0.785
truth_sub_0,19.5149,0.832
truth_sub_0,21.6832,0.878
truth_sub_0,23.8516,0.924
truth_sub_0,26.0199,0.945
truth_sub_0,28.1882,0.969
truth_sub_0,30.3565,0.982
truth_sub_0,32.5249,0.992
truth_sub_0,34.6932,0.999
truth_sub_0,36.8615,1
truth_sub_0,39.0298,1
truth_sub_0,41.1982,1
truth_sub_0,43.3665,1
truth_sub_0,45.5348,1
truth_sub_0,47.7031,1
truth_sub_0,49.8715,1
truth_sub_0,52.0398,1
truth_sub_0,54.2081,1
truth_sub_0,56.3764,1
truth_sub_0,58.5448,1
truth_sub_0,60.7131,1
truth_sub_0,62.8814,1
truth_sub_0,65.0497,1
truth_sub_0,67.2181,1
truth_sub_0,69.3864,1
truth_sub_0,71.5547,1
truth_sub_0,73.723,1
truth_sub_0,75.8914,1
truth_sub_0,78.0597,1
truth_sub_0,80.228,1
truth_sub_0,82.3963,1
truth_sub_0,84.5647,1
truth_sub_0,86.733,1
truth_sub_0,88.9013,1
truth_sub_0,91.0696,1
truth_sub_0,93.238,1
truth_sub_0,95.4063,1
truth_sub_0,97.5746,1
truth_sub_0,99.7429,1
truth_sub_0,101.911,1
truth_sub_0,104.08,1
truth_sub_0,106.248,1
truth_sub_0,108.416,1
truth_sub_0,110.585,1
truth_sub_0,112.753,1
truth_sub_0,114.921,1
truth_sub_0,117.09,1
truth_sub_0,119.258,1
truth_sub_0,121.426,1
truth_sub_0,123.595,1
truth_sub_0,125.763,1
truth_sub_0,127.931,1
truth_sub_0,130.099,1
rand_62,0,0.003
rand_62,2.16832,0.02
rand_62,4.33665,0.057
rand_62,6.50497,0.13
rand_62,8.6733,0.236
rand_62,10.8416,0.418
rand_62,13.0099,0.608
rand_62,15.1783,0.778
rand_62,17.3466,0.893
rand_62,19.5149,0.965
rand_62,21.6832,0.989
rand_62,23.8516,0.996
rand_62,26.0199,0.999
rand_62,28.1882,1
rand_62,30.3565,1
rand_62,32.5249,1
rand_62,34.6932,1
rand_62,36.8615,1
rand_62,39.0298,1
rand_62,41.1982,1
rand_62,43.3665,1
rand_62,45.5348,1
rand_62,47.7031,1
rand_62,49.8715,1
rand_62,52.0398,1
rand_62,54.2081,1
rand_62,56.3764,1
rand_62,58.5448,1
rand_62,60.7131,1
rand_62,62.8814,1
rand_62,65.0497,1
rand_62,67.2181,1
rand_62,69.3864,1
rand_62,71.5547,1
rand_62,73.723,1
rand_62,75.8914,1
rand_62,78.0597,1
rand_62,80.228,1
rand_62,82.3963,1
rand_62,84.5647,1
rand_62,86.733,1
rand_62,88.9013,1
rand_62,91.0696,1
rand_62,93.238,1
rand_62,95.4063,1
rand_62,97.5746,1
rand_62,99.7429,1
rand_62,101.911,1
rand_62,104.08,1
rand_62,106.248,1
rand_62,108.416,1
rand_62,110.585,1
rand_62,112.753,1
rand_62,114.921,1
rand_62,117.09,1
rand_62,119.258,1
rand_62,121.426,1
rand_62,123.595,1
rand_62,125.763,1
rand_62,127.931,1
rand_62,130.099,1
truth_sub_best,0,0.043
truth_sub_best,2.16832,0.534
truth_sub_best,4.33665,0.853
