direction,eps,frac_reachable
mean_diff_tgt,0,0.00409836
mean_diff_tgt,0.614122,0.00409836
mean_diff_tgt,1.22824,0.00614754
mean_diff_tgt,1.84237,0.00819672
mean_diff_tgt,2.45649,0.0122951
mean_diff_tgt,3.07061,0.0184426
mean_diff_tgt,3.68473,0.0245902
mean_diff_tgt,4.29885,0.0368852
mean_diff_tgt,4.91297,0.045082
mean_diff_tgt,5.5271,0.0532787
mean_diff_tgt,6.14122,0.057377
mean_diff_tgt,6.75534,0.0635246
mean_diff_tgt,7.36946,0.067623
mean_diff_tgt,7.98358,0.0737705
mean_diff_tgt,8.5977,0.0819672
mean_diff_tgt,9.21183,0.0922131
mean_diff_tgt,9.82595,0.104508
mean_diff_tgt,10.4401,0.112705
mean_diff_tgt,11.0542,0.125
mean_diff_tgt,11.6683,0.145492
mean_diff_tgt,12.2824,0.155738
mean_diff_tgt,12.8966,0.170082
mean_diff_tgt,13.5107,0.190574
mean_diff_tgt,14.1248,0.194672
mean_diff_tgt,14.7389,0.211066
mean_diff_tgt,15.353,0.235656
mean_diff_tgt,15.9672,0.256148
mean_diff_tgt,16.5813,0.278689
mean_diff_tgt,17.1954,0.305328
mean_diff_tgt,17.8095,0.317623
mean_diff_tgt,18.4237,0.342213
mean_diff_tgt,19.0378,0.370902
mean_diff_tgt,19.6519,0.383197
mean_diff_tgt,20.266,0.409836
mean_diff_tgt,20.8801,0.42623
mean_diff_tgt,21.4943,0.446721
mean_diff_tgt,22.1084,0.469262
mean_diff_tgt,22.7225,0.495902
mean_diff_tgt,23.3366,0.518443
mean_diff_tgt,23.9507,0.553279
mean_diff_tgt,24.5649,0.57582
mean_diff_tgt,25.179,0.60041
mean_diff_tgt,25.7931,0.631148
mean_diff_tgt,26.4072,0.651639
mean_diff_tgt,27.0214,0.665984
mean_diff_tgt,27.6355,0.688525
mean_diff_tgt,28.2496,0.70082
mean_diff_tgt,28.8637,0.715164
mean_diff_tgt,29.4778,0.739754
mean_diff_tgt,30.092,0.752049
mean_diff_tgt,30.7061,0.772541
mean_diff_tgt,31.3202,0.790984
mean_diff_tgt,31.9343,0.80123
mean_diff_tgt,32.5485,0.815574
mean_diff_tgt,33.1626,0.827869
mean_diff_tgt,33.7767,0.842213
mean_diff_tgt,34.3908,0.852459
mean_diff_tgt,35.0049,0.860656
mean_diff_tgt,35.6191,0.881148
mean_diff_tgt,36.2332,0.887295
mean_diff_tgt,36.8473,0.903689
probe_grad_tgt,0,0
probe_grad_tgt,0.614122,0
probe_grad_tgt,1.22824,0
probe_grad_tgt,1.84237,0
probe_grad_tgt,2.45649,0
probe_grad_tgt,3.07061,0
probe_grad_tgt,3.68473,0
probe_grad_tgt,4.29885,0.00204918
probe_grad_tgt,4.91297,0.00409836
probe_grad_tgt,5.5271,0.00409836
probe_grad_tgt,6.14122,0.00819672
probe_grad_tgt,6.75534,0.0143443
probe_grad_tgt,7.36946,0.0163934
probe_grad_tgt,7.98358,0.0245902
probe_grad_tgt,8.5977,0.0327869
probe_grad_tgt,9.21183,0.0409836
probe_grad_tgt,9.82595,0.0491803
probe_grad_tgt,10.4401,0.0614754
probe_grad_tgt,11.0542,0.0778689
probe_grad_tgt,11.6683,0.0860656
probe_grad_tgt,12.2824,0.0942623
probe_grad_tgt,12.8966,0.108607
probe_grad_tgt,13.5107,0.118852
probe_grad_tgt,14.1248,0.139344
probe_grad_tgt,14.7389,0.151639
probe_grad_tgt,15.353,0.17418
probe_grad_tgt,15.9672,0.196721
probe_grad_tgt,16.5813,0.219262
probe_grad_tgt,17.1954,0.221311
probe_grad_tgt,17.8095,0.243852
probe_grad_tgt,18.4237,0.262295
probe_grad_tgt,19.0378,0.295082
probe_grad_tgt,19.6519,0.309426
probe_grad_tgt,20.266,0.317623
probe_grad_tgt,20.8801,0.340164
probe_grad_tgt,21.4943,0.354508
probe_grad_tgt,22.1084,0.364754
probe_grad_tgt,22.7225,0.383197
probe_grad_tgt,23.3366,0.405738
probe_grad_tgt,23.9507,0.442623
probe_grad_tgt,24.5649,0.465164
probe_grad_tgt,25.179,0.489754
probe_grad_tgt,25.7931,0.508197
probe_grad_tgt,26.4072,0.540984
probe_grad_tgt,27.0214,0.569672
probe_grad_tgt,27.6355,0.604508
probe_grad_tgt,28.2496,0.641393
probe_grad_tgt,28.8637,0.663934
probe_grad_tgt,29.4778,0.688525
probe_grad_tgt,30.092,0.713115
probe_grad_tgt,30.7061,0.737705
probe_grad_tgt,31.3202,0.75
probe_grad_tgt,31.9343,0.776639
probe_grad_tgt,32.5485,0.805328
probe_grad_tgt,33.1626,0.82377
