direction,eps,frac_reachable
mean_diff_tgt,0,0.0362903
mean_diff_tgt,1.52354,0.0497312
mean_diff_tgt,3.04708,0.0698925
mean_diff_tgt,4.57062,0.0927419
mean_diff_tgt,6.09416,0.139785
mean_diff_tgt,7.6177,0.196237
mean_diff_tgt,9.14124,0.25672
mean_diff_tgt,10.6648,0.326613
mean_diff_tgt,12.1883,0.396505
mean_diff_tgt,13.7119,0.459677
mean_diff_tgt,15.2354,0.534946
mean_diff_tgt,16.7589,0.591398
mean_diff_tgt,18.2825,0.645161
mean_diff_tgt,19.806,0.693548
mean_diff_tgt,21.3296,0.737903
mean_diff_tgt,22.8531,0.774194
mean_diff_tgt,24.3766,0.821237
mean_diff_tgt,25.9002,0.866935
mean_diff_tgt,27.4237,0.896505
mean_diff_tgt,28.9473,0.927419
mean_diff_tgt,30.4708,0.950269
mean_diff_tgt,31.9943,0.966398
mean_diff_tgt,33.5179,0.981183
mean_diff_tgt,35.0414,0.986559
mean_diff_tgt,36.5649,0.99328
mean_diff_tgt,38.0885,0.995968
mean_diff_tgt,39.612,0.997312
mean_diff_tgt,41.1356,0.998656
mean_diff_tgt,42.6591,1
mean_diff_tgt,44.1826,1
mean_diff_tgt,45.7062,1
mean_diff_tgt,47.2297,1
mean_diff_tgt,48.7533,1
mean_diff_tgt,50.2768,1
mean_diff_tgt,51.8003,1
mean_diff_tgt,53.3239,1
mean_diff_tgt,54.8474,1
mean_diff_tgt,56.371,1
mean_diff_tgt,57.8945,1
mean_diff_tgt,59.418,1
mean_diff_tgt,60.9416,1
mean_diff_tgt,62.4651,1
mean_diff_tgt,63.9887,1
mean_diff_tgt,65.5122,1
mean_diff_tgt,67.0357,1
mean_diff_tgt,68.5593,1
mean_diff_tgt,70.0828,1
mean_diff_tgt,71.6064,1
mean_diff_tgt,73.1299,1
mean_diff_tgt,74.6534,1
mean_diff_tgt,76.177,1
mean_diff_tgt,77.7005,1
mean_diff_tgt,79.2241,1
mean_diff_tgt,80.7476,1
mean_diff_tgt,82.2711,1
mean_diff_tgt,83.7947,1
mean_diff_tgt,85.3182,1
mean_diff_tgt,86.8418,1
mean_diff_tgt,88.3653,1
mean_diff_tgt,89.8888,1
mean_diff_tgt,91.4124,1
probe_grad_tgt,0,0
probe_grad_tgt,1.52354,0.0927419
probe_grad_tgt,3.04708,0.590054
probe_grad_tgt,4.57062,0.788978
probe_grad_tgt,6.09416,0.899194
probe_grad_tgt,7.6177,0.951613
probe_grad_tgt,9.14124,0.987903
probe_grad_tgt,10.6648,0.995968
probe_grad_tgt,12.1883,0.998656
probe_grad_tgt,13.7119,1
probe_grad_tgt,15.2354,1
probe_grad_tgt,16.7589,1
probe_grad_tgt,18.2825,1
probe_grad_tgt,19.806,1
probe_grad_tgt,21.3296,1
probe_grad_tgt,22.8531,1
probe_grad_tgt,24.3766,1
probe_grad_tgt,25.9002,1
probe_grad_tgt,27.4237,1
probe_grad_tgt,28.9473,1
probe_grad_tgt,30.4708,1
probe_grad_tgt,31.9943,1
probe_grad_tgt,33.5179,1
probe_grad_tgt,35.0414,1
probe_grad_tgt,36.5649,1
probe_grad_tgt,38.0885,1
probe_grad_tgt,39.612,1
probe_grad_tgt,41.1356,1
probe_grad_tgt,42.6591,1
probe_grad_tgt,44.1826,1
probe_grad_tgt,45.7062,1
probe_grad_tgt,47.2297,1
probe_grad_tgt,48.7533,1
probe_grad_tgt,50.2768,1
probe_grad_tgt,51.8003,1
probe_grad_tgt,53.3239,1
probe_grad_tgt,54.8474,1
probe_grad_tgt,56.371,1
probe_grad_tgt,57.8945,1
probe_grad_tgt,59.418,1
probe_grad_tgt,60.9416,1
probe_grad_tgt,62.4651,1
probe_grad_tgt,63.9887,1
probe_grad_tgt,65.5122,1
probe_grad_tgt,67.0357,1
probe_grad_tgt,68.5593,1
probe_grad_tgt,70.0828,1
probe_grad_tgt,71.6064,1
probe_grad_tgt,73.1299,1
probe_grad_tgt,74.6534,1
probe_grad_tgt,76.177,1
probe_grad_tgt,77.7005,1
probe_grad_tgt,79.2241,1
probe_grad_tgt,80.7476,1
probe_grad_tgt,82.2711,1
probe_grad_tgt,83.7947,1
probe_grad_tgt,85.3182,1
probe_grad_tgt,86.8418,1
probe_grad_tgt,88.3653,1
probe_grad_tgt,89.8888,1
probe_grad_tgt,91.4124,1
truth_sub_0,0,0.0362903
truth_sub_0,1.52354,0.0497312
truth_sub_0,3.04708,0.0698925
truth_sub_0,4.57062,0.0927419
truth_sub_0,6.09416,0.139785
truth_sub_0,7.6177,0.196237
truth_sub_0,9.14124,0.25672
truth_sub_0,10.6648,0.326613
truth_sub_0,12.1883,0.396505
truth_sub_0,13.7119,0.459677
truth_sub_0,15.2354,0.534946
truth_sub_0,16.7589,0.591398
truth_sub_0,18.2825,0.645161
truth_sub_0,19.806,0.693548
truth_sub_0,21.3296,0.737903
truth_sub_0,22.8531,0.774194
truth_sub_0,24.3766,0.821237
truth_sub_0,25.9002,0.866935
truth_sub_0,27.4237,0.896505
truth_sub_0,28.9473,0.927419
truth_sub_0,30.4708,0.950269
truth_sub_0,31.9943,0.966398
truth_sub_0,33.5179,0.981183
truth_sub_0,35.0414,0.986559
truth_sub_0,36.5649,0.99328
truth_sub_0,38.0885,0.995968
truth_sub_0,39.612,0.997312
truth_sub_0,41.1356,0.998656
truth_sub_0,42.6591,1
truth_sub_0,44.1826,1
truth_sub_0,45.7062,1
truth_sub_0,47.2297,1
truth_sub_0,48.7533,1
truth_sub_0,50.2768,1
truth_sub_0,51.8003,1
truth_sub_0,53.3239,1
truth_sub_0,54.8474,1
truth_sub_0,56.371,1
truth_sub_0,57.8945,1
truth_sub_0,59.418,1
truth_sub_0,60.9416,1
truth_sub_0,62.4651,1
truth_sub_0,63.9887,1
truth_sub_0,65.5122,1
truth_sub_0,67.0357,1
truth_sub_0,68.5593,1
truth_sub_0,70.0828,1
truth_sub_0,71.6064,1
truth_sub_0,73.1299,1
truth_sub_0,74.6534,1
truth_sub_0,76.177,1
truth_sub_0,77.7005,1
truth_sub_0,79.2241,1
truth_sub_0,80.7476,1
truth_sub_0,82.2711,1
truth_sub_0,83.7947,1
truth_sub_0,85.3182,1
truth_sub_0,86.8418,1
truth_sub_0,88.3653,1
truth_sub_0,89.8888,1
truth_sub_0,91.4124,1
truth_sub_best,0,0.0362903
truth_sub_best,1.52354,0.13172
truth_sub_best,3.04708,0.599462
truth_sub_best,4.57062,0.793011
truth_sub_best,6.09416,0.899194
truth_sub_best,7.6177,0.951613
truth_sub_best,9.14124,0.987903
truth_sub_best,10.6648,0.995968
truth_sub_best,12.1883,0.998656
truth_sub_best,13.7119,1
truth_sub_best,15.2354,1
truth_sub_best,16.7589,1
truth_sub_best,18.2825,1
truth_sub_best,19.806,1
truth_sub_best,21.3296,1
truth_sub_best,22.8531,1
truth_sub_best,24.3766,1
truth_sub_best,25.9002,1
truth_sub_best,27.4237,1
truth_sub_best,28.9473,1
truth_sub_best,30.4708,1
truth_sub_best,31.9943,1
truth_sub_best,33.5179,1
truth_sub_best,35.0414,1
truth_sub_best,36.5649,1
truth_sub_best,38.0885,1
