mode,layer,w_name,margin_mean,margin_median,margin_se,n
decl,0,verdict,0.995922,0.874323,0.0312647,256
decl,1,verdict,0.936616,0.841429,0.0288442,256
decl,2,verdict,0.734243,0.650431,0.0226668,256
decl,3,verdict,0.805284,0.709558,0.0262099,256
decl,4,verdict,0.774531,0.664808,0.0265377,256
decl,5,verdict,0.793172,0.668543,0.0277092,256
decl,6,verdict,0.784685,0.67139,0.0261535,256
decl,7,verdict,0.819224,0.707625,0.0273333,256
decl,8,verdict,0.586891,0.488886,0.0186496,256
decl,9,verdict,0.572687,0.477858,0.0172943,256
decl,10,verdict,0.543782,0.45494,0.0149008,256
decl,11,verdict,0.495042,0.436401,0.0108654,256
decl,12,verdict,0.432388,0.39972,0.00704788,256
decl,13,verdict,0.457829,0.428767,0.00614141,256
decl,14,verdict,0.387823,0.369881,0.00415348,256
decl,15,verdict,0.393611,0.37556,0.00397062,256
decl,16,verdict,0.361802,0.355284,0.00231862,256
decl,17,verdict,0.319977,0.31444,0.0017236,256
decl,18,verdict,0.33689,0.33365,0.00148578,256
decl,19,verdict,0.33856,0.340023,0.00168374,256
decl,20,verdict,0.302193,0.30289,0.00126164,256
decl,21,verdict,0.304945,0.305343,0.00123825,256
decl,22,verdict,0.291984,0.292849,0.00107665,256
decl,23,verdict,0.284416,0.284885,0.000915421,256
decl,24,verdict,0.300939,0.300691,0.000606416,256
decl,25,verdict,0.26435,0.263875,0.000444039,256
decl,0,truth_final,6.15308,5.5116,0.193288,256
decl,1,truth_final,5.70003,5.18263,0.172743,256
decl,2,truth_final,4.50966,4.14546,0.118354,256
decl,3,truth_final,4.97722,4.63374,0.128698,256
decl,4,truth_final,4.75905,4.41555,0.11637,256
decl,5,truth_final,4.79571,4.6771,0.104999,256
decl,6,truth_final,4.63754,4.61773,0.0898258,256
decl,7,truth_final,4.84051,4.92333,0.087961,256
decl,8,truth_final,3.52193,3.41361,0.0546541,256
decl,9,truth_final,3.46689,3.42388,0.0496064,256
decl,10,truth_final,3.20082,3.185,0.0394644,256
decl,11,truth_final,2.81283,2.8578,0.0267749,256
decl,12,truth_final,2.2823,2.3085,0.0154868,256
decl,13,truth_final,2.3299,2.33125,0.0135447,256
decl,14,truth_final,1.73327,1.7406,0.00918309,256
decl,15,truth_final,1.607,1.58832,0.00809532,256
decl,16,truth_final,1.32159,1.31577,0.00396286,256
decl,17,truth_final,1.11561,1.10748,0.00342118,256
decl,18,truth_final,1.12241,1.11562,0.00340871,256
decl,19,truth_final,1.0574,1.04886,0.00334458,256
decl,20,truth_final,0.987981,0.981093,0.00293827,256
decl,21,truth_final,0.945233,0.939742,0.0030034,256
decl,22,truth_final,0.832855,0.825993,0.00274182,256
decl,23,truth_final,0.658136,0.654303,0.00190513,256
decl,24,truth_final,0.581852,0.577293,0.00176371,256
decl,25,truth_final,0.464343,0.461661,0.00153302,256
decl,0,v_q_final,21.4115,19.341,0.659596,256
decl,1,v_q_final,20.1037,18.379,0.614586,256
decl,2,v_q_final,15.539,14.5283,0.432583,256
decl,3,v_q_final,17.4991,16.4019,0.483459,256
decl,4,v_q_final,17.2997,16.332,0.45491,256
decl,5,v_q_final,18.2862,17.6886,0.447733,256
decl,6,v_q_final,18.0649,17.5751,0.420291,256
decl,7,v_q_final,18.7381,18.5966,0.429562,256
decl,8,v_q_final,11.4073,10.7643,0.235489,256
decl,9,v_q_final,10.8577,10.4043,0.208532,256
decl,10,v_q_final,9.94583,9.54259,0.173529,256
decl,11,v_q_final,9.08871,8.88251,0.138838,256
decl,12,v_q_final,7.82527,7.65901,0.100706,256
decl,13,v_q_final,8.06526,7.89773,0.095397,256
decl,14,v_q_final,5.92761,5.72607,0.0753542,256
decl,15,v_q_final,5.78907,5.57343,0.0722775,256
decl,16,v_q_final,4.9228,4.79463,0.0494382,256
decl,17,v_q_final,4.4309,4.28796,0.0472936,256
decl,18,v_q_final,4.25959,4.10498,0.0449145,256
decl,19,v_q_final,4.1026,3.98885,0.0356704,256
decl,20,v_q_final,3.92935,3.81806,0.0338145,256
decl,21,v_q_final,3.69363,3.59259,0.0303985,256
decl,22,v_q_final,3.08493,3.07607,0.0118281,256
decl,23,v_q_final,2.91476,2.90805,0.00994474,256
decl,24,v_q_final,2.61035,2.60129,0.00791535,256
decl,25,v_q_final,1.64761,1.64914,0.00355738,256
quest,0,verdict,1.41279,1.40107,0.0107135,256
quest,1,verdict,1.34354,1.32653,0.00981988,256
