mode,layer,w_name,margin_mean,margin_median,margin_se,n
decl,0,verdict,0.962486,0.804075,0.0317481,256
decl,1,verdict,0.852901,0.740003,0.0271445,256
decl,2,verdict,0.686375,0.59457,0.0197626,256
decl,3,verdict,0.737836,0.635043,0.0219657,256
decl,4,verdict,0.799565,0.687664,0.0240007,256
decl,5,verdict,0.819931,0.725917,0.0246047,256
decl,6,verdict,0.842897,0.742133,0.025154,256
decl,7,verdict,0.942451,0.830569,0.0275524,256
decl,8,verdict,0.677379,0.621319,0.016492,256
decl,9,verdict,0.669574,0.614647,0.0157426,256
decl,10,verdict,0.623663,0.5758,0.0136476,256
decl,11,verdict,0.597911,0.566493,0.0127374,256
decl,12,verdict,0.544881,0.517228,0.0114013,256
decl,13,verdict,0.55981,0.538134,0.0110627,256
decl,14,verdict,0.465107,0.4471,0.0088638,256
decl,15,verdict,0.476311,0.458424,0.00840044,256
decl,16,verdict,0.430986,0.419023,0.00770995,256
decl,17,verdict,0.371252,0.364305,0.006142,256
decl,18,verdict,0.381219,0.373167,0.00564437,256
decl,19,verdict,0.366649,0.364044,0.00473136,256
decl,20,verdict,0.329415,0.325905,0.00396923,256
decl,21,verdict,0.325617,0.323717,0.00296597,256
decl,22,verdict,0.306177,0.305592,0.0023248,256
decl,23,verdict,0.293197,0.29562,0.00204336,256
decl,24,verdict,0.298121,0.301023,0.00165179,256
decl,25,verdict,0.264225,0.266185,0.0014827,256
decl,0,truth_final,2.31115,1.89445,0.0830692,256
decl,1,truth_final,2.0489,1.69057,0.072566,256
decl,2,truth_final,1.65698,1.37916,0.0548475,256
decl,3,truth_final,1.75098,1.4841,0.0602505,256
decl,4,truth_final,1.87113,1.56756,0.0646666,256
decl,5,truth_final,1.90674,1.57256,0.0665754,256
decl,6,truth_final,1.95084,1.63381,0.0686116,256
decl,7,truth_final,2.18423,1.85066,0.0780876,256
decl,8,truth_final,1.53412,1.38039,0.0400672,256
decl,9,truth_final,1.51135,1.38064,0.037852,256
decl,10,truth_final,1.37748,1.28964,0.0309539,256
decl,11,truth_final,1.30287,1.22195,0.0278633,256
decl,12,truth_final,1.16813,1.10727,0.0235041,256
decl,13,truth_final,1.17817,1.11136,0.0215771,256
decl,14,truth_final,0.96138,0.922048,0.01713,256
decl,15,truth_final,0.966833,0.932517,0.015885,256
decl,16,truth_final,0.89452,0.865793,0.0140697,256
decl,17,truth_final,0.753744,0.731298,0.0114786,256
decl,18,truth_final,0.797215,0.777872,0.0102555,256
decl,19,truth_final,0.764112,0.751785,0.00864756,256
decl,20,truth_final,0.752605,0.749486,0.00663052,256
decl,21,truth_final,0.712384,0.715536,0.0040525,256
decl,22,truth_final,0.656879,0.663037,0.00384812,256
decl,23,truth_final,0.547429,0.553457,0.00300203,256
decl,24,truth_final,0.491463,0.497577,0.00285762,256
decl,25,truth_final,0.413269,0.419098,0.00242944,256
decl,0,v_q_final,19.7002,13.4069,1.2147,256
decl,1,v_q_final,17.2903,11.8755,1.04079,256
decl,2,v_q_final,13.5697,9.46186,0.820899,256
decl,3,v_q_final,14.6764,10.2364,0.884289,256
decl,4,v_q_final,15.7914,11.1217,0.927018,256
decl,5,v_q_final,16.3666,11.4872,0.958934,256
decl,6,v_q_final,16.9177,12.0752,0.981928,256
decl,7,v_q_final,18.7231,13.9477,1.06545,256
decl,8,v_q_final,11.7125,9.35043,0.656657,256
decl,9,v_q_final,11.2426,9.03197,0.635775,256
decl,10,v_q_final,10.2165,8.55556,0.570407,256
decl,11,v_q_final,9.58128,7.98561,0.533918,256
decl,12,v_q_final,8.7882,7.62438,0.493892,256
decl,13,v_q_final,8.92726,8.07477,0.467521,256
decl,14,v_q_final,6.62639,5.84746,0.400306,256
decl,15,v_q_final,6.45754,5.75559,0.377283,256
decl,16,v_q_final,5.71133,5.09661,0.341403,256
decl,17,v_q_final,5.01736,4.49011,0.286137,256
decl,18,v_q_final,4.77982,4.35414,0.269583,256
decl,19,v_q_final,4.54153,4.17124,0.228673,256
decl,20,v_q_final,4.1523,3.81891,0.181795,256
decl,21,v_q_final,3.71509,3.5808,0.0865587,256
decl,22,v_q_final,3.12542,3.05539,0.0418859,256
decl,23,v_q_final,2.93956,2.95459,0.0267044,256
decl,24,v_q_final,2.555,2.58933,0.0212535,256
decl,25,v_q_final,1.5536,1.57754,0.00829842,256
quest,0,verdict,1.53747,1.50346,0.0164773,256
quest,1,verdict,1.448,1.41876,0.0152817,256
quest,2,verdict,1.12213,1.10104,0.00941034,256
quest,3,verdict,1.17323,1.14712,0.010592,256
quest,4,verdict,1.18626,1.1626,0.0115818,256
quest,5,verdict,1.24249,1.21785,0.0119164,256
quest,6,verdict,1.25415,1.23244,0.0119546,256
quest,7,verdict,1.44727,1.42342,0.0138379,256
quest,8,verdict,0.953802,0.945008,0.00626671,256
quest,9,verdict,0.818282,0.812353,0.00441634,256
quest,10,verdict,0.660383,0.65459,0.00325445,256
quest,11,verdict,0.610139,0.605906,0.00275181,256
quest,12,verdict,0.530851,0.526438,0.00207975,256
quest,13,verdict,0.51736,0.513672,0.00192744,256
quest,14,verdict,0.417516,0.414322,0.00140077,256
quest,15,verdict,0.396724,0.3939,0.00128069,256
quest,16,verdict,0.346356,0.343142,0.00107932,256
quest,17,verdict,0.295579,0.292767,0.000829213,256
quest,18,verdict,0.295699,0.293812,0.000762712,256
quest,19,verdict,0.272325,0.271035,0.000674287,256
quest,20,verdict,0.259554,0.25818,0.00057711,256
quest,21,verdict,0.241246,0.24015,0.000634036,256
quest,22,verdict,0.226511,0.226239,0.00079528,256
quest,23,verdict,0.196817,0.195645,0.00087592,256
quest,24,verdict,0.19656,0.19639,0.000769992,256
quest,25,verdict,0.170414,0.169788,0.000709467,256
quest,0,truth_final,3.58159,3.51518,0.0713525,256
quest,1,truth_final,3.30306,3.2099,0.0675265,256
quest,2,truth_final,2.24819,2.18582,0.0403157,256
quest,3,truth_final,2.41104,2.38658,0.0443542,256
quest,4,truth_final,2.51019,2.47026,0.0473521,256
quest,5,truth_final,2.6404,2.60377,0.0504597,256
quest,6,truth_final,2.66312,2.62687,0.0507534,256
quest,7,truth_final,3.05859,3.00697,0.0591515,256
quest,8,truth_final,1.63069,1.58898,0.0244524,256
quest,9,truth_final,1.39927,1.36299,0.0180885,256
quest,10,truth_final,1.14497,1.10538,0.0130205,256
quest,11,truth_final,1.08958,1.05608,0.0112986,256
quest,12,truth_final,0.987221,0.961574,0.00903166,256
quest,13,truth_final,0.950172,0.92681,0.00736899,256
quest,14,truth_final,0.817195,0.801556,0.00564295,256
quest,15,truth_final,0.831806,0.814993,0.0052175,256
quest,16,truth_final,0.781159,0.770737,0.00378431,256
quest,17,truth_final,0.666719,0.658502,0.00280752,256
quest,18,truth_final,0.699425,0.696715,0.00246481,256
quest,19,truth_final,0.70408,0.698645,0.00223961,256
quest,20,truth_final,0.648728,0.64614,0.00179926,256
quest,21,truth_final,0.594167,0.594412,0.00201582,256
quest,22,truth_final,0.525304,0.524066,0.00233842,256
quest,23,truth_final,0.425164,0.425012,0.00169272,256
quest,24,truth_final,0.358336,0.358692,0.00158962,256
quest,25,truth_final,0.28648,0.286295,0.001325,256
quest,0,v_q_final,28.078,23.9874,0.840456,256
quest,1,v_q_final,26.2737,22.2723,0.794155,256
quest,2,v_q_final,18.6033,15.5116,0.530764,256
quest,3,v_q_final,19.5673,16.0905,0.577668,256
quest,4,v_q_final,19.909,16.3302,0.613594,256
quest,5,v_q_final,20.658,16.8874,0.644724,256
quest,6,v_q_final,20.9466,17.2187,0.655055,256
quest,7,v_q_final,24.447,20.0752,0.764857,256
quest,8,v_q_final,13.5683,11.3476,0.335613,256
quest,9,v_q_final,12.2362,10.655,0.255736,256
quest,10,v_q_final,10.2819,9.11335,0.196787,256
quest,11,v_q_final,9.74801,8.75536,0.169768,256
quest,12,v_q_final,8.77177,7.87595,0.142797,256
quest,13,v_q_final,8.83894,8.07919,0.123535,256
quest,14,v_q_final,6.61356,5.89576,0.106548,256
quest,15,v_q_final,6.33107,5.62906,0.101215,256
quest,16,v_q_final,5.55841,4.97044,0.0860256,256
quest,17,v_q_final,4.87369,4.42668,0.0660151,256
quest,18,v_q_final,4.6847,4.25414,0.0641885,256
quest,19,v_q_final,4.57328,4.19143,0.05755,256
quest,20,v_q_final,4.14977,3.8424,0.0469717,256
quest,21,v_q_final,3.42213,3.3052,0.020952,256
quest,22,v_q_final,2.92981,2.90873,0.00675749,256
quest,23,v_q_final,2.64091,2.62335,0.00574834,256
quest,24,v_q_final,2.16971,2.16035,0.00433597,256
quest,25,v_q_final,1.14659,1.14691,0.00142048,256
