stmt_index,label,direction,eps,eps_frac,rel_err
110,1,jtw_mean_diff_tgt,2.3858,0.05,0.179619
110,1,jtw_mean_diff_tgt,3.87839,0.08128,0.265853
110,1,jtw_mean_diff_tgt,6.30477,0.1321,0.374635
110,1,jtw_mean_diff_tgt,10.2491,0.2148,0.495634
110,1,jtw_mean_diff_tgt,16.6611,0.3492,0.612461
110,1,jtw_mean_diff_tgt,27.0845,0.5676,0.713566
110,1,jtw_mean_diff_tgt,44.0289,0.9227,0.796966
110,1,jtw_mean_diff_tgt,71.574,1.5,0.86254
110,1,mean_diff_src,2.3858,0.05,0.0279338
110,1,mean_diff_src,3.87839,0.08128,0.0449937
110,1,mean_diff_src,6.30477,0.1321,0.0721939
110,1,mean_diff_src,10.2491,0.2148,0.115448
110,1,mean_diff_src,16.6611,0.3492,0.184422
110,1,mean_diff_src,27.0845,0.5676,0.294487
110,1,mean_diff_src,44.0289,0.9227,0.463988
110,1,mean_diff_src,71.574,1.5,0.692338
110,1,dct_v_top,2.3858,0.05,0.0755899
110,1,dct_v_top,3.87839,0.08128,0.125386
110,1,dct_v_top,6.30477,0.1321,0.208144
110,1,dct_v_top,10.2491,0.2148,0.336767
110,1,dct_v_top,16.6611,0.3492,0.50508
110,1,dct_v_top,27.0845,0.5676,0.775912
110,1,dct_v_top,44.0289,0.9227,0.91115
110,1,dct_v_top,71.574,1.5,0.936447
110,1,random,2.3858,0.05,0.0288503
110,1,random,3.87839,0.08128,0.047295
110,1,random,6.30477,0.1321,0.077934
110,1,random,10.2491,0.2148,0.129435
110,1,random,16.6611,0.3492,0.217237
110,1,random,27.0845,0.5676,0.367336
110,1,random,44.0289,0.9227,0.611134
110,1,random,71.574,1.5,0.950336
125,0,jtw_mean_diff_tgt,2.3858,0.05,0.317545
125,0,jtw_mean_diff_tgt,3.87839,0.08128,0.438168
125,0,jtw_mean_diff_tgt,6.30477,0.1321,0.565748
125,0,jtw_mean_diff_tgt,10.2491,0.2148,0.683583
125,0,jtw_mean_diff_tgt,16.6611,0.3492,0.780521
125,0,jtw_mean_diff_tgt,27.0845,0.5676,0.85367
125,0,jtw_mean_diff_tgt,44.0289,0.9227,0.905409
125,0,jtw_mean_diff_tgt,71.574,1.5,0.938229
125,0,mean_diff_src,2.3858,0.05,0.0516988
125,0,mean_diff_src,3.87839,0.08128,0.0834668
125,0,mean_diff_src,6.30477,0.1321,0.133746
125,0,mean_diff_src,10.2491,0.2148,0.210615
125,0,mean_diff_src,16.6611,0.3492,0.319643
125,0,mean_diff_src,27.0845,0.5676,0.457421
125,0,mean_diff_src,44.0289,0.9227,0.61839
125,0,mean_diff_src,71.574,1.5,0.786644
125,0,dct_v_top,2.3858,0.05,0.0938541
125,0,dct_v_top,3.87839,0.08128,0.153917
125,0,dct_v_top,6.30477,0.1321,0.248555
125,0,dct_v_top,10.2491,0.2148,0.3807
125,0,dct_v_top,16.6611,0.3492,0.536643
125,0,dct_v_top,27.0845,0.5676,0.770866
125,0,dct_v_top,44.0289,0.9227,0.938325
125,0,dct_v_top,71.574,1.5,0.933176
125,0,random,2.3858,0.05,0.0315097
125,0,random,3.87839,0.08128,0.0513116
125,0,random,6.30477,0.1321,0.083653
125,0,random,10.2491,0.2148,0.136513
125,0,random,16.6611,0.3492,0.222666
125,0,random,27.0845,0.5676,0.360601
125,0,random,44.0289,0.9227,0.572024
125,0,random,71.574,1.5,0.874294
127,0,jtw_mean_diff_tgt,2.3858,0.05,0.267962
127,0,jtw_mean_diff_tgt,3.87839,0.08128,0.385483
127,0,jtw_mean_diff_tgt,6.30477,0.1321,0.518641
127,0,jtw_mean_diff_tgt,10.2491,0.2148,0.648474
127,0,jtw_mean_diff_tgt,16.6611,0.3492,0.757666
127,0,jtw_mean_diff_tgt,27.0845,0.5676,0.838866
127,0,jtw_mean_diff_tgt,44.0289,0.9227,0.89695
127,0,jtw_mean_diff_tgt,71.574,1.5,0.937531
127,0,mean_diff_src,2.3858,0.05,0.0490355
127,0,mean_diff_src,3.87839,0.08128,0.0791005
127,0,mean_diff_src,6.30477,0.1321,0.126715
127,0,mean_diff_src,10.2491,0.2148,0.200055
127,0,mean_diff_src,16.6611,0.3492,0.306168
127,0,mean_diff_src,27.0845,0.5676,0.440343
127,0,mean_diff_src,44.0289,0.9227,0.582531
127,0,mean_diff_src,71.574,1.5,0.735962
127,0,dct_v_top,2.3858,0.05,0.0813178
127,0,dct_v_top,3.87839,0.08128,0.13448
127,0,dct_v_top,6.30477,0.1321,0.220825
127,0,dct_v_top,10.2491,0.2148,0.3497
127,0,dct_v_top,16.6611,0.3492,0.520706
127,0,dct_v_top,27.0845,0.5676,0.73652
127,0,dct_v_top,44.0289,0.9227,0.8733
127,0,dct_v_top,71.574,1.5,0.923257
127,0,random,2.3858,0.05,0.032125
127,0,random,3.87839,0.08128,0.0522706
127,0,random,6.30477,0.1321,0.0850067
127,0,random,10.2491,0.2148,0.137865
127,0,random,16.6611,0.3492,0.221398
127,0,random,27.0845,0.5676,0.345782
127,0,random,44.0289,0.9227,0.517485
127,0,random,71.574,1.5,0.788059
137,0,jtw_mean_diff_tgt,2.3858,0.05,0.347211
137,0,jtw_mean_diff_tgt,3.87839,0.08128,0.482683
137,0,jtw_mean_diff_tgt,6.30477,0.1321,0.621471
137,0,jtw_mean_diff_tgt,10.2491,0.2148,0.741753
137,0,jtw_mean_diff_tgt,16.6611,0.3492,0.833223
137,0,jtw_mean_diff_tgt,27.0845,0.5676,0.897768
137,0,jtw_mean_diff_tgt,44.0289,0.9227,0.940996
137,0,jtw_mean_diff_tgt,71.574,1.5,0.965375
137,0,mean_diff_src,2.3858,0.05,0.0721841
137,0,mean_diff_src,3.87839,0.08128,0.117224
137,0,mean_diff_src,6.30477,0.1321,0.189351
137,0,mean_diff_src,10.2491,0.2148,0.300584
137,0,mean_diff_src,16.6611,0.3492,0.454817
137,0,mean_diff_src,27.0845,0.5676,0.6184
137,0,mean_diff_src,44.0289,0.9227,0.726218
137,0,mean_diff_src,71.574,1.5,0.810079
137,0,dct_v_top,2.3858,0.05,0.101702
137,0,dct_v_top,3.87839,0.08128,0.161866
137,0,dct_v_top,6.30477,0.1321,0.251611
137,0,dct_v_top,10.2491,0.2148,0.377603
137,0,dct_v_top,16.6611,0.3492,0.561079
137,0,dct_v_top,27.0845,0.5676,0.824861
137,0,dct_v_top,44.0289,0.9227,0.896326
137,0,dct_v_top,71.574,1.5,0.921495
137,0,random,2.3858,0.05,0.0323245
137,0,random,3.87839,0.08128,0.0524001
137,0,random,6.30477,0.1321,0.0848064
137,0,random,10.2491,0.2148,0.13665
137,0,random,16.6611,0.3492,0.218048
137,0,random,27.0845,0.5676,0.339984
137,0,random,44.0289,0.9227,0.507935
137,0,random,71.574,1.5,0.753948
142,1,jtw_mean_diff_tgt,2.3858,0.05,0.137684
142,1,jtw_mean_diff_tgt,3.87839,0.08128,0.21153
142,1,jtw_mean_diff_tgt,6.30477,0.1321,0.312875
142,1,jtw_mean_diff_tgt,10.2491,0.2148,0.436789
142,1,jtw_mean_diff_tgt,16.6611,0.3492,0.566786
142,1,jtw_mean_diff_tgt,27.0845,0.5676,0.683958
142,1,jtw_mean_diff_tgt,44.0289,0.9227,0.778538
142,1,jtw_mean_diff_tgt,71.574,1.5,0.849558
142,1,mean_diff_src,2.3858,0.05,0.0345629
142,1,mean_diff_src,3.87839,0.08128,0.055288
142,1,mean_diff_src,6.30477,0.1321,0.0875256
142,1,mean_diff_src,10.2491,0.2148,0.136402
142,1,mean_diff_src,16.6611,0.3492,0.208185
142,1,mean_diff_src,27.0845,0.5676,0.31185
142,1,mean_diff_src,44.0289,0.9227,0.463547
142,1,mean_diff_src,71.574,1.5,0.668497
142,1,dct_v_top,2.3858,0.05,0.0755257
142,1,dct_v_top,3.87839,0.08128,0.123839
142,1,dct_v_top,6.30477,0.1321,0.203125
142,1,dct_v_top,10.2491,0.2148,0.331324
142,1,dct_v_top,16.6611,0.3492,0.528845
142,1,dct_v_top,27.0845,0.5676,0.827525
142,1,dct_v_top,44.0289,0.9227,0.981
142,1,dct_v_top,71.574,1.5,0.929578
142,1,random,2.3858,0.05,0.0282276
142,1,random,3.87839,0.08128,0.0461376
142,1,random,6.30477,0.1321,0.0756384
142,1,random,10.2491,0.2148,0.12465
142,1,random,16.6611,0.3492,0.206895
142,1,random,27.0845,0.5676,0.345765
142,1,random,44.0289,0.9227,0.575654
142,1,random,71.574,1.5,0.917356
188,1,jtw_mean_diff_tgt,2.3858,0.05,0.130702
188,1,jtw_mean_diff_tgt,3.87839,0.08128,0.2009
188,1,jtw_mean_diff_tgt,6.30477,0.1321,0.297359
188,1,jtw_mean_diff_tgt,10.2491,0.2148,0.415635
188,1,jtw_mean_diff_tgt,16.6611,0.3492,0.540262
188,1,jtw_mean_diff_tgt,27.0845,0.5676,0.653017
188,1,jtw_mean_diff_tgt,44.0289,0.9227,0.745484
188,1,jtw_mean_diff_tgt,71.574,1.5,0.820924
188,1,mean_diff_src,2.3858,0.05,0.0323328
188,1,mean_diff_src,3.87839,0.08128,0.0520518
188,1,mean_diff_src,6.30477,0.1321,0.0832906
188,1,mean_diff_src,10.2491,0.2148,0.132047
188,1,mean_diff_src,16.6611,0.3492,0.206415
188,1,mean_diff_src,27.0845,0.5676,0.316387
188,1,mean_diff_src,44.0289,0.9227,0.472601
188,1,mean_diff_src,71.574,1.5,0.676018
188,1,dct_v_top,2.3858,0.05,0.067946
188,1,dct_v_top,3.87839,0.08128,0.112204
188,1,dct_v_top,6.30477,0.1321,0.186414
188,1,dct_v_top,10.2491,0.2148,0.307903
188,1,dct_v_top,16.6611,0.3492,0.481677
188,1,dct_v_top,27.0845,0.5676,0.708897
188,1,dct_v_top,44.0289,0.9227,0.890305
188,1,dct_v_top,71.574,1.5,0.916867
188,1,random,2.3858,0.05,0.0286075
188,1,random,3.87839,0.08128,0.0466911
188,1,random,6.30477,0.1321,0.0763814
188,1,random,10.2491,0.2148,0.125503
188,1,random,16.6611,0.3492,0.207725
188,1,random,27.0845,0.5676,0.347503
188,1,random,44.0289,0.9227,0.585747
188,1,random,71.574,1.5,0.960499
189,0,jtw_mean_diff_tgt,2.3858,0.05,0.278753
189,0,jtw_mean_diff_tgt,3.87839,0.08128,0.404528
189,0,jtw_mean_diff_tgt,6.30477,0.1321,0.547249
189,0,jtw_mean_diff_tgt,10.2491,0.2148,0.684603
189,0,jtw_mean_diff_tgt,16.6611,0.3492,0.797575
189,0,jtw_mean_diff_tgt,27.0845,0.5676,0.880055
189,0,jtw_mean_diff_tgt,44.0289,0.9227,0.929284
189,0,jtw_mean_diff_tgt,71.574,1.5,0.955249
189,0,mean_diff_src,2.3858,0.05,0.0637764
189,0,mean_diff_src,3.87839,0.08128,0.107181
189,0,mean_diff_src,6.30477,0.1321,0.183985
189,0,mean_diff_src,10.2491,0.2148,0.325356
189,0,mean_diff_src,16.6611,0.3492,0.584529
189,0,mean_diff_src,27.0845,0.5676,0.948399
189,0,mean_diff_src,44.0289,0.9227,1.14175
189,0,mean_diff_src,71.574,1.5,1.10559
189,0,dct_v_top,2.3858,0.05,0.102672
189,0,dct_v_top,3.87839,0.08128,0.161314
189,0,dct_v_top,6.30477,0.1321,0.246412
189,0,dct_v_top,10.2491,0.2148,0.362507
189,0,dct_v_top,16.6611,0.3492,0.518263
189,0,dct_v_top,27.0845,0.5676,0.739143
189,0,dct_v_top,44.0289,0.9227,0.919559
189,0,dct_v_top,71.574,1.5,0.950741
189,0,random,2.3858,0.05,0.0364418
189,0,random,3.87839,0.08128,0.0592318
189,0,random,6.30477,0.1321,0.0962417
189,0,random,10.2491,0.2148,0.15647
189,0,random,16.6611,0.3492,0.254866
189,0,random,27.0845,0.5676,0.415066
189,0,random,44.0289,0.9227,0.65237
189,0,random,71.574,1.5,0.881139
236,1,jtw_mean_diff_tgt,2.3858,0.05,0.165375
236,1,jtw_mean_diff_tgt,3.87839,0.08128,0.247738
236,1,jtw_mean_diff_tgt,6.30477,0.1321,0.353988
236,1,jtw_mean_diff_tgt,10.2491,0.2148,0.474124
236,1,jtw_mean_diff_tgt,16.6611,0.3492,0.591396
236,1,jtw_mean_diff_tgt,27.0845,0.5676,0.695899
236,1,jtw_mean_diff_tgt,44.0289,0.9227,0.786019
