stmt_index,label,direction,eps,eps_frac,rel_err
74,1,jtw_mean_diff_tgt,4.33665,0.05,0.171766
74,1,jtw_mean_diff_tgt,7.04972,0.08128,0.263928
74,1,jtw_mean_diff_tgt,11.4601,0.1321,0.385257
74,1,jtw_mean_diff_tgt,18.6297,0.2148,0.522298
74,1,jtw_mean_diff_tgt,30.2847,0.3492,0.653379
74,1,jtw_mean_diff_tgt,49.2313,0.5676,0.763897
74,1,jtw_mean_diff_tgt,80.031,0.9227,0.845285
74,1,jtw_mean_diff_tgt,130.099,1.5,0.897466
74,1,mean_diff_src,4.33665,0.05,0.0574287
74,1,mean_diff_src,7.04972,0.08128,0.0926287
74,1,mean_diff_src,11.4601,0.1321,0.148038
74,1,mean_diff_src,18.6297,0.2148,0.231806
74,1,mean_diff_src,30.2847,0.3492,0.348128
74,1,mean_diff_src,49.2313,0.5676,0.487249
74,1,mean_diff_src,80.031,0.9227,0.623236
74,1,mean_diff_src,130.099,1.5,0.736197
74,1,dct_v_top,4.33665,0.05,0.158565
74,1,dct_v_top,7.04972,0.08128,0.265671
74,1,dct_v_top,11.4601,0.1321,0.448182
74,1,dct_v_top,18.6297,0.2148,0.759592
74,1,dct_v_top,30.2847,0.3492,1.36877
74,1,dct_v_top,49.2313,0.5676,1.55586
74,1,dct_v_top,80.031,0.9227,1.2937
74,1,dct_v_top,130.099,1.5,1.15647
74,1,random,4.33665,0.05,0.040611
74,1,random,7.04972,0.08128,0.0660622
74,1,random,11.4601,0.1321,0.10748
74,1,random,18.6297,0.2148,0.174667
74,1,random,30.2847,0.3492,0.28255
74,1,random,49.2313,0.5676,0.4501
74,1,random,80.031,0.9227,0.688495
74,1,random,130.099,1.5,0.976561
96,1,jtw_mean_diff_tgt,4.33665,0.05,0.261535
96,1,jtw_mean_diff_tgt,7.04972,0.08128,0.377187
96,1,jtw_mean_diff_tgt,11.4601,0.1321,0.505691
96,1,jtw_mean_diff_tgt,18.6297,0.2148,0.644359
96,1,jtw_mean_diff_tgt,30.2847,0.3492,0.766957
96,1,jtw_mean_diff_tgt,49.2313,0.5676,0.855688
96,1,jtw_mean_diff_tgt,80.031,0.9227,0.919382
96,1,jtw_mean_diff_tgt,130.099,1.5,0.959973
96,1,mean_diff_src,4.33665,0.05,0.054101
96,1,mean_diff_src,7.04972,0.08128,0.088182
96,1,mean_diff_src,11.4601,0.1321,0.144024
96,1,mean_diff_src,18.6297,0.2148,0.236357
96,1,mean_diff_src,30.2847,0.3492,0.392795
96,1,mean_diff_src,49.2313,0.5676,0.670196
96,1,mean_diff_src,80.031,0.9227,1.06765
96,1,mean_diff_src,130.099,1.5,1.20557
96,1,dct_v_top,4.33665,0.05,0.147084
96,1,dct_v_top,7.04972,0.08128,0.252525
96,1,dct_v_top,11.4601,0.1321,0.445108
96,1,dct_v_top,18.6297,0.2148,0.787076
96,1,dct_v_top,30.2847,0.3492,1.25077
96,1,dct_v_top,49.2313,0.5676,2.02984
96,1,dct_v_top,80.031,0.9227,1.69013
96,1,dct_v_top,130.099,1.5,1.45602
96,1,random,4.33665,0.05,0.0392698
96,1,random,7.04972,0.08128,0.0642208
96,1,random,11.4601,0.1321,0.105502
96,1,random,18.6297,0.2148,0.174686
96,1,random,30.2847,0.3492,0.293178
96,1,random,49.2313,0.5676,0.500422
96,1,random,80.031,0.9227,0.842824
96,1,random,130.099,1.5,1.29612
127,1,jtw_mean_diff_tgt,4.33665,0.05,0.4177
127,1,jtw_mean_diff_tgt,7.04972,0.08128,0.91174
127,1,jtw_mean_diff_tgt,11.4601,0.1321,1.2456
127,1,jtw_mean_diff_tgt,18.6297,0.2148,1.09509
127,1,jtw_mean_diff_tgt,30.2847,0.3492,0.979779
127,1,jtw_mean_diff_tgt,49.2313,0.5676,0.935338
127,1,jtw_mean_diff_tgt,80.031,0.9227,0.931315
127,1,jtw_mean_diff_tgt,130.099,1.5,0.960421
127,1,mean_diff_src,4.33665,0.05,0.0682125
127,1,mean_diff_src,7.04972,0.08128,0.110456
127,1,mean_diff_src,11.4601,0.1321,0.178295
127,1,mean_diff_src,18.6297,0.2148,0.28694
127,1,mean_diff_src,30.2847,0.3492,0.478482
127,1,mean_diff_src,49.2313,0.5676,1.0452
127,1,mean_diff_src,80.031,0.9227,1.18416
127,1,mean_diff_src,130.099,1.5,1.03329
127,1,dct_v_top,4.33665,0.05,0.225371
127,1,dct_v_top,7.04972,0.08128,0.412946
127,1,dct_v_top,11.4601,0.1321,0.968773
127,1,dct_v_top,18.6297,0.2148,1.98447
127,1,dct_v_top,30.2847,0.3492,1.93881
127,1,dct_v_top,49.2313,0.5676,1.5558
127,1,dct_v_top,80.031,0.9227,1.31483
127,1,dct_v_top,130.099,1.5,1.19918
