stmt_index,step,g,m,delta_norm,cos_jtw0,capped
60,0,22.0726,7.17173,0,1,0
60,1,-3.57501,9.93915,3.07773,0.949874,0
60,2,-0.0908778,9.44333,2.73838,0.962156,0
60,3,-6.63832e-05,9.43084,2.72924,0.962458,0
804,0,12.6495,8.16468,0,1,0
804,1,-1.03657,9.62713,1.54929,0.98487,0
804,2,-0.00698877,9.49814,1.44337,0.987056,0
804,3,-1.64959e-05,9.49728,1.44265,0.987071,0
464,0,16.7054,7.33781,0,1,0
464,1,-1.79355,9.12,2.27662,0.970647,0
464,2,-0.0210848,8.90765,2.08627,0.976056,0
464,3,2.14699e-06,8.90517,2.08397,0.976117,0
450,0,25.9079,7.43928,0,1,0
450,1,-6.21614,11.806,3.48258,0.901731,0
450,2,-0.280619,10.7602,3.0164,0.933493,0
450,3,-0.000642945,10.7116,2.99285,0.934902,0
834,0,35.0489,5.91521,0,1,0
834,1,-5.42452,8.46777,5.92521,0.884014,0
834,2,-0.200117,7.87017,5.36727,0.915478,0
834,3,-0.000239665,7.84949,5.34461,0.916573,0
1320,0,20.7003,7.62767,0,1,0
1320,1,-3.80407,10.9581,2.71384,0.946743,0
1320,2,-0.114451,10.3117,2.3878,0.961128,0
1320,3,-9.79284e-05,10.2923,2.37729,0.961548,0
58,0,35.1412,5.78549,0,1,0
58,1,-7.26424,9.28116,6.07403,0.857296,0
58,2,-0.423177,8.25677,5.41804,0.902929,0
58,3,-0.00143325,8.20046,5.37358,0.905505,0
1030,0,21.262,8.32394,0,1,0
1030,1,-4.43282,12.5118,2.55432,0.94728,0
1030,2,-0.169381,11.5863,2.22161,0.963735,0
1030,3,-0.000252668,11.5518,2.20774,0.964322,0
830,0,16.7485,7.94513,0,1,0
830,1,-1.87178,9.87923,2.10802,0.979116,0
830,2,-0.0208104,9.66092,1.9229,0.98289,0
830,3,-7.96312e-06,9.6585,1.92079,0.982931,0
1398,0,19.911,7.77178,0,1,0
1398,1,-2.48851,9.93306,2.56196,0.969104,0
1398,2,-0.0357668,9.65059,2.32,0.975389,0
1398,3,1.05845e-05,9.64655,2.31641,0.975476,0
142,0,18.889,7.4705,0,1,0
142,1,-2.50262,9.73454,2.52848,0.964693,0
142,2,-0.0424356,9.40879,2.28148,0.972313,0
142,3,-1.51106e-05,9.4033,2.27713,0.972437,0
360,0,22.0975,7.70415,0,1,0
360,1,-3.09207,10.1526,2.86826,0.961312,0
360,2,-0.0558584,9.79038,2.57685,0.969779,0
360,3,-2.38826e-05,9.78386,2.57137,0.969927,0
328,0,37.4159,5.45028,0,1,0
328,1,-7.80143,9.31576,6.86496,0.810939,0
328,2,-0.583305,8.01045,6.20522,0.87081,0
328,3,-0.00333154,7.91918,6.14495,0.875308,0
1132,0,10.8156,8.2496,0,1,0
1132,1,-0.94462,9.79827,1.31104,0.988989,0
1132,2,-0.00676824,9.65975,1.21578,0.990615,0
1132,3,2.01258e-05,9.65876,1.21509,0.990627,0
1254,0,25.8965,7.80641,0,1,0
1254,1,-4.85379,11.1243,3.31733,0.952494,0
1254,2,-0.12943,10.5369,2.90478,0.964605,0
1254,3,-9.18665e-05,10.5209,2.89309,0.964923,0
1468,0,20.2714,7.55413,0,1,0
1468,1,-2.3501,9.48886,2.68349,0.967958,0
1468,2,-0.0291847,9.25557,2.44455,0.97388,0
1468,3,8.65075e-06,9.25268,2.4415,0.973951,0
786,0,20.0324,8.2069,0,1,0
786,1,-3.38668,11.3715,2.44092,0.962655,0
786,2,-0.0807134,10.8372,2.15573,0.971828,0
786,3,-5.61248e-05,10.8244,2.14857,0.97204,0
122,0,37.1572,5.87806,0,1,0
122,1,-4.55914,7.873,6.32135,0.886915,0
122,2,-0.121384,7.47034,5.81391,0.912601,0
122,3,-0.000118107,7.46036,5.7994,0.913241,0
486,0,11.7338,7.9204,0,1,0
486,1,-0.949402,9.27002,1.48146,0.98958,0
486,2,-0.00554201,9.16241,1.38019,0.991019,0
486,3,2.18464e-05,9.16178,1.37959,0.991027,0
780,0,40.1976,5.33814,0,1,0
780,1,-14.4758,10.998,7.53027,0.80216,0
780,2,-1.41597,8.93761,6.52198,0.873697,0
780,3,-0.0168727,8.72572,6.39445,0.881487,0
976,0,20.2885,8.07644,0,1,0
976,1,-2.95371,10.704,2.51206,0.968512,0
976,2,-0.0534462,10.3206,2.24585,0.975441,0
976,3,-3.6919e-05,10.3137,2.24084,0.975563,0
930,0,20.8403,7.92777,0,1,0
930,1,-3.20699,10.6407,2.62877,0.967535,0
