stmt_index,step,g,m,delta_norm,cos_jtw0,capped
978,0,62.1795,5.14153,0,1,0
978,1,-9.19807,6.95822,12.0936,0.858514,0
978,2,-0.200674,6.65837,10.9796,0.885842,0
978,3,-0.000121869,6.65179,10.9539,0.886427,0
933,0,94.4343,7.34551,0,1,0
933,1,-9.86508,9.27257,12.8561,0.768593,0
933,2,-0.0921072,9.08981,12.0576,0.799137,0
933,3,-5.03545e-05,9.08782,12.0498,0.799422,0
859,0,8.47365,8.21938,0,1,0
859,1,-0.052564,8.31857,1.03094,0.997886,0
859,2,2.02144e-05,8.31802,1.02463,0.997912,0
859,3,-1.10203e-05,8.31802,1.02463,0.997912,0
916,0,39.4528,7.77163,0,1,0
916,1,-1.80286,8.50593,5.07652,0.951015,0
916,2,-0.00334394,8.47425,4.87538,0.954861,0
916,3,2.46855e-07,8.47419,4.87501,0.954868,0
127,0,63.7652,5.88055,0,1,0
127,1,8.47815,5.7829,10.8434,0.676316,0
127,2,-0.308521,6.22815,11.8841,0.627921,0
127,3,-0.000450137,6.21064,11.8497,0.629578,0
608,0,77.895,6.41015,0,1,0
608,1,-10.4489,8.36792,12.1518,0.795303,0
608,2,-0.147049,8.12589,11.1844,0.830074,0
608,3,8.06518e-06,8.12212,11.1701,0.830559,0
856,0,107.047,6.16005,0,1,0
856,1,16.6798,5.9381,17.3776,0.615863,0
856,2,-0.893089,6.58565,19.2353,0.535055,0
856,3,-0.00219318,6.5533,19.1504,0.53887,0
260,0,81.7085,5.56789,0,1,0
260,1,-7.27059,7.53226,14.6749,0.718132,0
260,2,-0.154956,7.21475,13.9979,0.748721,0
260,3,-9.23837e-05,7.20793,13.9825,0.749383,0
147,0,89.9026,6.47049,0,1,0
147,1,7.19594,6.16403,13.8943,0.76645,0
147,2,-0.0486273,6.25449,14.808,0.742156,0
147,3,3.21736e-05,6.25374,14.802,0.74233,0
810,0,116.374,5.04876,0,1,0
810,1,-1.31046,6.03759,23.05,0.561351,0
810,2,-0.00241518,6.01524,22.9289,0.567424,0
810,3,-6.88989e-06,6.0152,22.9287,0.567435,0
635,0,95.7894,5.45002,0,1,0
