stmt_index,label,eps_star,m_pred,g_full,scale,g_read
978,1,12.0936,5.14153,62.1795,0.0,62.1795
978,1,12.0936,5.14153,62.1795,12.093585005555674,109.401
978,1,12.0936,5.14153,62.1795,-12.093585005555674,-9.19807
978,1,12.0936,5.14153,62.1795,24.18717001111135,134.456
978,1,12.0936,5.14153,62.1795,-24.18717001111135,-68.0359
933,1,12.856,7.34551,94.4343,0.0,94.4343
933,1,12.856,7.34551,94.4343,12.856047800080697,159.776
933,1,12.856,7.34551,94.4343,-12.856047800080697,-9.86522
933,1,12.856,7.34551,94.4343,25.712095600161394,185.001
933,1,12.856,7.34551,94.4343,-25.712095600161394,-68.7406
859,1,1.03094,8.21938,8.47365,0.0,8.47365
859,1,1.03094,8.21938,8.47365,1.0309353966182087,16.855
859,1,1.03094,8.21938,8.47365,-1.0309353966182087,-0.0525513
859,1,1.03094,8.21938,8.47365,2.0618707932364173,24.9809
859,1,1.03094,8.21938,8.47365,-2.0618707932364173,-8.5985
916,1,5.07652,7.77163,39.4528,0.0,39.4528
916,1,5.07652,7.77163,39.4528,5.076520282006862,74.4523
916,1,5.07652,7.77163,39.4528,-5.076520282006862,-1.80301
916,1,5.07652,7.77163,39.4528,10.153040564013724,99.648
916,1,5.07652,7.77163,39.4528,-10.153040564013724,-38.8066
127,1,10.8434,5.88055,63.7651,0.0,63.7652
127,1,10.8434,5.88055,63.7651,10.84339210726802,117.121
127,1,10.8434,5.88055,63.7651,-10.84339210726802,8.47816
127,1,10.8434,5.88055,63.7651,21.68678421453604,130.333
127,1,10.8434,5.88055,63.7651,-21.68678421453604,-24.0873
608,1,12.1518,6.41015,77.895,0.0,77.895
608,1,12.1518,6.41015,77.895,12.151823080961469,133.583
608,1,12.1518,6.41015,77.895,-12.151823080961469,-10.449
608,1,12.1518,6.41015,77.895,24.303646161922938,159.716
608,1,12.1518,6.41015,77.895,-24.303646161922938,-65.258
856,1,17.3776,6.16005,107.047,0.0,107.047
856,1,17.3776,6.16005,107.047,17.377612227081237,179.096
856,1,17.3776,6.16005,107.047,-17.377612227081237,16.6796
856,1,17.3776,6.16005,107.047,34.75522445416247,209.379
856,1,17.3776,6.16005,107.047,-34.75522445416247,-27.2995
260,1,14.6749,5.56789,81.7084,0.0,81.7085
260,1,14.6749,5.56789,81.7084,14.674930332832817,137.226
260,1,14.6749,5.56789,81.7084,-14.674930332832817,-7.27103
260,1,14.6749,5.56789,81.7084,29.349860665665634,156.067
260,1,14.6749,5.56789,81.7084,-29.349860665665634,-62.9708
147,1,13.8943,6.47049,89.9026,0.0,89.9026
147,1,13.8943,6.47049,89.9026,13.89425025526639,157.856
147,1,13.8943,6.47049,89.9026,-13.89425025526639,7.19652
147,1,13.8943,6.47049,89.9026,27.78850051053278,186.242
147,1,13.8943,6.47049,89.9026,-27.78850051053278,-41.7542
810,1,23.05,5.04876,116.374,0.0,116.374
810,1,23.05,5.04876,116.374,23.050033271993545,186.431
810,1,23.05,5.04876,116.374,-23.050033271993545,-1.31119
810,1,23.05,5.04876,116.374,46.10006654398709,213.382
810,1,23.05,5.04876,116.374,-46.10006654398709,-41.6012
635,1,17.576,5.45002,95.7894,0.0,95.7894
635,1,17.576,5.45002,95.7894,17.575965155687577,155.98
635,1,17.576,5.45002,95.7894,-17.575965155687577,-0.811996
635,1,17.576,5.45002,95.7894,35.15193031137515,179.997
635,1,17.576,5.45002,95.7894,-35.15193031137515,-47.0348
972,1,27.6826,4.48867,124.258,0.0,124.258
972,1,27.6826,4.48867,124.258,27.682603005360544,192.749
972,1,27.6826,4.48867,124.258,-27.682603005360544,6.20573
972,1,27.6826,4.48867,124.258,55.36520601072109,218.83
972,1,27.6826,4.48867,124.258,-55.36520601072109,-35.3001
593,1,9.58922,9.5248,91.3354,0.0,91.3355
593,1,9.58922,9.5248,91.3354,9.589217223349856,129.59
593,1,9.58922,9.5248,91.3354,-9.589217223349856,41.43
593,1,9.58922,9.5248,91.3354,19.17843444669971,141.267
593,1,9.58922,9.5248,91.3354,-19.17843444669971,17.3975
994,1,12.4327,6.87924,85.5272,0.0,85.5272
994,1,12.4327,6.87924,85.5272,12.432661874687183,144.333
994,1,12.4327,6.87924,85.5272,-12.432661874687183,-0.100182
994,1,12.4327,6.87924,85.5272,24.865323749374365,166.823
994,1,12.4327,6.87924,85.5272,-24.865323749374365,-50.4433
285,1,10.0367,6.56122,65.8532,0.0,65.8531
285,1,10.0367,6.56122,65.8532,10.036716310042134,116.092
285,1,10.0367,6.56122,65.8532,-10.036716310042134,-4.77947
285,1,10.0367,6.56122,65.8532,20.07343262008427,139.419
285,1,10.0367,6.56122,65.8532,-20.07343262008427,-60.0588
554,1,0,5.89081,-4.70924,0.0,-4.70918
467,1,6.95034,7.12316,49.5083,0.0,49.5084
467,1,6.95034,7.12316,49.5083,6.950335516052886,87.5672
467,1,6.95034,7.12316,49.5083,-6.950335516052886,-3.03113
467,1,6.95034,7.12316,49.5083,13.900671032105771,106.128
467,1,6.95034,7.12316,49.5083,-13.900671032105771,-43.1195
276,1,31.3958,4.33045,135.958,0.0,135.958
276,1,31.3958,4.33045,135.958,31.395782885997832,222.19
276,1,31.3958,4.33045,135.958,-31.395782885997832,11.1265
276,1,31.3958,4.33045,135.958,62.791565771995664,256.58
276,1,31.3958,4.33045,135.958,-62.791565771995664,-39.0389
55,1,3.706,8.12113,30.0969,0.0,30.0969
55,1,3.706,8.12113,30.0969,3.706002870429712,58.1672
55,1,3.706,8.12113,30.0969,-3.706002870429712,-0.760338
55,1,3.706,8.12113,30.0969,7.412005740859424,80.6633
55,1,3.706,8.12113,30.0969,-7.412005740859424,-30.362
61,1,16.9663,6.1394,104.163,0.0,104.163
61,1,16.9663,6.1394,104.163,16.966322552699317,173.029
61,1,16.9663,6.1394,104.163,-16.966322552699317,-1.16227
61,1,16.9663,6.1394,104.163,33.932645105398635,202.576
61,1,16.9663,6.1394,104.163,-33.932645105398635,-38.9666
839,1,5.77674,7.96353,46.0032,0.0,46.0032
839,1,5.77674,7.96353,46.0032,5.776736335924013,85.6607
839,1,5.77674,7.96353,46.0032,-5.776736335924013,-2.15638
839,1,5.77674,7.96353,46.0032,11.553472671848025,112.029
839,1,5.77674,7.96353,46.0032,-11.553472671848025,-42.6647
425,1,0,7.84106,-32.2952,0.0,-32.2952
82,1,19.5966,5.1318,100.566,0.0,100.566
82,1,19.5966,5.1318,100.566,19.596629339786556,166.29
82,1,19.5966,5.1318,100.566,-19.596629339786556,-15.7933
82,1,19.5966,5.1318,100.566,39.19325867957311,197.423
82,1,19.5966,5.1318,100.566,-39.19325867957311,-75.3337
620,1,16.6152,6.41039,106.51,0.0,106.51
620,1,16.6152,6.41039,106.51,16.615247254241876,176.24
620,1,16.6152,6.41039,106.51,-16.615247254241876,0.0479889
620,1,16.6152,6.41039,106.51,33.23049450848375,195.229
620,1,16.6152,6.41039,106.51,-33.23049450848375,-54.9942
787,1,24.4086,5.25639,128.301,0.0,128.301
787,1,24.4086,5.25639,128.301,24.408557877411564,184.034
787,1,24.4086,5.25639,128.301,-24.408557877411564,44.9292
787,1,24.4086,5.25639,128.301,48.81711575482313,200.984
787,1,24.4086,5.25639,128.301,-48.81711575482313,21.3141
2,1,3.18124,15.3162,48.7243,0.0,48.7243
2,1,3.18124,15.3162,48.7243,3.181237875871534,87.4672
2,1,3.18124,15.3162,48.7243,-3.181237875871534,22.9641
2,1,3.18124,15.3162,48.7243,6.362475751743068,101.623
2,1,3.18124,15.3162,48.7243,-6.362475751743068,12.7682
753,1,25.6072,5.44311,139.383,0.0,139.383
753,1,25.6072,5.44311,139.383,25.60724944786246,208.041
753,1,25.6072,5.44311,139.383,-25.60724944786246,10.8114
753,1,25.6072,5.44311,139.383,51.21449889572492,232.336
753,1,25.6072,5.44311,139.383,-51.21449889572492,-30.0788
7,1,5.43024,7.74434,42.0536,0.0,42.0536
7,1,5.43024,7.74434,42.0536,5.4302382724486025,78.8044
7,1,5.43024,7.74434,42.0536,-5.4302382724486025,-3.07912
7,1,5.43024,7.74434,42.0536,10.860476544897205,104.81
7,1,5.43024,7.74434,42.0536,-10.860476544897205,-45.7289
903,1,1.26737,6.95894,8.81953,0.0,8.81953
903,1,1.26737,6.95894,8.81953,1.2673659526955732,17.598
903,1,1.26737,6.95894,8.81953,-1.2673659526955732,0.00824738
903,1,1.26737,6.95894,8.81953,2.5347319053911463,26.2037
903,1,1.26737,6.95894,8.81953,-2.5347319053911463,-8.6852
626,1,15.9691,6.15848,98.3456,0.0,98.3456
626,1,15.9691,6.15848,98.3456,15.969122436548083,158.827
626,1,15.9691,6.15848,98.3456,-15.969122436548083,-8.95769
626,1,15.9691,6.15848,98.3456,31.938244873096167,178.053
626,1,15.9691,6.15848,98.3456,-31.938244873096167,-63.91
51,1,6.49975,7.64222,49.6726,0.0,49.6726
51,1,6.49975,7.64222,49.6726,6.499753035704173,94.4844
51,1,6.49975,7.64222,49.6726,-6.499753035704173,3.01072
51,1,6.49975,7.64222,49.6726,12.999506071408346,124.419
51,1,6.49975,7.64222,49.6726,-12.999506071408346,-29.1104
557,1,13.0037,8.27069,107.549,0.0,107.55
557,1,13.0037,8.27069,107.549,13.003691399729913,179.842
557,1,13.0037,8.27069,107.549,-13.003691399729913,9.81503
557,1,13.0037,8.27069,107.549,26.007382799459826,203.585
557,1,13.0037,8.27069,107.549,-26.007382799459826,-43.9646
310,1,16.4661,5.21783,85.9174,0.0,85.9174
310,1,16.4661,5.21783,85.9174,16.466112208249474,150.304
310,1,16.4661,5.21783,85.9174,-16.466112208249474,-7.70106
310,1,16.4661,5.21783,85.9174,32.93222441649895,178.733
310,1,16.4661,5.21783,85.9174,-32.93222441649895,-70.4254
100,1,18.8904,6.09996,115.231,0.0,115.231
100,1,18.8904,6.09996,115.231,18.890405833539635,188.826
100,1,18.8904,6.09996,115.231,-18.890405833539635,1.74951
100,1,18.8904,6.09996,115.231,37.78081166707927,211.599
100,1,18.8904,6.09996,115.231,-37.78081166707927,-40.511
848,1,9.33958,6.42437,60.0009,0.0,60.0009
848,1,9.33958,6.42437,60.0009,9.339581698945809,111.854
848,1,9.33958,6.42437,60.0009,-9.339581698945809,0.237968
848,1,9.33958,6.42437,60.0009,18.679163397891617,145.393
848,1,9.33958,6.42437,60.0009,-18.679163397891617,-41.7752
921,1,21.7247,5.72364,124.344,0.0,124.344
921,1,21.7247,5.72364,124.344,21.72467573150494,202.506
921,1,21.7247,5.72364,124.344,-21.72467573150494,36.0814
921,1,21.7247,5.72364,124.344,43.44935146300988,227.319
921,1,21.7247,5.72364,124.344,-43.44935146300988,2.64854
45,1,6.94999,7.36003,51.1522,0.0,51.1522
45,1,6.94999,7.36003,51.1522,6.949994679775259,94.0584
45,1,6.94999,7.36003,51.1522,-6.949994679775259,4.03253
45,1,6.94999,7.36003,51.1522,13.899989359550519,116.284
45,1,6.94999,7.36003,51.1522,-13.899989359550519,-30.1017
976,1,16.0713,6.32222,101.606,0.0,101.606
976,1,16.0713,6.32222,101.606,16.07130766498213,170.622
976,1,16.0713,6.32222,101.606,-16.07130766498213,4.61493
976,1,16.0713,6.32222,101.606,32.14261532996426,196.271
976,1,16.0713,6.32222,101.606,-32.14261532996426,-43.2958
136,1,19.9793,6.19701,123.812,0.0,123.812
136,1,19.9793,6.19701,123.812,19.97927278888587,201.159
136,1,19.9793,6.19701,123.812,-19.97927278888587,12.9792
136,1,19.9793,6.19701,123.812,39.95854557777174,227.747
136,1,19.9793,6.19701,123.812,-39.95854557777174,-27.8118
128,1,13.6408,5.95714,81.2601,0.0,81.2601
128,1,13.6408,5.95714,81.2601,13.640783754946906,135.171
128,1,13.6408,5.95714,81.2601,-13.640783754946906,-12.3841
128,1,13.6408,5.95714,81.2601,27.28156750989381,157.239
