stmt_index,m_pred,slope_samepoint,calibration,slope_stem,context_factor
0,6.779,6.87195,1.01371,0.606265,0.0882232
12,7.75282,7.69784,0.992908,0.20509,0.0266425
28,8.6236,8.5364,0.989888,0.455417,0.0533501
40,7.29442,7.34474,1.0069,0.488341,0.0664885
56,6.67969,6.74728,1.01012,0.529228,0.0784358
58,5.78549,5.71304,0.987478,0.567726,0.0993736
60,7.17173,7.22467,1.00738,0.487297,0.0674491
72,7.88375,7.78047,0.9869,0.588384,0.0756231
80,7.81603,7.76185,0.993068,0.5549,0.0714907
88,6.8391,6.85613,1.00249,0.447317,0.0652435
92,7.16253,7.07122,0.987251,0.570683,0.0807051
96,6.43262,6.56662,1.02083,0.586771,0.0893566
102,6.80104,6.8949,1.0138,0.583331,0.0846033
110,8.56549,8.74022,1.0204,0.54574,0.06244
118,6.75675,6.9058,1.02206,0.496317,0.0718697
120,5.6587,5.48494,0.969293,0.3171,0.0578129
122,5.87806,5.39465,0.917761,0.400106,0.0741672
128,5.88429,5.74481,0.976296,0.354969,0.0617895
142,7.47051,7.47272,1.0003,0.869528,0.11636
154,6.60517,6.59264,0.998103,0.647708,0.0982471
166,7.36353,7.28653,0.989543,0.629067,0.0863328
172,8.10705,8.13081,1.00293,0.699404,0.0860191
182,7.40721,7.44435,1.00501,0.401457,0.0539277
192,8.9544,8.96358,1.00103,0.610849,0.0681479
196,6.91536,6.67043,0.964582,0.55492,0.0831911
200,6.77725,6.82988,1.00777,0.467807,0.0684942
202,6.6244,6.57971,0.993254,0.687421,0.104476
214,9.35645,9.35469,0.999812,0.456144,0.048761
230,7.63627,7.65007,1.00181,0.644606,0.0842614
232,7.782,7.79371,1.00151,0.641005,0.0822464
240,9.52856,9.78224,1.02662,0.493547,0.0504534
248,6.38766,6.66643,1.04364,0.642153,0.0963264
256,5.45383,5.40323,0.990722,0.557623,0.103202
262,7.43834,7.43807,0.999964,0.587594,0.0789982
264,6.77933,6.82107,1.00616,0.513266,0.0752471
270,7.80743,7.77292,0.99558,0.567018,0.0729478
272,5.96648,5.44961,0.913371,0.726538,0.133319
276,7.85717,7.83961,0.997766,0.435299,0.0555256
280,6.20082,6.31489,1.0184,0.606913,0.0961082
284,5.89886,5.87201,0.995449,0.578114,0.0984524
294,7.11465,7.3416,1.0319,0.530325,0.0722357
302,7.74412,7.71182,0.995829,0.640786,0.0830914
304,7.15312,7.27141,1.01654,0.573202,0.0788295
