stmt_index,m_pred,slope_samepoint,calibration,slope_stem,context_factor
2,15.3162,7.61379,0.497107,2.1516,0.282593
6,4.91215,3.82269,0.778211,1.64741,0.430956
7,7.74434,7.05239,0.91065,0.897592,0.127275
11,7.67518,6.82924,0.889782,1.27601,0.186845
21,7.3284,4.43058,0.604577,0.837061,0.188928
25,8.0319,4.83103,0.601481,0.892813,0.184808
35,5.861,3.53967,0.603937,0.778936,0.220059
36,6.4685,4.49252,0.694523,1.18185,0.263071
38,6.17739,4.54354,0.735511,0.657483,0.144707
45,7.36003,5.50788,0.74835,0.72817,0.132205
51,7.64222,6.1315,0.802319,1.35969,0.221756
55,8.12113,7.5817,0.933577,1.43753,0.189605
61,6.1394,3.87401,0.631007,0.553991,0.143002
66,5.26804,2.44786,0.464663,0.685529,0.280052
79,9.08748,6.22565,0.68508,1.48122,0.237923
82,5.1318,3.71287,0.723502,0.839988,0.226237
83,5.68677,3.70111,0.650829,1.07811,0.291294
86,4.12032,3.47988,0.844566,0.570464,0.163932
88,4.84875,3.19523,0.658981,0.851354,0.266445
96,6.36442,4.82388,0.757944,1.585,0.328573
98,4.57837,2.7365,0.597703,0.440961,0.16114
100,6.09996,3.65951,0.599924,0.898701,0.245579
116,5.22132,2.64422,0.506427,0.647909,0.245028
125,5.14308,3.03901,0.590893,0.400084,0.13165
127,5.88055,3.85012,0.654721,1.12262,0.291582
128,5.95714,4.33712,0.728054,0.518467,0.119542
129,7.59117,4.81978,0.634919,0.865617,0.179597
130,4.02005,3.13985,0.781047,0.738786,0.235293
135,7.05977,5.32153,0.753782,1.02896,0.193358
136,6.19701,3.50011,0.564807,0.545834,0.155947
142,6.71557,4.14681,0.617491,0.903557,0.217892
143,5.7851,3.41314,0.589988,1.05725,0.30976
146,6.13137,3.70088,0.603598,0.627672,0.169601
147,6.47049,4.36621,0.674788,0.905628,0.207417
150,6.64804,2.95365,0.444289,0.811859,0.274866
151,8.33134,6.2842,0.754284,1.50041,0.238758
152,6.93254,4.51195,0.650837,0.959453,0.212647
166,6.2353,5.2114,0.83579,1.04549,0.200616
171,6.71255,4.89821,0.72971,0.679176,0.138658
179,6.36356,4.7804,0.751214,1.27589,0.266901
180,5.16071,3.11917,0.604406,0.537964,0.17247
193,5.76662,3.96375,0.687361,1.34375,0.339009
197,6.93928,3.28514,0.473412,0.529356,0.161137
199,5.72025,3.75823,0.657004,1.03453,0.275272
203,4.62302,3.26187,0.705572,0.935687,0.286856
218,6.26791,4.38556,0.699685,1.12167,0.255765
222,5.10686,2.58306,0.505802,0.680561,0.263471
224,4.11626,3.10759,0.754954,0.677652,0.218064
230,7.89531,5.88615,0.745524,1.63457,0.277698
232,6.12246,4.14358,0.676784,0.892962,0.215505
236,4.75452,2.91425,0.612943,0.277326,0.0951623
238,7.17197,6.06192,0.845224,0.452193,0.0745956
239,9.27968,9.12503,0.983334,1.39364,0.152728
248,5.45775,3.15236,0.577593,0.797617,0.253022
250,6.25204,4.80192,0.768057,0.622037,0.129539
252,5.69798,4.28702,0.752375,0.859768,0.200552
253,5.06752,3.0361,0.59913,0.717921,0.236461
260,5.56789,3.96985,0.71299,0.547746,0.137977
268,6.80777,4.21021,0.618442,0.781814,0.185695
276,4.33045,2.55544,0.59011,0.786198,0.307656
285,6.56122,5.17925,0.789374,1.39824,0.269969
297,5.17167,3.08463,0.596448,0.965355,0.312956
302,7.75389,4.79815,0.618805,0.553005,0.115254
306,5.69208,4.57872,0.804402,0.987575,0.215688
310,5.21783,3.98589,0.763899,0.978433,0.245474
315,6.30944,6.0647,0.961211,1.08335,0.178632
