direction,scale,prompt,completion
jtw_stmt,0.0,The city of Tirunelveli is in,the southern part of Tamil Nadu. It
jtw_stmt,3.077732956852491,The city of Tirunelveli is in,the southern part of Tamil Nadu. It
jtw_stmt,-3.077732956852491,The city of Tirunelveli is in,the southern part of Tamil Nadu. It
jtw_stmt,6.155465913704982,The city of Tirunelveli is in,the southern part of Tamil Nadu. It
jtw_stmt,-6.155465913704982,The city of Tirunelveli is in,the southern part of Tamil Nadu. It
jtw_stmt,0.0,The city of Dandong is in,"the northeast corner of China, on a"
jtw_stmt,1.5492900020601872,The city of Dandong is in,"the northeast corner of China, on a"
jtw_stmt,-1.5492900020601872,The city of Dandong is in,"the northeast corner of China, on a"
jtw_stmt,3.0985800041203744,The city of Dandong is in,"the northeast corner of China, on a"
jtw_stmt,-3.0985800041203744,The city of Dandong is in,"the northeast corner of China, on a"
jtw_stmt,0.0,The city of Taiz is in,"the south-west corner of Yemen,"
jtw_stmt,2.2766223869217432,The city of Taiz is in,"the south-west corner of Yemen,"
jtw_stmt,-2.2766223869217432,The city of Taiz is in,"the south-west corner of Yemen,"
jtw_stmt,4.5532447738434865,The city of Taiz is in,"the south-west corner of Yemen,"
jtw_stmt,-4.5532447738434865,The city of Taiz is in,"the south-west corner of Yemen,"
jtw_stmt,0.0,The city of Bouake is in Côte,"d’Ivoire, and it was the"
jtw_stmt,3.4825814198040326,The city of Bouake is in Côte,"d’Ivoire, and it was the"
jtw_stmt,-3.4825814198040326,The city of Bouake is in Côte,"d’Ivoire, and it was the"
jtw_stmt,6.965162839608065,The city of Bouake is in Côte,"d’Ivoire, and it has a"
jtw_stmt,-6.965162839608065,The city of Bouake is in Côte,"d’Ivoire, and it was the"
jtw_stmt,0.0,The city of Rajshahi is in,the north-west part of Bangladesh.
jtw_stmt,5.925208953206555,The city of Rajshahi is in,the north-west part of Bangladesh.
jtw_stmt,-5.925208953206555,The city of Rajshahi is in,the north-west part of Bangladesh.
jtw_stmt,11.85041790641311,The city of Rajshahi is in,the north-west part of Bangladesh.
jtw_stmt,-11.85041790641311,The city of Rajshahi is in,"the news again. This time, it"
jtw_stmt,0.0,The city of Ouagadougou is in Burkina,"Faso, a country located on the western"
jtw_stmt,2.713830644328513,The city of Ouagadougou is in Burkina,"Faso, a country located on the western"
jtw_stmt,-2.713830644328513,The city of Ouagadougou is in Burkina,"Faso, a country located on the western"
jtw_stmt,5.427661288657026,The city of Ouagadougou is in Burkina,"Faso, a country located on the western"
jtw_stmt,-5.427661288657026,The city of Ouagadougou is in Burkina,"Faso, a country located on the western"
jtw_stmt,0.0,The city of Makati City is in the,process of developing a new master plan for
jtw_stmt,6.074026783858698,The city of Makati City is in the,process of developing a new master plan for
jtw_stmt,-6.074026783858698,The city of Makati City is in the,process of developing a new master plan for
jtw_stmt,12.148053567717396,The city of Makati City is in the,process of developing a new master plan for
jtw_stmt,-12.148053567717396,The city of Makati City is in the,process of acquiring a 10-
jtw_stmt,0.0,The city of Sorocaba is in,"the state of São Paulo, Brazil."
jtw_stmt,2.55431896188018,The city of Sorocaba is in,"the state of São Paulo, Brazil."
jtw_stmt,-2.55431896188018,The city of Sorocaba is in,"the state of São Paulo, Brazil."
jtw_stmt,5.10863792376036,The city of Sorocaba is in,"the state of São Paulo, Brazil."
jtw_stmt,-5.10863792376036,The city of Sorocaba is in,"the state of São Paulo, Brazil."
jtw_stmt,0.0,The city of Dongying is in,"the eastern part of Shandong Province, China"
jtw_stmt,2.1080141809376047,The city of Dongying is in,"the eastern part of Shandong Province, China"
jtw_stmt,-2.1080141809376047,The city of Dongying is in,"the eastern part of Shandong Province, China"
jtw_stmt,4.2160283618752095,The city of Dongying is in,"the eastern part of Shandong Province, China"
jtw_stmt,-4.2160283618752095,The city of Dongying is in,"the eastern part of Shandong Province, China"
jtw_stmt,0.0,The city of Shangrao is in,"the southeast part of Jiangxi Province,"
jtw_stmt,2.561970404094305,The city of Shangrao is in,"the southeast part of Jiangxi Province,"
jtw_stmt,-2.561970404094305,The city of Shangrao is in,the south-east corner of Jiangxi
jtw_stmt,5.12394080818861,The city of Shangrao is in,"the southeast part of Jiangxi Province,"
jtw_stmt,-5.12394080818861,The city of Shangrao is in,the south-central part of Jiangxi
jtw_stmt,0.0,The city of Qom is in,"the province of Alborz, Iran"
jtw_stmt,2.5284747444254885,The city of Qom is in,"the province of Alborz, Iran"
jtw_stmt,-2.5284747444254885,The city of Qom is in,"the province of Alborz, Iran"
jtw_stmt,5.056949488850977,The city of Qom is in,"the central part of Iran, 1"
jtw_stmt,-5.056949488850977,The city of Qom is in,"the province of Alborz, Iran"
jtw_stmt,0.0,The city of Liuzhou is in,the south-central part of Guangxi
jtw_stmt,2.86826147793363,The city of Liuzhou is in,the south-central part of Guangxi
jtw_stmt,-2.86826147793363,The city of Liuzhou is in,the south-central part of Guangxi
jtw_stmt,5.73652295586726,The city of Liuzhou is in,the south-central part of Guangxi
jtw_stmt,-5.73652295586726,The city of Liuzhou is in,the south-central part of Guangxi
jtw_stmt,0.0,The city of Paranaque City is in the,process of developing a new master plan for
jtw_stmt,6.864955620076457,The city of Paranaque City is in the,south-eastern part of Metro Manila.
jtw_stmt,-6.864955620076457,The city of Paranaque City is in the,process of developing a new master plan for
jtw_stmt,13.729911240152914,The city of Paranaque City is in the,south-eastern part of Metro Manila.
jtw_stmt,-13.729911240152914,The city of Paranaque City is in the,process of acquiring a 10-
jtw_stmt,0.0,The city of Kleinzschocher is in,"the district and state capital, Trier."
jtw_stmt,1.311036449254096,The city of Kleinzschocher is in,"the district and state capital, Trier."
jtw_stmt,-1.311036449254096,The city of Kleinzschocher is in,"the district and state capital, Trier."
jtw_stmt,2.622072898508192,The city of Kleinzschocher is in,"the district and state capital, Stuttgart."
jtw_stmt,-2.622072898508192,The city of Kleinzschocher is in,"the district and state capital, Trier."
jtw_stmt,0.0,The city of Chongqing is in,the southwest part of China. It has
jtw_stmt,3.3173387083805013,The city of Chongqing is in,the southwest part of China. It has
jtw_stmt,-3.3173387083805013,The city of Chongqing is in,the southwest part of China. It has
jtw_stmt,6.6346774167610025,The city of Chongqing is in,the southwest part of China. It has
jtw_stmt,-6.6346774167610025,The city of Chongqing is in,the southwest part of China. It has
jtw_stmt,0.0,The city of Xinyang is in,"the middle part of Henan Province,"
jtw_stmt,2.683492599471491,The city of Xinyang is in,"the middle part of Henan Province,"
jtw_stmt,-2.683492599471491,The city of Xinyang is in,"the middle part of Henan Province,"
jtw_stmt,5.366985198942982,The city of Xinyang is in,"the middle part of Henan Province,"
jtw_stmt,-5.366985198942982,The city of Xinyang is in,"the middle part of Henan Province,"
jtw_stmt,0.0,The city of Contagem is in,"the state of Minas Gerais, Brazil."
jtw_stmt,2.44092008593301,The city of Contagem is in,"the state of Minas Gerais, Brazil."
jtw_stmt,-2.44092008593301,The city of Contagem is in,"the state of Minas Gerais, Brazil."
jtw_stmt,4.88184017186602,The city of Contagem is in,"the state of Minas Gerais, Brazil."
jtw_stmt,-4.88184017186602,The city of Contagem is in,"the state of Minas Gerais, Brazil."
jtw_stmt,0.0,The city of Seongnam-si is in South,Korea. It has a population of
jtw_stmt,6.3213437777972326,The city of Seongnam-si is in South,"Korea, and it’s the"
jtw_stmt,-6.3213437777972326,The city of Seongnam-si is in South,Korea. It has a population of
jtw_stmt,12.642687555594465,The city of Seongnam-si is in South,"Korea, and it’s the"
jtw_stmt,-12.642687555594465,The city of Seongnam-si is in South,Korea.  It's a big
jtw_stmt,0.0,The city of Mississauga is in,the process of developing a new Official Plan
jtw_stmt,1.4814620464105757,The city of Mississauga is in,the process of developing a new Official Plan
jtw_stmt,-1.4814620464105757,The city of Mississauga is in,the process of developing a new Official Plan
jtw_stmt,2.9629240928211513,The city of Mississauga is in,the process of developing a new Official Plan
jtw_stmt,-2.9629240928211513,The city of Mississauga is in,the process of developing a new Official Plan
jtw_stmt,0.0,The city of Budapest is in,the process of building a new metro line
jtw_stmt,7.530270289455053,The city of Budapest is in,the process of building a new metro line
jtw_stmt,-7.530270289455053,The city of Budapest is in,the process of building a new 1
jtw_stmt,15.060540578910105,The city of Budapest is in,"the heart of Europe, and it’"
jtw_stmt,-15.060540578910105,The city of Budapest is in,the process of building a new 1
jtw_stmt,0.0,The city of Quzhou is in,"the east part of Zhejiang Province, China"
jtw_stmt,2.512062959728802,The city of Quzhou is in,"the east part of Zhejiang Province, China"
jtw_stmt,-2.512062959728802,The city of Quzhou is in,"the east part of Zhejiang Province, China"
jtw_stmt,5.024125919457604,The city of Quzhou is in,"the east part of Zhejiang Province, China"
jtw_stmt,-5.024125919457604,The city of Quzhou is in,"the east part of Zhejiang Province, China"
jtw_stmt,0.0,The city of Qingdao is in,"the Shandong province, China. It has"
jtw_stmt,2.6287691296590223,The city of Qingdao is in,"the Shandong province, China. It has"
jtw_stmt,-2.6287691296590223,The city of Qingdao is in,"the Shandong province, China. It has"
jtw_stmt,5.257538259318045,The city of Qingdao is in,"the Shandong province, China. It has"
jtw_stmt,-5.257538259318045,The city of Qingdao is in,"the Shandong province, China. It has"
jtw_stmt,0.0,The city of Petaling Jaya is in,"the state of Selangor, Malaysia. It"
jtw_stmt,4.290397553090385,The city of Petaling Jaya is in,"the state of Selangor, Malaysia. It"
