stmt_index,m_full,m_stem,ratio,cos_full_stem,delta_norm,eps_star,eps_robust
60,7.17173,1.98063,0.276172,0.24119,6.96452,3.07773,106.526
804,8.16469,1.63192,0.199875,0.397603,7.66354,1.54929,25.2412
464,7.33781,1.78898,0.243803,0.327801,6.95972,2.27662,44.1837
450,7.43928,1.35929,0.182717,0.122332,7.39706,3.48258,613.628
834,5.91522,1.91868,0.324364,0.305873,5.63278,5.92521,124.093
1320,7.62768,1.30319,0.17085,0.24092,7.42228,2.71383,100.778
58,5.78549,1.9421,0.335684,0.297622,5.5277,6.07403,136.318
1030,8.32394,1.99921,0.240175,0.193259,8.17635,2.55432,144.058
830,7.94514,1.61313,0.203034,0.347662,7.53762,2.10801,41.099
1398,7.77178,1.58363,0.203767,0.318168,7.42136,2.56197,56.8215
142,7.47051,2.47185,0.33088,0.354338,6.988,2.52847,39.1476
360,7.70415,1.67482,0.217391,0.369583,7.25407,2.86826,49.0964
328,5.45027,1.78114,0.326798,0.289482,5.22087,6.86496,163.104
1132,8.2496,1.81328,0.219803,0.32081,7.85786,1.31104,27.6091
1254,7.8064,1.85971,0.238229,0.382806,7.29956,3.31734,51.0936
1468,7.55413,1.5603,0.206549,0.334068,7.18501,2.68349,54.9176
786,8.2069,2.03236,0.247641,0.236784,7.97402,2.44092,86.0172
122,5.87806,1.34051,0.228053,0.305545,5.61546,6.32134,141.499
486,7.9204,1.7743,0.224017,0.269933,7.63505,1.48146,41.1212
780,5.33813,1.79766,0.336757,0.322614,5.05327,7.53027,141.112
976,8.07644,1.59356,0.197309,0.331907,7.69576,2.51206,53.2965
930,7.92777,1.86408,0.235133,0.34355,7.49469,2.62877,48.1211
726,6.43968,1.89593,0.294414,0.359162,6.02444,4.2904,66.5368
912,5.69713,1.74557,0.306394,0.32191,5.3946,6.1777,116.335
398,7.88175,1.9714,0.250122,0.301374,7.52614,2.16536,47.9936
302,7.74412,1.94318,0.250923,0.329192,7.33756,1.0491,19.9834
262,7.43834,1.80935,0.243246,0.323961,7.06276,1.41807,28.0847
110,8.56549,1.8286,0.213485,0.295658,8.21278,2.34007,56.8277
1364,6.3422,1.69306,0.266951,0.307143,6.04102,5.08742,107.13
1452,7.19232,1.75183,0.24357,0.307961,6.85842,2.23912,48.2313
736,6.54958,1.74049,0.265741,0.343442,6.17221,3.63907,63.1594
102,6.80104,1.92332,0.282798,0.302556,6.48368,3.79112,81.2434
914,6.76164,2.18903,0.323742,0.228429,6.61434,3.68327,169.075
1156,5.5829,1.66892,0.298935,0.332128,5.26924,5.4965,97.8342
370,8.99909,1.79411,0.199365,0.435643,8.37468,1.05116,15.1495
1238,6.58761,1.69188,0.256827,0.369141,6.16689,4.13126,64.6877
598,8.71708,1.62135,0.185997,0.312892,8.35295,1.38418,33.1366
838,6.75901,1.98863,0.294219,0.33095,6.38296,3.47714,62.4967
1202,6.74848,1.68412,0.249555,0.285781,6.47165,3.0587,74.5649
762,6.64869,1.94411,0.292405,0.232133,6.47948,3.21547,126.342
638,7.58795,1.8329,0.241554,0.274237,7.30126,1.75537,46.4597
1090,7.76479,1.82513,0.235051,0.248969,7.52107,2.37584,75.6915
1226,5.57519,1.80092,0.323025,0.33017,5.26269,6.26343,111.744
1462,6.56793,1.86559,0.284045,0.351826,6.16411,4.66949,75.9469
1190,7.39623,1.90725,0.257868,0.285108,7.09212,2.2877,55.6377
1342,6.62803,1.78806,0.269773,0.317458,6.29311,3.04152,60.1928
1406,8.20175,1.61651,0.197093,0.374516,7.7428,2.05943,36.8036
182,7.40721,1.64318,0.221835,0.242372,7.18797,3.03398,102.502
1158,7.17943,1.72769,0.240644,0.273634,6.90948,3.23441,86.0207
868,9.55744,1.54346,0.161493,0.385398,9.07505,0.288071,5.70745
196,6.91536,1.86329,0.269442,0.298352,6.60343,3.67159,81.3983
0,6.779,1.85138,0.273105,0.327822,6.41512,3.48118,64.8538
556,9.3131,1.74549,0.187423,0.304815,8.93702,0.481935,11.9347
618,6.72034,1.78087,0.264997,0.291589,6.43079,3.00647,69.7771
1210,4.56936,1.39762,0.305867,0.173761,4.54016,9.09989,1423.87
56,6.67969,1.68764,0.252652,0.302552,6.37535,4.84872,106.421
