stmt_index,m_full,m_stem,ratio,cos_full_stem,delta_norm,eps_star,eps_robust
978,5.14153,1.89729,0.369013,0.401091,4.71272,12.0936,145.007
933,7.34551,2.3164,0.315349,0.362729,6.85409,12.856,192.164
859,8.21938,2.67457,0.325398,0.225863,8.04867,1.03094,49.6378
916,7.77163,2.63111,0.338554,0.247181,7.56387,5.07652,189.905
127,5.88055,2.88955,0.491373,0.40809,5.3909,10.8434,130.224
608,6.41015,2.48401,0.387511,0.381751,5.92479,12.1518,160.491
856,6.16005,2.28415,0.370801,0.308884,5.87122,17.3776,370.629
260,5.56789,2.15693,0.387388,0.306139,5.31983,14.6749,329.386
147,6.47049,3.55873,0.549995,0.28037,6.45134,13.8943,4695.4
810,5.04876,2.66621,0.528092,0.311368,4.92097,23.05,910.672
635,5.45002,2.22538,0.408325,0.393754,5.01037,17.576,217.878
972,4.48867,1.95597,0.435756,0.462781,3.98093,27.6826,244.729
593,9.5248,2.72531,0.286127,0.514916,8.45084,9.58922,85.0455
994,6.87924,2.8957,0.420934,0.527519,5.89003,12.4327,86.4599
285,6.56122,2.9315,0.446792,0.531702,5.58476,10.0367,67.4407
554,5.89081,2.5443,0.43191,0.258388,5.78183,0,inf
467,7.12316,2.57704,0.361783,0.378903,6.59316,6.95034,93.4121
276,4.33045,2.46555,0.569352,0.437441,3.93582,31.3958,344.52
55,8.12113,3.27415,0.403165,0.444306,7.28318,3.706,35.9176
61,6.1394,2.28902,0.372841,0.324539,5.81466,16.9663,320.753
839,7.96353,2.47794,0.311161,0.280874,7.64676,5.77674,145.226
425,7.84106,3.26693,0.416643,0.390106,7.22281,0,inf
82,5.1318,2.77449,0.540646,0.324209,4.98005,19.5966,662.713
620,6.41039,2.06888,0.322739,0.416376,5.8591,16.6152,193.204
787,5.25639,2.88772,0.549373,0.534562,4.44301,24.4086,157.738
2,15.3162,4.61719,0.301459,0.558443,13.3011,3.18124,24.1803
753,5.44311,2.04564,0.375822,0.420821,4.94376,25.6072,279.126
7,7.74434,3.16569,0.408775,0.285998,7.48153,5.43024,160.013
903,6.95894,3.15473,0.453335,0.197371,7.05076,1.26737,inf
626,6.15848,2.22872,0.361894,0.33696,5.80036,15.9691,274.614
51,7.64222,2.97304,0.389028,0.475983,6.75376,6.49975,55.9083
557,8.27069,2.90912,0.351738,0.629816,6.82349,13.0037,74.3155
310,5.21783,2.29621,0.44007,0.48396,4.57181,16.4661,132.995
100,6.09996,3.79283,0.62178,0.29001,6.17865,18.8904,inf
848,6.42437,2.08809,0.325026,0.311812,6.10466,9.33958,187.676
921,5.72364,2.35302,0.411106,0.423836,5.18464,21.7247,230.693
45,7.36003,2.10416,0.28589,0.353822,6.90206,6.94999,111.694
976,6.32222,2.822,0.446363,0.381684,5.85787,16.0713,218.815
136,6.19701,1.80665,0.291536,0.341426,5.83282,19.9793,339.967
128,5.95714,2.4188,0.406034,0.225418,5.90271,13.6408,1492.87
605,7.22153,2.87409,0.397989,0.582188,6.02029,12.264,73.7276
945,7.3453,2.26727,0.30867,0.316014,6.96909,6.5761,128.396
773,5.0902,2.78768,0.547657,0.528074,4.32374,23.8502,158.393
941,9.42093,1.91843,0.203635,0.270225,9.09211,6.11971,175.336
613,15.9623,2.88786,0.180918,0.613331,14.3732,6.33728,63.6579
98,4.57837,2.03354,0.444161,0.291089,4.43582,27.512,883.62
758,6.02142,2.27219,0.377352,0.425832,5.45601,9.98234,106.308
595,7.69426,2.89962,0.376855,0.347518,7.21823,7.11434,114.993
