stmt_index,stem,label,g_old
60,The city of Tirunelveli is in,1,-53.2059
804,The city of Dandong is in,1,-51.763
464,The city of Taiz is in,1,-54.7956
450,The city of Bouake is in Côte,1,-56.4641
834,The city of Rajshahi is in,1,-54.4007
1320,The city of Ouagadougou is in Burkina,1,-52.8968
1030,The city of Sorocaba is in,1,-52.3815
830,The city of Dongying is in,1,-51.6959
1398,The city of Shangrao is in,1,-51.5285
142,The city of Qom is in,1,-51.5067
360,The city of Liuzhou is in,1,-50.5478
1254,The city of Chongqing is in,1,-49.6496
1468,The city of Xinyang is in,1,-49.7076
786,The city of Contagem is in,1,-52.1446
122,The city of Seongnam-si is in South,1,-65.8643
976,The city of Quzhou is in,1,-50.3706
930,The city of Qingdao is in,1,-50.7165
726,The city of Petaling Jaya is in,1,-54.9152
398,The city of Kemerovo is in,1,-53.0775
302,The city of Karol Bagh is in,1,-52.7858
262,The city of Bhayandar is in,1,-57.1508
110,The city of Belo Horizonte is in,1,-54.4065
1364,The city of San Pedro Sula is in,1,-56.2897
1452,The city of Maiduguri is in,1,-55.6977
736,The city of Bahcelievler is in,1,-54.1704
102,The city of Perm is in,1,-48.9811
914,The city of Nanded is in,1,-52.637
1156,The city of Kota Kinabalu is in,1,-53.1593
370,The city of E'zhou is in,1,-52.0229
1238,The city of Shubra al Khaymah is in,0,-54.8835
598,The city of Tianshui is in,1,-55.2585
838,The city of Dortmund is in,1,-51.7188
1202,The city of Thuan An is in,1,-50.0033
638,The city of Ar Raqqah is in,1,-51.735
1226,The city of Jambi City is in,1,-47.1665
1462,The city of Rostov-na-Donu is in,1,-49.5583
1190,The city of Barnaul is in,1,-53.1707
1342,The city of Ilorin is in,1,-56.3346
1406,The city of Huainan is in,1,-52.5661
182,The city of Porto Velho is in,1,-55.2209
868,The city of Ordos is in,1,-56.1041
196,The city of Naberezhnyye Chelny is in,1,-49.3437
0,The city of Krasnodar is in,1,-49.1848
556,The city of Culiacan is in,1,-56.7278
618,The city of Enugu is in,1,-55.4979
1210,The city of Abu Dhabi is in the United Arab,1,-57.6063
56,The city of Marrakesh is in,1,-53.0435
1088,The city of Curitiba is in,1,-51.4281
500,The city of Sao Jose dos Campos is in,1,-50.9905
166,The city of Zhenjiang is in,1,-48.1622
630,The city of Hubli is in,1,-53.7572
1304,The city of Lanzhou is in,1,-50.1464
192,The city of Suez is in,1,-58.8549
826,The city of Guang'an is in,0,-50.9934
230,The city of Yiwu is in,1,-53.1442
944,The city of Goyang-si is in South,1,-64.7801
1270,The city of Nagpur is in,1,-53.971
472,The city of Zhengzhou is in,1,-49.7574
702,The city of Sao Bernardo do Campo is in,1,-53.0116
690,The city of Jiamusi is in,1,-51.5994
308,The city of Xuchang is in,1,-51.3834
352,The city of Xuanzhou is in,1,-50.6338
1028,The city of Brazzaville is in the Republic of the,1,-68.5253
404,The city of Aguascalientes is in,0,-50.4872
1348,The city of Gujranwala is in,1,-52.7268
1292,The city of Xining is in,1,-52.5091
1084,The city of Bloemfontein is in South,1,-59.1036
1298,The city of Shangluo is in,1,-54.4305
1018,The city of Qinzhou is in,1,-52.6431
232,The city of Qiqihar is in,1,-50.5592
1186,The city of Fes is in,1,-51.8518
642,The city of Johannesburg is in South,1,-63.9546
304,The city of Orumiyeh is in,1,-49.1756
1010,The city of Soweto is in South,1,-62.8775
734,The city of Multan is in,1,-52.5599
918,The city of Dombivli is in,1,-53.7059
202,The city of Sevastopol is in,1,-56.9882
1306,The city of Chenzhou is in,1,-49.274
72,The city of Liaocheng is in,0,-51.0226
1188,The city of Surat is in,1,-54.3665
342,The city of Sarajevo is in Bosnia and,1,-43.0556
596,The city of Zibo is in,1,-51.815
812,The city of Jaboatao is in,1,-52.5422
964,The city of Lome is in,1,-56.8803
