k,quantity,mean_energy
1,w_mean_diff_tgt_in_U,0.0687735
2,w_mean_diff_tgt_in_U,0.159004
3,w_mean_diff_tgt_in_U,0.26848
4,w_mean_diff_tgt_in_U,0.34298
5,w_mean_diff_tgt_in_U,0.428341
6,w_mean_diff_tgt_in_U,0.487642
7,w_mean_diff_tgt_in_U,0.522414
8,w_mean_diff_tgt_in_U,0.548172
9,w_mean_diff_tgt_in_U,0.570789
10,w_mean_diff_tgt_in_U,0.589561
11,w_mean_diff_tgt_in_U,0.598224
12,w_mean_diff_tgt_in_U,0.604415
13,w_mean_diff_tgt_in_U,0.609822
14,w_mean_diff_tgt_in_U,0.616788
15,w_mean_diff_tgt_in_U,0.623824
16,w_mean_diff_tgt_in_U,0.635277
17,w_mean_diff_tgt_in_U,0.638256
18,w_mean_diff_tgt_in_U,0.642295
19,w_mean_diff_tgt_in_U,0.647699
20,w_mean_diff_tgt_in_U,0.652914
21,w_mean_diff_tgt_in_U,0.656692
22,w_mean_diff_tgt_in_U,0.660647
23,w_mean_diff_tgt_in_U,0.664925
24,w_mean_diff_tgt_in_U,0.667778
25,w_mean_diff_tgt_in_U,0.670695
26,w_mean_diff_tgt_in_U,0.674478
27,w_mean_diff_tgt_in_U,0.677872
28,w_mean_diff_tgt_in_U,0.681305
29,w_mean_diff_tgt_in_U,0.685538
30,w_mean_diff_tgt_in_U,0.687375
31,w_mean_diff_tgt_in_U,0.689537
32,w_mean_diff_tgt_in_U,0.690792
33,w_mean_diff_tgt_in_U,0.692936
34,w_mean_diff_tgt_in_U,0.696224
35,w_mean_diff_tgt_in_U,0.69856
36,w_mean_diff_tgt_in_U,0.700713
37,w_mean_diff_tgt_in_U,0.702428
38,w_mean_diff_tgt_in_U,0.704781
39,w_mean_diff_tgt_in_U,0.707495
40,w_mean_diff_tgt_in_U,0.710308
41,w_mean_diff_tgt_in_U,0.712296
42,w_mean_diff_tgt_in_U,0.71337
43,w_mean_diff_tgt_in_U,0.714825
44,w_mean_diff_tgt_in_U,0.716894
45,w_mean_diff_tgt_in_U,0.718624
46,w_mean_diff_tgt_in_U,0.720285
47,w_mean_diff_tgt_in_U,0.721861
48,w_mean_diff_tgt_in_U,0.72307
49,w_mean_diff_tgt_in_U,0.724597
50,w_mean_diff_tgt_in_U,0.726353
51,w_mean_diff_tgt_in_U,0.727719
52,w_mean_diff_tgt_in_U,0.729039
53,w_mean_diff_tgt_in_U,0.730339
54,w_mean_diff_tgt_in_U,0.732103
55,w_mean_diff_tgt_in_U,0.73318
56,w_mean_diff_tgt_in_U,0.734324
57,w_mean_diff_tgt_in_U,0.736417
58,w_mean_diff_tgt_in_U,0.737269
59,w_mean_diff_tgt_in_U,0.738399
60,w_mean_diff_tgt_in_U,0.739556
61,w_mean_diff_tgt_in_U,0.74072
62,w_mean_diff_tgt_in_U,0.742104
63,w_mean_diff_tgt_in_U,0.743484
64,w_mean_diff_tgt_in_U,0.744486
1,w_probe_grad_tgt_in_U,0.008911
2,w_probe_grad_tgt_in_U,0.0217458
3,w_probe_grad_tgt_in_U,0.0341712
4,w_probe_grad_tgt_in_U,0.0475572
5,w_probe_grad_tgt_in_U,0.0666553
6,w_probe_grad_tgt_in_U,0.077207
7,w_probe_grad_tgt_in_U,0.0873423
8,w_probe_grad_tgt_in_U,0.0942094
9,w_probe_grad_tgt_in_U,0.0971569
10,w_probe_grad_tgt_in_U,0.104265
