k,quantity,mean_energy
1,w_mean_diff_tgt_in_U,0.0470487
2,w_mean_diff_tgt_in_U,0.0835912
3,w_mean_diff_tgt_in_U,0.113996
4,w_mean_diff_tgt_in_U,0.137511
5,w_mean_diff_tgt_in_U,0.155522
6,w_mean_diff_tgt_in_U,0.174169
7,w_mean_diff_tgt_in_U,0.19225
8,w_mean_diff_tgt_in_U,0.206456
9,w_mean_diff_tgt_in_U,0.226622
10,w_mean_diff_tgt_in_U,0.250336
11,w_mean_diff_tgt_in_U,0.266764
12,w_mean_diff_tgt_in_U,0.281676
13,w_mean_diff_tgt_in_U,0.295912
14,w_mean_diff_tgt_in_U,0.316286
15,w_mean_diff_tgt_in_U,0.327458
16,w_mean_diff_tgt_in_U,0.341152
17,w_mean_diff_tgt_in_U,0.351575
18,w_mean_diff_tgt_in_U,0.364206
19,w_mean_diff_tgt_in_U,0.368076
20,w_mean_diff_tgt_in_U,0.37587
21,w_mean_diff_tgt_in_U,0.381066
22,w_mean_diff_tgt_in_U,0.387718
23,w_mean_diff_tgt_in_U,0.39133
24,w_mean_diff_tgt_in_U,0.395501
25,w_mean_diff_tgt_in_U,0.399336
26,w_mean_diff_tgt_in_U,0.405868
27,w_mean_diff_tgt_in_U,0.409796
28,w_mean_diff_tgt_in_U,0.415341
29,w_mean_diff_tgt_in_U,0.421772
30,w_mean_diff_tgt_in_U,0.427265
31,w_mean_diff_tgt_in_U,0.430693
32,w_mean_diff_tgt_in_U,0.433822
33,w_mean_diff_tgt_in_U,0.43819
34,w_mean_diff_tgt_in_U,0.440919
35,w_mean_diff_tgt_in_U,0.442908
36,w_mean_diff_tgt_in_U,0.445102
37,w_mean_diff_tgt_in_U,0.450117
38,w_mean_diff_tgt_in_U,0.451671
39,w_mean_diff_tgt_in_U,0.454259
40,w_mean_diff_tgt_in_U,0.457544
41,w_mean_diff_tgt_in_U,0.46015
42,w_mean_diff_tgt_in_U,0.462701
43,w_mean_diff_tgt_in_U,0.464818
44,w_mean_diff_tgt_in_U,0.466914
45,w_mean_diff_tgt_in_U,0.469447
46,w_mean_diff_tgt_in_U,0.470452
47,w_mean_diff_tgt_in_U,0.473009
48,w_mean_diff_tgt_in_U,0.476004
49,w_mean_diff_tgt_in_U,0.477594
50,w_mean_diff_tgt_in_U,0.48185
51,w_mean_diff_tgt_in_U,0.484512
52,w_mean_diff_tgt_in_U,0.48599
53,w_mean_diff_tgt_in_U,0.488374
54,w_mean_diff_tgt_in_U,0.490319
55,w_mean_diff_tgt_in_U,0.492005
56,w_mean_diff_tgt_in_U,0.494367
57,w_mean_diff_tgt_in_U,0.495943
58,w_mean_diff_tgt_in_U,0.4975
59,w_mean_diff_tgt_in_U,0.498964
60,w_mean_diff_tgt_in_U,0.501615
61,w_mean_diff_tgt_in_U,0.50309
62,w_mean_diff_tgt_in_U,0.505083
63,w_mean_diff_tgt_in_U,0.506418
64,w_mean_diff_tgt_in_U,0.50885
1,w_probe_grad_tgt_in_U,0.000221397
2,w_probe_grad_tgt_in_U,0.000395919
