layer,cos_mean_vs_grad
0,0.0
1,0.10407263617134922
2,0.21289393077560287
3,0.20658522674682436
4,0.19234301708931323
5,0.16854732670545888
6,0.16047412605485342
7,0.17901284892050656
8,0.3057304003761202
9,0.27017739203931923
10,0.2566344614410086
11,0.4130069071530751
12,0.4161590897338382
13,0.41508771777368025
14,0.39457763189454886
15,0.4158271965017051
16,0.38538438452887747
17,0.41431387668643466
18,0.40035591080560806
19,0.3739723561708947
20,0.39564126512169434
21,0.42565348262036035
22,0.39260891412867294
23,0.47874275538920164
24,0.4951655529931654
25,0.488484713561618
26,0.39007137829765925
