layer,cos_mean_vs_grad
0,0.1005403395517437
1,0.028412419198690506
2,0.04742523798733259
3,0.04392517468259598
4,0.04503895089497164
5,0.06076941261193258
6,0.06565640683406293
7,0.05893707673322091
8,0.07339779320825299
9,0.08250432005993616
10,0.0856309642038393
11,0.08858331698588254
12,0.0873419131543102
13,0.08476474795621894
14,0.08362460910222788
15,0.08517975889086508
16,0.069157180714003
17,0.07494873123186144
18,0.07556294855193517
19,0.07482820337474638
20,0.07454087472607203
21,0.07922592525748269
22,0.0730423259688919
23,0.08242349129805485
24,0.08592649987345928
25,0.08333056157852864
26,0.06586046534660273
