layer,cos_mean_vs_grad
0,0.0
1,0.03783831180061645
2,0.13016815626050887
3,0.17388476839623337
4,0.16866142427642264
5,0.19364200055237688
6,0.15461684552454916
7,0.15728065311168876
8,0.2856483723181412
9,0.26150104218875975
10,0.2497055824509642
11,0.24973026802729364
12,0.20271110260508257
13,0.21264318114914468
14,0.20433393320123827
15,0.2036890441605531
16,0.1975360697035702
17,0.2093041901330822
18,0.21496031677266944
19,0.22799761213831768
20,0.24014431494600724
21,0.2625180309054469
22,0.26200191943634854
23,0.3294174783790407
24,0.33806218100225116
25,0.33506837838521136
26,0.2805942684750745
