layer,cos_mean_vs_grad
0,0.0
1,0.2147750528338738
2,0.3115287270379946
3,0.3475037323010399
4,0.34250998881346684
5,0.4573370330944836
6,0.4596866921441346
7,0.563299543896177
8,0.689054518398645
9,0.7246397049915869
10,0.5900735325405783
11,0.6282404491487492
12,0.6004831317971728
13,0.5737521627162774
14,0.5817355758977298
15,0.6053334802946623
16,0.5886781893661257
17,0.6058298238531332
18,0.5925272990021864
19,0.6033106777963939
20,0.6278511106983335
21,0.648705629694577
22,0.6408862502859098
23,0.6632961638026426
24,0.6654315164410031
25,0.6670134234326086
26,0.5757215122621996
