operator,target,acc,roc,n
Direct,gold,0.9141666666666667,0.9750111111111112,1200
Direct,yM,nan,nan,1200
Prefixed,gold,0.8791666666666667,0.9444472222222222,1200
Prefixed,yM,nan,nan,1200
Answered,gold,0.8708333333333333,0.9441388888888889,1200
Answered,yM,nan,nan,1200
Verdict,gold,0.5075,0.5010861111111112,1200
Verdict,yM,nan,nan,1200
InputDelta,gold,0.9075,0.972275,1200
InputDelta,yM,nan,nan,1200
QuestionDelta,gold,0.8791666666666667,0.944463888888889,1200
QuestionDelta,yM,nan,nan,1200
Interaction,gold,0.9075,0.972275,1200
Interaction,yM,nan,nan,1200
FewShot,gold,0.8808333333333334,0.9545,1200
FewShot,yM,nan,nan,1200
random_10,gold,0.6808333333333333,0.7442777777777779,1200
random_10,yM,nan,nan,1200
