operator,target,acc,roc,n
Direct,gold,0.980225988700565,0.9948290721057167,354
Direct,yM,nan,nan,354
Prefixed,gold,0.867231638418079,0.9408535222956367,354
Prefixed,yM,nan,nan,354
Answered,gold,0.8926553672316384,0.9544192281911328,354
Answered,yM,nan,nan,354
Verdict,gold,0.480225988700565,0.47037888218583424,354
Verdict,yM,nan,nan,354
InputDelta,gold,0.9717514124293786,0.9944141211018546,354
InputDelta,yM,nan,nan,354
QuestionDelta,gold,0.867231638418079,0.9408535222956367,354
QuestionDelta,yM,nan,nan,354
Interaction,gold,0.9717514124293786,0.9944141211018546,354
Interaction,yM,nan,nan,354
FewShot,gold,0.9378531073446328,0.9854128762488429,354
FewShot,yM,nan,nan,354
random_10,gold,0.7909604519774012,0.8698649813272048,354
random_10,yM,nan,nan,354
