layer,linear_acc,xgb_acc,gap
0,0.5089887640449439,0.5089887640449439,0.0
1,0.5853932584269663,0.6235955056179775,0.038202247191011174
2,0.5831460674157304,0.651685393258427,0.06853932584269662
3,0.6056179775280899,0.6730337078651686,0.0674157303370787
4,0.6280898876404495,0.6662921348314607,0.038202247191011174
5,0.648314606741573,0.6831460674157304,0.03483146067415732
6,0.6269662921348315,0.6966292134831461,0.06966292134831464
7,0.6325842696629214,0.6966292134831461,0.06404494382022474
8,0.6764044943820224,0.7415730337078652,0.06516853932584277
9,0.6752808988764045,0.7314606741573034,0.0561797752808989
10,0.6707865168539325,0.7370786516853932,0.06629213483146068
11,0.701123595505618,0.7640449438202247,0.06292134831460672
12,0.7112359550561798,0.7595505617977528,0.04831460674157306
13,0.7056179775280899,0.7876404494382022,0.08202247191011236
14,0.7292134831460674,0.7842696629213484,0.05505617977528099
15,0.7213483146067415,0.7719101123595505,0.050561797752809
16,0.7258426966292135,0.7674157303370787,0.04157303370786514
17,0.7258426966292135,0.7662921348314606,0.04044943820224711
18,0.7101123595505618,0.7629213483146068,0.05280898876404494
19,0.7078651685393258,0.7651685393258427,0.05730337078651693
20,0.7056179775280899,0.7674157303370787,0.061797752808988804
21,0.6966292134831461,0.7348314606741573,0.038202247191011174
22,0.697752808988764,0.748314606741573,0.050561797752809
23,0.6910112359550562,0.7325842696629213,0.04157303370786514
24,0.697752808988764,0.7415730337078652,0.043820224719101186
25,0.7078651685393258,0.7314606741573034,0.02359550561797763
26,0.6932584269662921,0.7348314606741573,0.04157303370786514
