layer,linear_acc,xgb_acc,gap
0,0.5,0.5,0.0
1,0.6333333333333333,0.6625,0.029166666666666674
2,0.75,0.725,-0.025000000000000022
3,0.7666666666666667,0.7791666666666667,0.012499999999999956
4,0.7583333333333333,0.7875,0.029166666666666674
5,0.7666666666666667,0.8041666666666667,0.03749999999999998
6,0.825,0.825,0.0
7,0.8416666666666667,0.8541666666666666,0.012499999999999956
8,0.9083333333333333,0.8875,-0.02083333333333337
9,0.9083333333333333,0.9125,0.004166666666666652
10,0.9166666666666666,0.9,-0.016666666666666607
11,0.9166666666666666,0.8958333333333334,-0.02083333333333326
12,0.9333333333333333,0.9125,-0.02083333333333337
13,0.925,0.9458333333333333,0.02083333333333326
14,0.9166666666666666,0.9541666666666667,0.03750000000000009
15,0.9166666666666666,0.9333333333333333,0.01666666666666672
16,0.9125,0.9333333333333333,0.02083333333333337
17,0.9208333333333333,0.9333333333333333,0.012500000000000067
18,0.925,0.9375,0.012499999999999956
19,0.9208333333333333,0.9416666666666667,0.02083333333333337
20,0.9041666666666667,0.9166666666666666,0.012499999999999956
21,0.9083333333333333,0.925,0.01666666666666672
22,0.9,0.9208333333333333,0.02083333333333326
23,0.8875,0.8833333333333333,-0.004166666666666652
24,0.8791666666666667,0.8958333333333334,0.01666666666666672
25,0.8875,0.8625,-0.02499999999999991
26,0.8833333333333333,0.8583333333333333,-0.025000000000000022
