vector,layer,rank,feature,coef,cumulative_explained
V64_common_0,11,0,205,0.189744,0.0429845
V64_common_0,11,1,14473,-0.141493,0.0651223
V64_common_0,11,2,12118,-0.137779,0.0835727
V64_common_0,11,3,8477,0.124898,0.100089
V64_common_0,11,4,5135,-0.106533,0.113418
V64_common_0,11,5,14192,-0.102707,0.124101
V64_common_0,11,6,13185,-0.0875667,0.133674
V64_common_0,11,7,16020,-0.0830112,0.14225
V64_common_0,11,8,14339,0.0867546,0.150366
V64_common_0,11,9,13309,0.0693006,0.157291
V64_common_0,11,10,8205,-0.0793622,0.163848
V64_common_0,11,11,9451,0.0837417,0.170477
V64_common_0,11,12,2325,0.0886335,0.17694
V64_common_0,11,13,3219,-0.0829202,0.183144
V64_common_0,11,14,4572,-0.0795941,0.189037
V64_common_0,11,15,12831,-0.0700554,0.194928
V64_common_0,11,16,8210,-0.086297,0.200565
V64_common_0,11,17,9132,0.0709459,0.205484
V64_common_0,11,18,11268,0.073231,0.210515
V64_common_0,11,19,7692,-0.0602113,0.215365
V64_common_0,11,20,6425,-0.0915767,0.220448
V64_common_0,11,21,12788,0.0720946,0.225502
V64_common_0,11,22,1076,-0.072902,0.229996
V64_common_0,11,23,4304,-0.0718761,0.234529
V64_common_0,11,24,3094,0.0732719,0.238886
V64_common_0,11,25,13120,0.069273,0.243199
V64_common_0,11,26,6085,-0.0657229,0.247489
V64_common_0,11,27,7841,0.0697259,0.251625
V64_common_0,11,28,14437,-0.0763098,0.255722
V64_common_0,11,29,16005,-0.0706368,0.260355
V64_common_0,11,30,10840,0.0653094,0.264551
V64_common_0,11,31,3655,0.0644052,0.268639
V64_common_1,11,0,14473,0.192372,0.0319468
V64_common_1,11,1,15495,-0.108534,0.0438414
V64_common_1,11,2,12929,0.0879607,0.053928
V64_common_1,11,3,3521,0.077215,0.0633158
V64_common_1,11,4,4226,-0.0786707,0.0723554
V64_common_1,11,5,205,-0.0987047,0.0813162
V64_common_1,11,6,1216,0.0949017,0.0903126
V64_common_1,11,7,7781,-0.0845362,0.0989296
V64_common_1,11,8,16324,-0.0840088,0.107506
V64_common_1,11,9,16070,-0.0685069,0.11521
V64_common_1,11,10,6535,-0.0871013,0.122086
V64_common_1,11,11,12653,-0.06785,0.128388
V64_common_1,11,12,15267,-0.0845706,0.134341
V64_common_1,11,13,5595,-0.0903096,0.140639
V64_common_1,11,14,10587,0.0938231,0.146447
V64_common_1,11,15,14386,0.078189,0.152322
V64_common_1,11,16,9024,0.0849656,0.157948
V64_common_1,11,17,14734,0.0738826,0.163149
V64_common_1,11,18,3141,0.0762166,0.168109
V64_common_1,11,19,5472,-0.065313,0.17312
V64_common_1,11,20,844,-0.0721259,0.178263
V64_common_1,11,21,4590,-0.0746537,0.183525
V64_common_1,11,22,6556,0.0714417,0.188624
V64_common_1,11,23,4242,-0.0810633,0.193559
V64_common_1,11,24,12801,-0.0679592,0.197934
V64_common_1,11,25,5729,0.0765384,0.202478
V64_common_1,11,26,14658,0.0747997,0.206799
V64_common_1,11,27,1315,-0.0770678,0.211467
V64_common_1,11,28,4065,0.0696598,0.215852
V64_common_1,11,29,10410,-0.0651683,0.220152
V64_common_1,11,30,12954,0.0657577,0.224237
V64_common_1,11,31,5705,0.0636623,0.228191
V64_common_2,11,0,12748,-0.257096,0.0920752
V64_common_2,11,1,4098,-0.177809,0.118166
V64_common_2,11,2,14473,0.174255,0.143736
V64_common_2,11,3,5868,0.126269,0.158988
V64_common_2,11,4,14216,0.117817,0.172941
V64_common_2,11,5,205,0.114309,0.185609
V64_common_2,11,6,3228,-0.112164,0.197853
V64_common_2,11,7,5135,-0.0977187,0.209712
V64_common_2,11,8,1216,-0.0880026,0.218122
V64_common_2,11,9,4985,0.0801675,0.226446
V64_common_2,11,10,11916,-0.0959904,0.235938
V64_common_2,11,11,11518,0.0890141,0.243397
V64_common_2,11,12,12653,-0.0817985,0.25089
V64_common_2,11,13,8526,-0.112587,0.257808
V64_common_2,11,14,14258,0.0922875,0.264628
V64_common_2,11,15,12064,-0.0827528,0.271451
V64_common_2,11,16,4669,-0.0813127,0.278379
V64_common_2,11,17,15396,-0.0801015,0.284091
V64_common_2,11,18,15048,-0.0844004,0.290235
