vector,layer,rank,feature,coef,cumulative_explained
V64_common_0,13,0,14627,-0.284135,0.101491
V64_common_0,13,1,10844,0.156558,0.135134
V64_common_0,13,2,7377,-0.121903,0.151952
V64_common_0,13,3,15803,-0.103326,0.16398
V64_common_0,13,4,1392,0.104706,0.176068
V64_common_0,13,5,994,-0.0835025,0.188197
V64_common_0,13,6,8369,0.087012,0.199745
V64_common_0,13,7,3021,-0.0785853,0.208173
V64_common_0,13,8,10887,-0.106351,0.215867
V64_common_0,13,9,8029,-0.0831196,0.224237
V64_common_0,13,10,8123,0.0713151,0.231936
V64_common_0,13,11,14890,-0.0812129,0.239381
V64_common_0,13,12,13296,0.0815466,0.246199
V64_common_0,13,13,479,0.0928608,0.252331
V64_common_0,13,14,9409,-0.0946292,0.258769
V64_common_0,13,15,3130,0.0692409,0.264946
V64_common_0,13,16,11343,-0.0819316,0.271327
V64_common_0,13,17,7015,-0.0897892,0.277093
V64_common_0,13,18,13073,0.0719768,0.283273
V64_common_0,13,19,14551,-0.0796122,0.289436
V64_common_0,13,20,7004,0.0910913,0.2949
V64_common_0,13,21,7363,0.0706375,0.299991
V64_common_0,13,22,434,0.0702481,0.304984
V64_common_0,13,23,4231,0.0807427,0.309806
V64_common_0,13,24,15084,-0.0831444,0.315762
V64_common_0,13,25,10164,-0.0761224,0.321104
V64_common_0,13,26,2029,0.0700906,0.325937
V64_common_0,13,27,5555,0.0709484,0.330504
V64_common_0,13,28,14187,0.0697004,0.334677
V64_common_0,13,29,3657,-0.0696526,0.339265
V64_common_0,13,30,1377,-0.0663922,0.343582
V64_common_0,13,31,15733,0.0627177,0.347483
V64_common_1,13,0,14627,-0.27771,0.0787202
V64_common_1,13,1,1865,0.151096,0.114366
V64_common_1,13,2,3448,0.112423,0.153742
V64_common_1,13,3,5642,0.0774065,0.175262
V64_common_1,13,4,12881,0.13104,0.193861
V64_common_1,13,5,10259,0.117965,0.209925
V64_common_1,13,6,7377,-0.128587,0.224457
V64_common_1,13,7,2784,0.124953,0.234632
V64_common_1,13,8,3021,0.0885924,0.245859
V64_common_1,13,9,6862,-0.105737,0.256155
V64_common_1,13,10,1344,-0.0975668,0.265728
V64_common_1,13,11,11561,-0.0660194,0.275898
V64_common_1,13,12,15818,0.0972735,0.284154
V64_common_1,13,13,15085,-0.0847946,0.292283
V64_common_1,13,14,6264,-0.0804731,0.300223
V64_common_1,13,15,10873,-0.087515,0.306976
V64_common_1,13,16,12674,-0.0743138,0.313526
V64_common_1,13,17,4276,-0.079405,0.319905
V64_common_1,13,18,5965,0.071229,0.3256
V64_common_1,13,19,4341,0.076201,0.331196
V64_common_1,13,20,14551,0.070157,0.336917
V64_common_1,13,21,13370,-0.0667767,0.342098
V64_common_1,13,22,5658,0.0685346,0.347476
V64_common_1,13,23,843,0.0751057,0.352779
V64_common_1,13,24,9222,-0.0815045,0.358284
V64_common_1,13,25,2162,-0.0699374,0.3635
V64_common_1,13,26,11684,0.0685077,0.3678
V64_common_1,13,27,13270,0.0669098,0.372211
V64_common_1,13,28,2515,0.0742941,0.376841
V64_common_1,13,29,5355,-0.0629208,0.380785
V64_common_1,13,30,13430,-0.0639455,0.384675
V64_common_1,13,31,600,0.0652666,0.3887
V64_common_2,13,0,10844,0.203764,0.210145
V64_common_2,13,1,8428,-0.104901,0.244043
V64_common_2,13,2,5642,0.157595,0.269417
V64_common_2,13,3,4439,-0.253614,0.309837
V64_common_2,13,4,14627,0.140639,0.335157
V64_common_2,13,5,9877,0.108058,0.350952
V64_common_2,13,6,5772,-0.0960946,0.365003
V64_common_2,13,7,9763,0.11222,0.377724
V64_common_2,13,8,16150,0.110884,0.390168
V64_common_2,13,9,843,0.118718,0.402294
V64_common_2,13,10,1193,0.0942121,0.410905
V64_common_2,13,11,10392,-0.0871479,0.419815
V64_common_2,13,12,4021,-0.0819086,0.427212
V64_common_2,13,13,10043,-0.0843901,0.433652
V64_common_2,13,14,10164,-0.0714703,0.439331
V64_common_2,13,15,15251,0.0853306,0.444666
V64_common_2,13,16,8427,0.0776599,0.450255
V64_common_2,13,17,815,-0.0893296,0.456234
V64_common_2,13,18,3815,0.0812498,0.461182
V64_common_2,13,19,10024,-0.0693921,0.466095
V64_common_2,13,20,4342,-0.059112,0.470627
V64_common_2,13,21,9249,0.0646944,0.474576
V64_common_2,13,22,574,0.0636499,0.478783
V64_common_2,13,23,534,-0.0666156,0.482523
V64_common_2,13,24,3431,0.0695424,0.486564
V64_common_2,13,25,1043,-0.0620326,0.49042
V64_common_2,13,26,9695,0.0691574,0.493937
V64_common_2,13,27,3528,-0.0630774,0.497445
V64_common_2,13,28,7149,0.0584406,0.500851
V64_common_2,13,29,4866,-0.0577916,0.503974
V64_common_2,13,30,1469,-0.0563646,0.507081
V64_common_2,13,31,5580,-0.0565771,0.510206
V64_common_3,13,0,12614,0.101603,0.0308494
V64_common_3,13,1,12877,-0.10644,0.0487493
V64_common_3,13,2,10024,0.131828,0.0666537
V64_common_3,13,3,4556,0.0982522,0.0792327
V64_common_3,13,4,14627,-0.116093,0.0916027
V64_common_3,13,5,10844,0.0995684,0.106051
V64_common_3,13,6,14829,-0.0899966,0.117402
V64_common_3,13,7,14704,-0.100296,0.12962
V64_common_3,13,8,4696,0.0990409,0.141769
V64_common_3,13,9,11097,-0.0860998,0.15245
V64_common_3,13,10,7226,-0.077856,0.161415
V64_common_3,13,11,3806,0.0748867,0.170078
V64_common_3,13,12,15890,0.0922758,0.179182
V64_common_3,13,13,13556,-0.121374,0.188053
V64_common_3,13,14,7511,-0.0799135,0.196161
V64_common_3,13,15,14404,0.0828711,0.204194
V64_common_3,13,16,14025,-0.0919999,0.212352
V64_common_3,13,17,10259,-0.0974493,0.219163
V64_common_3,13,18,1385,0.0804413,0.225983
V64_common_3,13,19,12611,0.0839168,0.232435
V64_common_3,13,20,15161,-0.0814112,0.238245
V64_common_3,13,21,14842,0.0823964,0.244768
V64_common_3,13,22,9437,-0.0769291,0.250291
V64_common_3,13,23,7359,-0.0777849,0.255719
V64_common_3,13,24,8079,-0.0894552,0.261479
V64_common_3,13,25,11850,-0.0681558,0.266703
V64_common_3,13,26,15402,0.0754754,0.271433
V64_common_3,13,27,5265,0.0712975,0.276216
V64_common_3,13,28,14890,0.0765714,0.281109
V64_common_3,13,29,9023,0.0711461,0.285665
V64_common_3,13,30,4248,0.0698247,0.290502
V64_common_3,13,31,15704,0.0693129,0.295154
common_v1,13,0,10259,0.178851,0.0687859
common_v1,13,1,3021,0.0852156,0.119205
common_v1,13,2,1865,0.131671,0.145468
common_v1,13,3,8370,-0.116665,0.168367
common_v1,13,4,1626,-0.102045,0.183904
common_v1,13,5,4659,0.0974915,0.198538
common_v1,13,6,15319,0.101048,0.210061
common_v1,13,7,12047,-0.0717495,0.221535
common_v1,13,8,11977,0.120599,0.232169
common_v1,13,9,5990,-0.0932973,0.242357
common_v1,13,10,15935,0.098998,0.251341
common_v1,13,11,600,0.0821096,0.260592
common_v1,13,12,10520,0.110268,0.270088
common_v1,13,13,1218,-0.0830464,0.279377
common_v1,13,14,5735,-0.0767402,0.287574
common_v1,13,15,4953,0.0818697,0.295442
common_v1,13,16,3448,0.0829242,0.303966
common_v1,13,17,14511,0.0952097,0.310705
common_v1,13,18,3873,0.0776823,0.317486
common_v1,13,19,4525,-0.0697291,0.323774
common_v1,13,20,9877,0.0715245,0.329883
common_v1,13,21,7511,0.0799588,0.335831
common_v1,13,22,12881,0.0840637,0.341784
common_v1,13,23,984,-0.0891375,0.348125
common_v1,13,24,2069,-0.0745336,0.353689
common_v1,13,25,16339,-0.0744523,0.359126
common_v1,13,26,1016,-0.0738647,0.364518
common_v1,13,27,3195,0.073232,0.369839
common_v1,13,28,1993,0.0791677,0.374979
common_v1,13,29,13015,-0.071807,0.379887
common_v1,13,30,1661,0.0713871,0.384651
common_v1,13,31,10109,-0.071704,0.389666
jtw_full_matched_mean,13,0,10259,-0.163259,0.0675892
jtw_full_matched_mean,13,1,3021,-0.120308,0.119241
jtw_full_matched_mean,13,2,1865,-0.169194,0.144936
jtw_full_matched_mean,13,3,8370,0.106243,0.167368
jtw_full_matched_mean,13,4,12047,0.0853997,0.179631
jtw_full_matched_mean,13,5,3448,-0.0870179,0.191796
jtw_full_matched_mean,13,6,5658,-0.0737735,0.203263
jtw_full_matched_mean,13,7,4953,-0.0978038,0.213017
jtw_full_matched_mean,13,8,1626,0.0766158,0.222775
jtw_full_matched_mean,13,9,11977,-0.122576,0.231577
jtw_full_matched_mean,13,10,984,0.112523,0.242648
jtw_full_matched_mean,13,11,7635,-0.122362,0.25146
jtw_full_matched_mean,13,12,14511,-0.0990873,0.259606
jtw_full_matched_mean,13,13,1218,0.0917705,0.268118
jtw_full_matched_mean,13,14,7511,-0.0814183,0.275255
jtw_full_matched_mean,13,15,1016,0.0915425,0.282383
jtw_full_matched_mean,13,16,3195,-0.0925314,0.289937
