prompt,n_rows,n_text_changed,v0,v_pos,v_neg,signed,verdict_changed,population
The city of Abidjan is in Côte,5,0,-1.0,-1.0,-1.0,0.0,0,inert
The city of Abu Dhabi is in the United Arab,5,2,1.0,1.0,1.0,0.0,0,churn
The city of Abuja is in,5,4,0.0,1.0,0.0,1.0,1,mover
The city of Aguascalientes is in,5,2,-1.0,-1.0,1.0,-2.0,1,mover
The city of Ahvaz is in,5,1,1.0,1.0,1.0,0.0,0,churn
The city of Aktobe is in,5,2,1.0,1.0,1.0,0.0,0,churn
The city of Albuquerque is in the United,5,1,1.0,1.0,1.0,0.0,0,churn
The city of Almaty is in,5,1,0.0,0.5,0.0,0.5,1,mover
The city of Ar Raqqah is in,5,1,1.0,1.0,0.5,0.5,1,mover
The city of Ashgabat is in,5,3,0.0,0.0,0.0,0.0,0,churn
The city of Bahcelievler is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Bandar Lampung is in,5,2,1.0,0.0,0.0,0.0,1,churn
The city of Bareilly is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Barnaul is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Battagram is in,5,3,1.0,1.0,1.0,0.0,0,churn
The city of Belo Horizonte is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Bengaluru is in,5,0,0.0,0.0,0.0,0.0,0,inert
The city of Bengbu is in,5,2,1.0,1.0,1.0,0.0,0,churn
The city of Bhayandar is in,5,2,1.0,1.0,1.0,0.0,0,churn
The city of Bhilai is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Bhopal is in,5,0,0.0,0.0,0.0,0.0,0,inert
The city of Bilimora is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Bloemfontein is in South,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Bogor is in,5,1,1.0,1.0,1.0,0.0,0,churn
The city of Bouake is in Côte,5,1,1.0,1.0,1.0,0.0,0,churn
The city of Boumerdes is in,5,3,-1.0,1.0,0.0,1.0,1,mover
The city of Brazzaville is in the Republic of the,5,3,1.0,1.0,1.0,0.0,0,churn
The city of Budapest is in,5,3,0.0,0.5,0.0,0.5,1,mover
The city of Bulawayo is in,5,1,0.0,0.0,0.0,0.0,0,churn
The city of Busan is in South,5,2,1.0,1.0,1.0,0.0,0,churn
The city of Can Tho is in,5,3,1.0,1.0,1.0,0.0,0,churn
The city of Chandigarh is in,5,0,0.0,0.0,0.0,0.0,0,inert
The city of Chattogram is in,5,1,0.0,-0.5,0.0,-0.5,1,mover
The city of Chenzhou is in,5,2,1.0,1.0,1.0,0.0,0,churn
The city of Cheonan is in South,5,1,1.0,1.0,1.0,0.0,0,churn
The city of Chisinau is in,5,2,0.0,0.0,0.0,0.0,0,churn
The city of Chongqing is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Chuzhou is in,5,1,1.0,1.0,1.0,0.0,0,churn
The city of Ciudad Nezahualcoyotl is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Comilla is in,5,3,1.0,1.0,1.0,0.0,0,churn
The city of Contagem is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Copenhagen is in,5,2,0.0,0.0,0.0,0.0,0,churn
The city of Culiacan is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Curitiba is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Dakar is in,5,0,0.0,0.0,0.0,0.0,0,inert
The city of Dandong is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Daqing is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Davao is in the,5,1,0.0,0.5,0.0,0.5,1,mover
The city of Denpasar is in,5,0,1.0,1.0,1.0,0.0,0,inert
The city of Detroit is in the United,5,0,1.0,1.0,1.0,0.0,0,inert
