layer,m_all_median,m_last_median,broadcast_gain,eps_all_median,eps_last_median,eps_all_p10,eps_all_p90,n
0,1.1061933040618896,0.3025965392589569,3.2695436477661133,2.920948342195965,10.693367193297842,0.25574025489536195,11.376748341047715,200
1,0.9303735494613647,0.2872373163700104,3.088313102722168,3.4664874338004146,11.06997623166205,0.29356185707676336,12.775973936412962,200
2,0.7490488290786743,0.29312586784362793,2.5820798873901367,4.189032539700911,11.398164657334696,0.37032658873189755,14.97760429263987,200
3,0.7808763384819031,0.2967577576637268,2.5852198600769043,4.227153528486298,12.023007081269222,0.3626116929937467,14.90749592413217,200
4,0.7862362861633301,0.30005180835723877,2.5650339126586914,4.046922583515874,11.612964724280463,0.37434080294491023,14.767684544483332,200
5,0.7874186038970947,0.3144038915634155,2.4275827407836914,4.108734914334903,11.438684314836681,0.3763407680929413,14.57631357826292,200
6,0.7736103534698486,0.3181034326553345,2.3315250873565674,4.211454737312907,11.16816384204251,0.37826170403603004,14.859451449190534,200
7,0.8327754735946655,0.32463622093200684,2.5273680686950684,3.932789859892698,10.806577854684726,0.33591343249611444,14.190195664812572,200
8,0.6759134531021118,0.3153565526008606,2.0158708095550537,4.596021035705274,10.424774432806483,0.3898996708487454,16.646172464496427,200
9,0.6668030023574829,0.3090032935142517,2.0505318641662598,4.543265996747529,10.679039049435975,0.41489144243177606,16.546284829665677,200
10,0.6088652014732361,0.2935193181037903,1.9710028171539307,5.073912665156255,11.140801351212307,0.47375187139353236,17.83182359678055,200
11,0.5809978246688843,0.29042869806289673,1.9967987537384033,5.095383920291292,11.50984119647436,0.46900580073511294,18.286023911531576,200
12,0.5550888180732727,0.2834091782569885,1.9262735843658447,5.584298244803779,11.415455353252124,0.4892899147126932,19.040726692622616,200
13,0.5797006487846375,0.2876141667366028,1.915779709815979,5.34074836493912,11.196309245805411,0.4872458308030185,18.32167075259927,200
14,0.5092923045158386,0.2789241075515747,1.7382361888885498,6.188165609103253,11.297215188000347,0.5424755541488866,21.28696188757601,200
15,0.5142101049423218,0.2801564931869507,1.726477861404419,6.426375674752348,11.286541956103463,0.5434744835676525,20.87494761410328,200
16,0.49792158603668213,0.3065948486328125,1.5476185083389282,6.595269069615908,10.757645980550379,0.59103614770592,21.03151661123801,200
17,0.4236101508140564,0.28948915004730225,1.407524824142456,7.608687378615523,11.109654160584917,0.6920757598294403,23.77928321413471,200
18,0.40902337431907654,0.29380667209625244,1.3680707216262817,8.078646129842339,11.468735140768747,0.746956027350869,25.059447522469874,200
19,0.36370155215263367,0.2785367965698242,1.2964813709259033,9.165904796159431,12.08563828051546,0.8829839268994719,27.213062694425478,200
20,0.32496029138565063,0.25841671228408813,1.2311041355133057,9.984239912969898,12.749990162693067,1.0032254058490468,28.899619850555183,200
21,0.2993285655975342,0.23647400736808777,1.222516655921936,11.199578677619492,14.255194738169578,1.0839546887176363,30.828557085320117,200
22,0.2591051459312439,0.20888353884220123,1.190643310546875,13.339897367246957,16.016510020951007,1.3501157522047142,36.03379326481404,200
23,0.22480705380439758,0.18980534374713898,1.1686627864837646,15.638617167516049,18.586453752308582,1.5809878630325513,41.15202847784804,200
24,0.2007153034210205,0.1711384654045105,1.1251229047775269,17.650876203716866,20.252668538798286,1.776519114864547,47.50762558164522,200
25,0.18089258670806885,0.1673061102628708,1.0605361461639404,19.92691222592954,21.045408085316016,1.8790848739324855,51.05537844334639,200
