direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,readout_delta,completion
jtw_token,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,"the north of Shandong Province, China."
jtw_token,171,The city of Weifang is in,8.89456,+0.25,201861, Shandong,0,6.93032,0.46055,5.91668,"Shandong Province, China. It is a"
jtw_token,171,The city of Weifang is in,-8.89456,-0.25,573, the,0,21.9525,-0.708764,-9.10549,"the eastern part of Shandong Province, China"
jtw_token,171,The city of Weifang is in,17.7891,+0.50,201861, Shandong,0,3.70338,0.711732,9.14363,"Shandong Province, China. It is a"
jtw_token,171,The city of Weifang is in,-17.7891,-0.50,573, the,0,32.6416,-1.54079,-19.7946,"the eastern part of Shandong Province, China"
jtw_token,171,The city of Weifang is in,35.5782,+1.00,201861, Shandong,0,0.702053,0.945353,12.145,"Shandong Province, China. It is a"
jtw_token,171,The city of Weifang is in,-35.5782,-1.00,573, the,0,47.1471,-2.66989,-34.3001,the eastern part of the Shandong province of
jtw_token,171,The city of Weifang is in,71.1564,+2.00,201861, Shandong,0,-1.8929,1.14734,14.7399,"Shandong Province, China. It is a"
jtw_token,171,The city of Weifang is in,-71.1564,-2.00,573, the,0,47.3879,-2.68864,-34.5409,the northern part of the province of We
jtw_legacy,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,1.62777,+0.25,573, the,0,12.8626,-0.00121119,-0.0155602,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-1.62777,-0.25,573, the,0,12.8319,0.00117867,0.0151424,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,3.25553,+0.50,573, the,0,12.8785,-0.00245311,-0.0315151,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-3.25553,-0.50,573, the,0,12.8171,0.00232558,0.0298767,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,6.51106,+1.00,573, the,0,12.9116,-0.00503078,-0.0646305,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-6.51106,-1.00,573, the,0,12.7889,0.00452644,0.0581512,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,13.0221,+2.00,573, the,0,12.9826,-0.0105574,-0.135632,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-13.0221,-2.00,573, the,0,12.737,0.00856206,0.109997,"the north of Shandong Province, China."
jtw_token,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It is"
jtw_token,1246,The city of Langfang is in,0.235823,+0.25,1315, He,0,0.13271,0.562518,0.170639,"Hebei province, China. It is"
jtw_token,1246,The city of Langfang is in,-0.235823,-0.25,1315, He,0,0.470291,-0.550333,-0.166943,"Hebei province, China. It is"
jtw_token,1246,The city of Langfang is in,0.471645,+0.50,573, the,1,-0.0416794,1.1374,0.345028,"the northern part of Hebei Province,"
jtw_token,1246,The city of Langfang is in,-0.471645,-0.50,1315, He,0,0.633541,-1.08849,-0.330193,"Hebei province, China. It is"
jtw_token,1246,The city of Langfang is in,0.943291,+1.00,573, the,1,-0.401749,2.32438,0.705097,"the northern part of Hebei Province,"
jtw_token,1246,The city of Langfang is in,-0.943291,-1.00,1315, He,0,0.949131,-2.12885,-0.645782,"Hebei province, China. It is"
