direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,readout_delta,completion
oracle,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,the north-east part of Shandong Province
oracle,171,The city of Weifang is in,1.62777,+0.25,573, the,0,9.63204,0.25025,3.21497,the north-east part of Shandong Province
oracle,171,The city of Weifang is in,-1.62777,-0.25,573, the,0,16.062,-0.25025,-3.21496,"the Shandong Province, China. It has"
oracle,171,The city of Weifang is in,3.25553,+0.50,573, the,0,6.41707,0.500501,6.42994,the north-east part of Shandong Province
oracle,171,The city of Weifang is in,-3.25553,-0.50,573, the,0,19.2769,-0.5005,-6.42992,"the Shandong Province, China. It has"
oracle,171,The city of Weifang is in,6.51106,+1.00,4612, North,1,-0.0128555,1.001,12.8599,"North East China, and it’s"
oracle,171,The city of Weifang is in,-6.51106,-1.00,573, the,0,25.7069,-1.001,-12.8599,"the Shandong Province, China. It has"
oracle,171,The city of Weifang is in,13.0221,+2.00,4612, North,1,-12.8727,2.002,25.7197,"North East China, and it’s"
oracle,171,The city of Weifang is in,-13.0221,-2.00,573, the,0,38.5667,-2.002,-25.7197,"the Shandong Province, China. It has"
md_full,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,the north-east part of Shandong Province
md_full,171,The city of Weifang is in,408.946,+0.25,1165, It,0,8.96883,0.301874,3.87818,It Rainfall Measuring Temperatures Calculating Computing Data Analyzing
md_full,171,The city of Weifang is in,-408.946,-0.25,109,\n\n,0,16.7252,-0.301873,-3.87817,China He yes yeah no ok
md_full,171,The city of Weifang is in,817.892,+0.50,132892, Temperatures,0,5.09065,0.603748,7.75635,Temperatures Measuring Rainfall Calculating Computing Meteoro Planners calculators
md_full,171,The city of Weifang is in,-817.892,-0.50,109,\n\n,0,20.6033,-0.603747,-7.75634,Nope yes no yeah ok true nope
md_full,171,The city of Weifang is in,1635.78,+1.00,132892, Temperatures,0,-2.6657,1.2075,15.5127,Temperatures Measuring Rainfall Computing Calculating calculators Planners Meteoro
md_full,171,The city of Weifang is in,-1635.78,-1.00,109,\n\n,0,28.3597,-1.20749,-15.5127,No no trueYes Hetrue
md_full,171,The city of Weifang is in,3271.57,+2.00,43011, Computing,0,-18.1784,2.41499,31.0254,Computingándo Measuring Temperatures Rainfall Calculating calculators Planners
md_full,171,The city of Weifang is in,-3271.57,-2.00,108,\n,0,43.8724,-2.41499,-31.0254,er ohe i s
oracle,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It has"
oracle,1246,The city of Langfang is in,0.0341093,+0.25,1315, He,0,0.227436,0.250248,0.0759125,"Hebei province, China. It has"
oracle,1246,The city of Langfang is in,-0.0341093,-0.25,1315, He,0,0.379261,-0.250248,-0.0759125,"Hebei province, China. It has"
oracle,1246,The city of Langfang is in,0.0682186,+0.50,1315, He,0,0.151524,0.500497,0.151825,"Hebei province, China. It has"
oracle,1246,The city of Langfang is in,-0.0682186,-0.50,1315, He,0,0.455177,-0.500509,-0.151829,"Hebei province, China. It has"
oracle,1246,The city of Langfang is in,0.136437,+1.00,573, the,1,-0.000305176,1.00101,0.303654,"the northern part of Hebei Province,"
oracle,1246,The city of Langfang is in,-0.136437,-1.00,1315, He,0,0.607002,-1.00101,-0.303654,"Hebei province, China. It has"
oracle,1246,The city of Langfang is in,0.272874,+2.00,573, the,1,-0.303959,2.00201,0.607307,"the northern part of Hebei Province,"
oracle,1246,The city of Langfang is in,-0.272874,-2.00,1315, He,0,0.910656,-2.00201,-0.607307,"Hebei province, China. It has"
md_full,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It has"
md_full,1246,The city of Langfang is in,1.06533,+0.25,1315, He,0,0.227436,0.250248,0.0759125,"Hebei province, China. It has"
md_full,1246,The city of Langfang is in,-1.06533,-0.25,1315, He,0,0.379269,-0.250274,-0.0759201,"Hebei province, China. It has"
md_full,1246,The city of Langfang is in,2.13067,+0.50,1315, He,0,0.151524,0.500497,0.151825,"Hebei province, China. It has"
md_full,1246,The city of Langfang is in,-2.13067,-0.50,1315, He,0,0.455177,-0.500509,-0.151829,"Hebei province, China. It has"
md_full,1246,The city of Langfang is in,4.26133,+1.00,573, the,1,-0.000301361,1.00099,0.30365,"the northern part of Hebei Province,"
md_full,1246,The city of Langfang is in,-4.26133,-1.00,1315, He,0,0.607006,-1.00102,-0.303658,"Hebei province, China. It has"
md_full,1246,The city of Langfang is in,8.52267,+2.00,573, the,1,-0.303963,2.00202,0.607311,"the northern part of Hebei Province,"
md_full,1246,The city of Langfang is in,-8.52267,-2.00,1315, He,0,0.91066,-2.00202,-0.607311,"Hebei province, China. It has"
oracle,45,The city of Nowrangapur is in,0,+0.00,573, the,0,15.9804,0,0,the district and state mentioned above. It
oracle,45,The city of Nowrangapur is in,1.7014,+0.25,573, the,0,11.9813,0.25025,3.9991,the district headquarters and has a population density
oracle,45,The city of Nowrangapur is in,-1.7014,-0.25,573, the,0,19.9795,-0.25025,-3.99911,the state of Odisha. It has a
oracle,45,The city of Nowrangapur is in,3.4028,+0.50,573, the,0,7.98224,0.5005,7.99821,the district headquarters area. It has a
oracle,45,The city of Nowrangapur is in,-3.4028,-0.50,573, the,0,23.9786,-0.5005,-7.99821,the state of <strong>Odisha</strong>
oracle,45,The city of Nowrangapur is in,6.8056,+1.00,4316, South,1,-0.0159721,1.001,15.9964,"South Odisha, India. It lies on"
oracle,45,The city of Nowrangapur is in,-6.8056,-1.00,573, the,0,31.9769,-1.001,-15.9964,the state of <strong>Odisha</strong>
oracle,45,The city of Nowrangapur is in,13.6112,+2.00,4316, South,1,-16.0124,2.002,31.9928,South Odisha district Bhadrak. It
oracle,45,The city of Nowrangapur is in,-13.6112,-2.00,573, the,0,47.9733,-2.002,-31.9928,"the <strong>K. a,</strong>"
md_full,45,The city of Nowrangapur is in,0,+0.00,573, the,0,15.9804,0,0,the district and state mentioned above. It
md_full,45,The city of Nowrangapur is in,441.952,+0.25,1165, It,0,19.9795,-0.25025,-3.9991,Itándo Rainfall Measuring Gauge Data. Temperatures
md_full,45,The city of Nowrangapur is in,-441.952,-0.25,109,\n\n,0,11.9813,0.25025,3.99911,No yes no Yes NoYesNope
md_full,45,The city of Nowrangapur is in,883.905,+0.50,74616, Measuring,0,23.9786,-0.500499,-7.9982,Measuring Rainfall Temperatures Computing Meteoro Planners Calculating temperatures
md_full,45,The city of Nowrangapur is in,-883.905,-0.50,109,\n\n,0,7.98225,0.500499,7.9982,Nope yes true yeah no nope Nope
md_full,45,The city of Nowrangapur is in,1767.81,+1.00,74616, Measuring,0,31.9768,-1.001,-15.9964,Measuring Temperatures Rainfall Computing Calculating Planners calculators Meteoro
md_full,45,The city of Nowrangapur is in,-1767.81,-1.00,108,\n,0,-0.0159683,1.001,15.9964,noNo him No true false
md_full,45,The city of Nowrangapur is in,3535.62,+2.00,43011, Computing,0,47.9732,-2.002,-31.9928,Computingándo MeasuringDemografía Temperatures temperatures Rainfall Graphs
md_full,45,The city of Nowrangapur is in,-3535.62,-2.00,108,\n,0,-16.0124,2.002,31.9928,</tr>    �er t
oracle,467,The city of Tembisa is in the,0,+0.00,637, E,0,6.48786,0,0,"Ekurhuleni Metropolitan Municipality, Gauteng"
oracle,467,The city of Tembisa is in the,0.860705,+0.25,637, E,0,4.86427,0.25025,1.62359,"Ekurhuleni Metropolitan Municipality, Gauteng"
oracle,467,The city of Tembisa is in the,-0.860705,-0.25,637, E,0,8.11145,-0.25025,-1.62359,"Ekurhuleni Metropolitan Municipality, Gauteng"
oracle,467,The city of Tembisa is in the,1.72141,+0.50,637, E,0,3.24069,0.5005,3.24718,"Ekurhuleni Metropolitan Municipality, Gauteng"
oracle,467,The city of Tembisa is in the,-1.72141,-0.50,637, E,0,9.73504,-0.5005,-3.24718,"Ekurhuleni Metropolitan Municipality, Gauteng"
oracle,467,The city of Tembisa is in the,3.44282,+1.00,4316, South,1,-0.0064888,1.001,6.49435,South African province of Gauteng. It has
oracle,467,The city of Tembisa is in the,-3.44282,-1.00,637, E,0,12.9822,-1.001,-6.49435,"Ekurhuleni Metropolitan Municipality, which"
oracle,467,The city of Tembisa is in the,6.88564,+2.00,4316, South,1,-6.50084,2.002,12.9887,South African province Gauteng. It has a
oracle,467,The city of Tembisa is in the,-6.88564,-2.00,637, E,0,19.4766,-2.002,-12.9887,"Ekurhuleni Metropolitan Municipality, which"
