direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,readout_delta,completion
oracle,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,"the north of Shandong Province, China."
oracle,171,The city of Weifang is in,1.62777,+0.25,573, the,0,9.63204,0.25025,3.21497,"the north of Shandong Province, China."
oracle,171,The city of Weifang is in,-1.62777,-0.25,573, the,0,16.062,-0.25025,-3.21496,the Shandong Province of China. It is
oracle,171,The city of Weifang is in,3.25553,+0.50,573, the,0,6.41707,0.500501,6.42994,"the north of Shandong Province, China."
oracle,171,The city of Weifang is in,-3.25553,-0.50,573, the,0,19.2769,-0.5005,-6.42992,the Shandong Province of China. It is
oracle,171,The city of Weifang is in,6.51106,+1.00,4612, North,1,-0.0128555,1.001,12.8599,"North East China, and is the capital"
oracle,171,The city of Weifang is in,-6.51106,-1.00,573, the,0,25.7069,-1.001,-12.8599,the Shandong Province of China. It is
oracle,171,The city of Weifang is in,13.0221,+2.00,4612, North,1,-12.8727,2.002,25.7197,North North North North North North North North
oracle,171,The city of Weifang is in,-13.0221,-2.00,573, the,0,38.5667,-2.002,-25.7197,the Shandong Province of the People's
md_full,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,"the north of Shandong Province, China."
md_full,171,The city of Weifang is in,408.946,+0.25,1165, It,0,8.96883,0.301874,3.87818,It Rainfall Rainfall Rainfall Rainfall Rainfall Rainfall Rainfall
md_full,171,The city of Weifang is in,-408.946,-0.25,109,\n\n,0,16.7252,-0.301873,-3.87817,
md_full,171,The city of Weifang is in,817.892,+0.50,132892, Temperatures,0,5.09065,0.603748,7.75635,Temperatures Measuring Temperatures Measuring Temperatures Measuring Temperatures Measuring
md_full,171,The city of Weifang is in,-817.892,-0.50,109,\n\n,0,20.6033,-0.603747,-7.75634,
md_full,171,The city of Weifang is in,1635.78,+1.00,132892, Temperatures,0,-2.6657,1.2075,15.5127,Temperatures Measuring Temperatures Measuring Temperatures Measuring Temperatures Measuring
md_full,171,The city of Weifang is in,-1635.78,-1.00,109,\n\n,0,28.3597,-1.20749,-15.5127,
md_full,171,The city of Weifang is in,3271.57,+2.00,43011, Computing,0,-18.1784,2.41499,31.0254,Computing Computing Computing Computing Computing Computing Computing Computing
md_full,171,The city of Weifang is in,-3271.57,-2.00,108,\n,0,43.8724,-2.41499,-31.0254,
oracle,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,0.0341093,+0.25,1315, He,0,0.227436,0.250248,0.0759125,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,-0.0341093,-0.25,1315, He,0,0.379261,-0.250248,-0.0759125,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,0.0682186,+0.50,1315, He,0,0.151524,0.500497,0.151825,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,-0.0682186,-0.50,1315, He,0,0.455177,-0.500509,-0.151829,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,0.136437,+1.00,573, the,1,-0.000305176,1.00101,0.303654,"the northern part of Hebei Province,"
oracle,1246,The city of Langfang is in,-0.136437,-1.00,1315, He,0,0.607002,-1.00101,-0.303654,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,0.272874,+2.00,573, the,1,-0.303959,2.00201,0.607307,"the northern part of Hebei Province,"
oracle,1246,The city of Langfang is in,-0.272874,-2.00,1315, He,0,0.910656,-2.00201,-0.607307,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,1.06533,+0.25,1315, He,0,0.227436,0.250248,0.0759125,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,-1.06533,-0.25,1315, He,0,0.379269,-0.250274,-0.0759201,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,2.13067,+0.50,1315, He,0,0.151524,0.500497,0.151825,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,-2.13067,-0.50,1315, He,0,0.455177,-0.500509,-0.151829,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,4.26133,+1.00,573, the,1,-0.000301361,1.00099,0.30365,"the northern part of Hebei Province,"
md_full,1246,The city of Langfang is in,-4.26133,-1.00,1315, He,0,0.607006,-1.00102,-0.303658,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,8.52267,+2.00,573, the,1,-0.303963,2.00202,0.607311,"the northern part of Hebei Province,"
md_full,1246,The city of Langfang is in,-8.52267,-2.00,1315, He,0,0.91066,-2.00202,-0.607311,"Hebei province, China. It is"
oracle,45,The city of Nowrangapur is in,0,+0.00,573, the,0,15.9804,0,0,the district of Srikakulam in
oracle,45,The city of Nowrangapur is in,1.7014,+0.25,573, the,0,11.9813,0.25025,3.9991,the district of Srikakulam in
oracle,45,The city of Nowrangapur is in,-1.7014,-0.25,573, the,0,19.9795,-0.25025,-3.99911,the state of Odisha. It is in
oracle,45,The city of Nowrangapur is in,3.4028,+0.50,573, the,0,7.98224,0.5005,7.99821,the district of Nawrangpur in the
oracle,45,The city of Nowrangapur is in,-3.4028,-0.50,573, the,0,23.9786,-0.5005,-7.99821,the state of the Indian state of the
oracle,45,The city of Nowrangapur is in,6.8056,+1.00,4316, South,1,-0.0159721,1.001,15.9964,"South Odisha, India. It is located"
oracle,45,The city of Nowrangapur is in,-6.8056,-1.00,573, the,0,31.9769,-1.001,-15.9964,the state of the <strong>Andhra
oracle,45,The city of Nowrangapur is in,13.6112,+2.00,4316, South,1,-16.0124,2.002,31.9928,South Odisha district South Odisha district South Odisha
oracle,45,The city of Nowrangapur is in,-13.6112,-2.00,573, the,0,47.9733,-2.002,-31.9928,the the the the the the the the
md_full,45,The city of Nowrangapur is in,0,+0.00,573, the,0,15.9804,0,0,the district of Srikakulam in
md_full,45,The city of Nowrangapur is in,441.952,+0.25,1165, It,0,19.9795,-0.25025,-3.9991,Itándo Itándo Itándo Itándo
md_full,45,The city of Nowrangapur is in,-441.952,-0.25,109,\n\n,0,11.9813,0.25025,3.99911,
md_full,45,The city of Nowrangapur is in,883.905,+0.50,74616, Measuring,0,23.9786,-0.500499,-7.9982,Measuring Measuring Measuring Measuring Measuring Measuring Measuring Measuring
md_full,45,The city of Nowrangapur is in,-883.905,-0.50,109,\n\n,0,7.98225,0.500499,7.9982,
md_full,45,The city of Nowrangapur is in,1767.81,+1.00,74616, Measuring,0,31.9768,-1.001,-15.9964,Measuring Measuring Measuring Measuring Measuring Measuring Measuring Measuring
md_full,45,The city of Nowrangapur is in,-1767.81,-1.00,108,\n,0,-0.0159683,1.001,15.9964,
md_full,45,The city of Nowrangapur is in,3535.62,+2.00,43011, Computing,0,47.9732,-2.002,-31.9928,Computing Computing Computing Computing Computing Computing Computing Computing
md_full,45,The city of Nowrangapur is in,-3535.62,-2.00,108,\n,0,-16.0124,2.002,31.9928,
oracle,467,The city of Tembisa is in the,0,+0.00,637, E,0,6.48786,0,0,Ekurhuleni Metropolitan Municipality in Gauteng
oracle,467,The city of Tembisa is in the,0.860705,+0.25,637, E,0,4.86427,0.25025,1.62359,Ekurhuleni Metropolitan Municipality in Gauteng
oracle,467,The city of Tembisa is in the,-0.860705,-0.25,637, E,0,8.11145,-0.25025,-1.62359,Ekurhuleni Metropolitan Municipality in Gauteng
oracle,467,The city of Tembisa is in the,1.72141,+0.50,637, E,0,3.24069,0.5005,3.24718,Ekurhuleni Metropolitan Municipality in Gauteng
oracle,467,The city of Tembisa is in the,-1.72141,-0.50,637, E,0,9.73504,-0.5005,-3.24718,Ekurhuleni Metropolitan Municipality in Gauteng
oracle,467,The city of Tembisa is in the,3.44282,+1.00,4316, South,1,-0.0064888,1.001,6.49435,South African province of Gauteng. It is
oracle,467,The city of Tembisa is in the,-3.44282,-1.00,637, E,0,12.9822,-1.001,-6.49435,Ekurhuleni Metropolitan Municipality in the
oracle,467,The city of Tembisa is in the,6.88564,+2.00,4316, South,1,-6.50084,2.002,12.9887,South African province of Gauteng. It is
oracle,467,The city of Tembisa is in the,-6.88564,-2.00,637, E,0,19.4766,-2.002,-12.9887,Ekurhuleni Metropolitan Municipality in the
md_full,467,The city of Tembisa is in the,0,+0.00,637, E,0,6.48786,0,0,Ekurhuleni Metropolitan Municipality in Gauteng
md_full,467,The city of Tembisa is in the,272.165,+0.25,1165, It,0,8.39203,-0.293497,-1.90417,It It It It It It It It
md_full,467,The city of Tembisa is in the,-272.165,-0.25,109,\n\n,0,4.58369,0.293497,1.90417,
md_full,467,The city of Tembisa is in the,544.329,+0.50,1165, It,0,10.2962,-0.586994,-3.80834,It Planners Planners Planners Planners Planners Planners Planners
md_full,467,The city of Tembisa is in the,-544.329,-0.50,109,\n\n,0,2.67952,0.586994,3.80834,
md_full,467,The city of Tembisa is in the,1088.66,+1.00,74616, Measuring,0,14.1045,-1.17399,-7.61668,Measuring Measuring Measuring Measuring Measuring Measuring Measuring Measuring
md_full,467,The city of Tembisa is in the,-1088.66,-1.00,109,\n\n,0,-1.12881,1.17399,7.61668,
md_full,467,The city of Tembisa is in the,2177.32,+2.00,74616, Measuring,0,21.7212,-2.34798,-15.2334,Measuring Measuring Measuring Measuring Measuring Measuring Measuring Measuring
md_full,467,The city of Tembisa is in the,-2177.32,-2.00,108,\n,0,-8.74547,2.34797,15.2333,
oracle,767,The city of Narela is in,0,+0.00,573, the,0,7.50852,0,0,the north-west of Delhi. It
oracle,767,The city of Narela is in,0.788667,+0.25,573, the,0,5.62951,0.250251,1.87901,the north-west of Delhi. It
oracle,767,The city of Narela is in,-0.788667,-0.25,573, the,0,9.38753,-0.25025,-1.87901,the north-west of Delhi. It
oracle,767,The city of Narela is in,1.57733,+0.50,573, the,0,3.7505,0.5005,3.75802,the north-west of Delhi. It
oracle,767,The city of Narela is in,-1.57733,-0.50,573, the,0,11.2665,-0.5005,-3.75801,the north-west of Delhi. It
oracle,767,The city of Narela is in,3.15467,+1.00,4612, North,1,-0.00751114,1.001,7.51603,North West Delhi. It is a part
oracle,767,The city of Narela is in,-3.15467,-1.00,573, the,0,15.0246,-1.001,-7.51603,the north-west of the National Capital
oracle,767,The city of Narela is in,6.30933,+2.00,4612, North,1,-7.52354,2.002,15.0321,North West Delhi. It is a part
oracle,767,The city of Narela is in,-6.30933,-2.00,573, the,0,22.5406,-2.002,-15.0321,the process of being developed as a new
md_full,767,The city of Narela is in,0,+0.00,573, the,0,7.50852,0,0,the north-west of Delhi. It
md_full,767,The city of Narela is in,198.138,+0.25,573, the,0,5.62951,0.250251,1.87901,the planning. It is being planned as
md_full,767,The city of Narela is in,-198.138,-0.25,109,\n\n,0,9.38753,-0.25025,-1.87901,
md_full,767,The city of Narela is in,396.276,+0.50,1165, It,0,3.7505,0.5005,3.75802,It Planners Planners Planners Planners Planners Planners Planners
md_full,767,The city of Narela is in,-396.276,-0.50,109,\n\n,0,11.2665,-0.5005,-3.75801,
md_full,767,The city of Narela is in,792.551,+1.00,74616, Measuring,0,-0.00751495,1.001,7.51604,Measuring Measuring Measuring Measuring Measuring Measuring Measuring Measuring
md_full,767,The city of Narela is in,-792.551,-1.00,109,\n\n,0,15.0245,-1.001,-7.51602,
md_full,767,The city of Narela is in,1585.1,+2.00,74616, Measuring,0,-7.52355,2.002,15.0321,Measuring Measuring Measuring Measuring Measuring Measuring Measuring Measuring
md_full,767,The city of Narela is in,-1585.1,-2.00,109,\n\n,0,22.5406,-2.002,-15.0321,
oracle,408,The city of Warri is in,0,+0.00,24808, Delta,0,1.83869,0,0,"Delta State, Nigeria. It is the"
oracle,408,The city of Warri is in,0.172015,+0.25,24808, Delta,0,1.37856,0.250248,0.460129,"Delta State, Nigeria. It is the"
oracle,408,The city of Warri is in,-0.172015,-0.25,24808, Delta,0,2.29883,-0.250252,-0.460136,"Delta State, Nigeria. It is the"
oracle,408,The city of Warri is in,0.34403,+0.50,24808, Delta,0,0.918427,0.5005,0.920265,"Delta State, Nigeria. It is the"
oracle,408,The city of Warri is in,-0.34403,-0.50,24808, Delta,0,2.75896,-0.500502,-0.920269,"Delta State, Nigeria. It is the"
oracle,408,The city of Warri is in,0.688059,+1.00,573, the,1,-0.0018425,1.001,1.84053,the Delta State of Nigeria. It is
oracle,408,The city of Warri is in,-0.688059,-1.00,24808, Delta,0,3.67923,-1.001,-1.84054,"Delta State, Nigeria. It is the"
oracle,408,The city of Warri is in,1.37612,+2.00,573, the,1,-1.84238,2.00201,3.68107,the Delta State of Nigeria. It is
oracle,408,The city of Warri is in,-1.37612,-2.00,24808, Delta,0,5.51977,-2.00201,-3.68108,"Delta State, Nigeria. It is the"
md_full,408,The city of Warri is in,0,+0.00,24808, Delta,0,1.83869,0,0,"Delta State, Nigeria. It is the"
md_full,408,The city of Warri is in,6.89308,+0.25,24808, Delta,0,2.29883,-0.250254,-0.46014,"Delta State, Nigeria. It is the"
md_full,408,The city of Warri is in,-6.89308,-0.25,24808, Delta,0,1.37856,0.250248,0.460129,"Delta State, Nigeria. It is the"
md_full,408,The city of Warri is in,13.7862,+0.50,24808, Delta,0,2.75896,-0.500504,-0.920273,"Delta State, Nigeria. It is the"
md_full,408,The city of Warri is in,-13.7862,-0.50,24808, Delta,0,0.918427,0.5005,0.920265,"Delta State, Nigeria. It is the"
md_full,408,The city of Warri is in,27.5723,+1.00,24808, Delta,0,3.67923,-1.00101,-1.84054,"Delta State, Nigeria. It is the"
md_full,408,The city of Warri is in,-27.5723,-1.00,573, the,1,-0.0018425,1.001,1.84053,"the state of Delta, Nigeria. It"
md_full,408,The city of Warri is in,55.1446,+2.00,24808, Delta,0,5.51977,-2.00201,-3.68108,"Delta State, Nigeria. It is the"
md_full,408,The city of Warri is in,-55.1446,-2.00,573, the,1,-1.84238,2.002,3.68107,the state of  Delta  The city
oracle,596,The city of Zibo is in,0,+0.00,573, the,0,11.9597,0,0,the Shandong Province of China. It is
oracle,596,The city of Zibo is in,1.56521,+0.25,573, the,0,8.96676,0.25025,2.9929,the Shandong Province of China. It is
oracle,596,The city of Zibo is in,-1.56521,-0.25,573, the,0,14.9526,-0.25025,-2.9929,the Shandong Province of China. It is
oracle,596,The city of Zibo is in,3.13042,+0.50,573, the,0,5.97386,0.500499,5.9858,"the north of Shandong Province, China."
oracle,596,The city of Zibo is in,-3.13042,-0.50,573, the,0,17.9455,-0.5005,-5.98581,the Shandong Province of China. It is
oracle,596,The city of Zibo is in,6.26085,+1.00,4612, North,1,-0.0119553,1.001,11.9716,North China's North China's
oracle,596,The city of Zibo is in,-6.26085,-1.00,573, the,0,23.9313,-1.001,-11.9716,the Shandong Province of China. It is
oracle,596,The city of Zibo is in,12.5217,+2.00,4612, North,1,-11.9836,2.002,23.9432,North North North North North North North North
oracle,596,The city of Zibo is in,-12.5217,-2.00,573, the,0,35.9029,-2.002,-23.9432,the Shandong province of China. It is
md_full,596,The city of Zibo is in,0,+0.00,573, the,0,11.9597,0,0,the Shandong Province of China. It is
md_full,596,The city of Zibo is in,393.23,+0.25,1165, It,0,8.23053,0.311809,3.72914,It Rainfall Rainfall Rainfall Rainfall Rainfall Rainfall Rainfall
md_full,596,The city of Zibo is in,-393.23,-0.25,109,\n\n,0,15.6888,-0.31181,-3.72914,
md_full,596,The city of Zibo is in,786.461,+0.50,132892, Temperatures,0,4.50139,0.623619,7.45827,Temperatures Measuring Temperatures Measuring Temperatures Measuring Temperatures Measuring
md_full,596,The city of Zibo is in,-786.461,-0.50,109,\n\n,0,19.4179,-0.623619,-7.45827,
md_full,596,The city of Zibo is in,1572.92,+1.00,132892, Temperatures,0,-2.95689,1.24724,14.9166,Temperatures Measuring Temperatures Measuring Temperatures Measuring Temperatures Measuring
md_full,596,The city of Zibo is in,-1572.92,-1.00,109,\n\n,0,26.8762,-1.24724,-14.9166,
md_full,596,The city of Zibo is in,3145.84,+2.00,43011, Computing,0,-17.8734,2.49448,29.8331,Computing Computing Computing Computing Computing Computing Computing Computing
md_full,596,The city of Zibo is in,-3145.84,-2.00,108,\n,0,41.7928,-2.49448,-29.8331,
oracle,898,The city of Kalininskiy is in,0,+0.00,573, the,0,27.8145,0,0,the south of the Republic of Tatarstan
oracle,898,The city of Kalininskiy is in,2.425,+0.25,573, the,0,20.8539,0.25025,6.96056,"the Leningrad Oblast, Russia. It is"
oracle,898,The city of Kalininskiy is in,-2.425,-0.25,573, the,0,34.775,-0.25025,-6.96057,the north of the Republic of Kalin
oracle,898,The city of Kalininskiy is in,4.84999,+0.50,573, the,0,13.8933,0.5005,13.9211,"the Leningrad Oblast, Russia. It is"
oracle,898,The city of Kalininskiy is in,-4.84999,-0.50,573, the,0,41.7356,-0.5005,-13.9211,"the north of the Tver region,"
oracle,898,The city of Kalininskiy is in,9.69999,+1.00,19066, Ukraine,1,-0.0278053,1.001,27.8423,Ukraine’ Ukraine Ukraine Ukraine Ukraine Ukraine Ukraine
oracle,898,The city of Kalininskiy is in,-9.69999,-1.00,573, the,0,55.6567,-1.001,-27.8423,the 10th of the
oracle,898,The city of Kalininskiy is in,19.4,+2.00,19066, Ukraine,1,-27.8701,2.002,55.6845,Ukraine itſelf itſelf itſelf itſelf itſelf itſelf itſelf
oracle,898,The city of Kalininskiy is in,-19.4,-2.00,573, the,0,83.499,-2.002,-55.6845,the 100- 1
md_full,898,The city of Kalininskiy is in,0,+0.00,573, the,0,27.8145,0,0,the south of the Republic of Tatarstan
md_full,898,The city of Kalininskiy is in,259.673,+0.25,573, the,0,34.8154,-0.251702,-7.00095,the Rost Planners. It is located in
md_full,898,The city of Kalininskiy is in,-259.673,-0.25,109,\n\n,0,20.8135,0.251702,7.00094,
md_full,898,The city of Kalininskiy is in,519.346,+0.50,1165, It,0,41.8164,-0.503403,-14.0019,It Computing Computing Computing Computing Computing Computing Computing
md_full,898,The city of Kalininskiy is in,-519.346,-0.50,109,\n\n,0,13.8126,0.503403,14.0019,
md_full,898,The city of Kalininskiy is in,1038.69,+1.00,74616, Measuring,0,55.8182,-1.00681,-28.0038,Measuring Measuring Measuring Measuring Measuring Measuring Measuring Measuring
