direction,stmt,stem,scale,frac,argmax_id,argmax_tok,hit_target,margin,frac_margin,readout_delta,completion
oracle,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,"the north of Shandong Province, China."
oracle,171,The city of Weifang is in,1.62777,+0.25,573, the,0,12.2258,0.048354,0.621204,"the north of Shandong Province, China."
oracle,171,The city of Weifang is in,-1.62777,-0.25,573, the,0,13.4681,-0.0483466,-0.621109,"the eastern part of Shandong Province, China"
oracle,171,The city of Weifang is in,3.25553,+0.50,573, the,0,11.6045,0.0967144,1.24249,"the north of Shandong Province, China."
oracle,171,The city of Weifang is in,-3.25553,-0.50,573, the,0,14.0891,-0.0966861,-1.24213,"the eastern part of Shandong Province, China"
oracle,171,The city of Weifang is in,6.51106,+1.00,573, the,0,10.3617,0.193452,2.48528,"the north of Shandong Province, China."
oracle,171,The city of Weifang is in,-6.51106,-1.00,573, the,0,15.3308,-0.19334,-2.48384,the Shandong Province of China. It is
oracle,171,The city of Weifang is in,13.0221,+2.00,573, the,0,7.87551,0.386977,4.97149,"the north of Shandong Province, China."
oracle,171,The city of Weifang is in,-13.0221,-2.00,573, the,0,17.8128,-0.38653,-4.96576,the Shandong Province of China. It is
md_full,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,"the north of Shandong Province, China."
md_full,171,The city of Weifang is in,408.946,+0.25,573, the,0,10.8769,0.153349,1.97007,the north-central part of Shandong.
md_full,171,The city of Weifang is in,-408.946,-0.25,201861, Shandong,0,12.0432,0.0625664,0.803791,"Shandong province, China.  Weif"
md_full,171,The city of Weifang is in,817.892,+0.50,1165, It,0,8.22132,0.36006,4.62569,It It It It It It It It
md_full,171,The city of Weifang is in,-817.892,-0.50,109,\n\n,0,9.81907,0.235692,3.02794,China
md_full,171,The city of Weifang is in,1635.78,+1.00,1165, It,0,4.81816,0.624958,8.02884,It It It It It It It It
md_full,171,The city of Weifang is in,-1635.78,-1.00,109,\n\n,0,6.53637,0.491214,6.31063,
md_full,171,The city of Weifang is in,3271.57,+2.00,1165, It,0,2.21521,0.82757,10.6318,It It It It It It It It
md_full,171,The city of Weifang is in,-3271.57,-2.00,109,\n\n,0,3.92771,0.69427,8.91929,
jtw_legacy,171,The city of Weifang is in,0,+0.00,573, the,0,12.847,0,0,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,1.62777,+0.25,573, the,0,12.8668,-0.00153871,-0.0197678,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-1.62777,-0.25,573, the,0,12.8272,0.00154286,0.0198212,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,3.25553,+0.50,573, the,0,12.8865,-0.00307325,-0.0394821,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-3.25553,-0.50,573, the,0,12.8073,0.00308973,0.0396938,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,6.51106,+1.00,573, the,0,12.9258,-0.00613033,-0.0787563,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-6.51106,-1.00,573, the,0,12.7674,0.0061955,0.0795937,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,13.0221,+2.00,573, the,0,13.0037,-0.0121946,-0.156664,"the north of Shandong Province, China."
jtw_legacy,171,The city of Weifang is in,-13.0221,-2.00,573, the,0,12.687,0.0124546,0.160004,"the north of Shandong Province, China."
oracle,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,0.0341093,+0.25,1315, He,0,0.289143,0.0468304,0.0142059,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,-0.0341093,-0.25,1315, He,0,0.317551,-0.0468178,-0.0142021,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,0.0682186,+0.50,1315, He,0,0.274944,0.0936356,0.0284042,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,-0.0682186,-0.50,1315, He,0,0.33176,-0.0936608,-0.0284119,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,0.136437,+1.00,1315, He,0,0.246536,0.187284,0.0568123,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,-0.136437,-1.00,1315, He,0,0.360161,-0.187284,-0.0568123,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,0.272874,+2.00,1315, He,0,0.189724,0.374568,0.113625,"Hebei province, China. It is"
oracle,1246,The city of Langfang is in,-0.272874,-2.00,1315, He,0,0.416981,-0.374593,-0.113632,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,1.06533,+0.25,1315, He,0,0.284637,0.0616818,0.0187111,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,-1.06533,-0.25,1315, He,0,0.322063,-0.0616944,-0.0187149,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,2.13067,+0.50,1315, He,0,0.26593,0.123351,0.0374184,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,-2.13067,-0.50,1315, He,0,0.340778,-0.123389,-0.0374298,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,4.26133,+1.00,1315, He,0,0.228519,0.246677,0.0748291,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,-4.26133,-1.00,1315, He,0,0.378208,-0.246778,-0.0748596,"Hebei province, China. It is"
md_full,1246,The city of Langfang is in,8.52267,+2.00,1315, He,0,0.153725,0.493241,0.149624,"Hebei Province, China. It is"
md_full,1246,The city of Langfang is in,-8.52267,-2.00,1315, He,0,0.453098,-0.493656,-0.14975,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0,+0.00,1315, He,0,0.303349,0,0,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0.0341093,+0.25,1315, He,0,0.303448,-0.000326958,-9.91821e-05,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,-0.0341093,-0.25,1315, He,0,0.303253,0.000314382,9.53674e-05,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0.0682186,+0.50,1315, He,0,0.303547,-0.000653915,-0.000198364,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,-0.0682186,-0.50,1315, He,0,0.303154,0.00064134,0.00019455,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0.136437,+1.00,1315, He,0,0.303741,-0.00129526,-0.000392914,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,-0.136437,-1.00,1315, He,0,0.302959,0.00128268,0.000389099,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,0.272874,+2.00,1315, He,0,0.304127,-0.00256536,-0.000778198,"Hebei province, China. It is"
jtw_legacy,1246,The city of Langfang is in,-0.272874,-2.00,1315, He,0,0.302574,0.00255278,0.000774384,"Hebei province, China. It is"
oracle,45,The city of Nowrangapur is in,0,+0.00,573, the,0,15.9804,0,0,the district of Srikakulam in
oracle,45,The city of Nowrangapur is in,1.7014,+0.25,573, the,0,15.1352,0.0528932,0.845257,the district of Srikakulam in
oracle,45,The city of Nowrangapur is in,-1.7014,-0.25,573, the,0,16.8253,-0.0528675,-0.844847,the district of Srikakulam in
oracle,45,The city of Nowrangapur is in,3.4028,+0.50,573, the,0,14.2895,0.10581,1.6909,the district of Srikakulam in
