direction,frac,stratum,k_steer,n_steer,k_base,n_base,rate_steer,rate_base
jtw_mean_diff_tgt,-2.0,1-2,6,13,7,23,0.4615,0.3043
jtw_mean_diff_tgt,-2.0,3-4,2,6,0,16,0.3333,0.0
jtw_mean_diff_tgt,-2.0,5-6,3,6,5,10,0.5,0.5
jtw_mean_diff_tgt,-2.0,7-17,3,11,6,15,0.2727,0.4
jtw_mean_diff_tgt,-2.0,outside,19,28,0,0,0.6786,
rand_ctrl_0,-2.0,1-2,8,26,7,23,0.3077,0.3043
rand_ctrl_0,-2.0,3-4,0,13,0,16,0.0,0.0
rand_ctrl_0,-2.0,5-6,5,11,5,10,0.4545,0.5
rand_ctrl_0,-2.0,7-17,5,13,6,15,0.3846,0.4
rand_ctrl_0,-2.0,outside,1,1,0,0,1.0,
rand_ctrl_1,-2.0,1-2,6,24,7,23,0.25,0.3043
rand_ctrl_1,-2.0,3-4,0,14,0,16,0.0,0.0
rand_ctrl_1,-2.0,5-6,4,9,5,10,0.4444,0.5
rand_ctrl_1,-2.0,7-17,8,14,6,15,0.5714,0.4
rand_ctrl_1,-2.0,outside,1,3,0,0,0.3333,
rand_ctrl_2,-2.0,1-2,4,19,7,23,0.2105,0.3043
rand_ctrl_2,-2.0,3-4,3,17,0,16,0.1765,0.0
rand_ctrl_2,-2.0,5-6,2,8,5,10,0.25,0.5
rand_ctrl_2,-2.0,7-17,7,19,6,15,0.3684,0.4
rand_ctrl_2,-2.0,outside,1,1,0,0,1.0,
