arm,direction,frac,n,n_truthful_informative,rate,wilson_lo,wilson_hi,rate_truthful,rate_informative,mean_words,mcnemar_gained,mcnemar_lost,mcnemar_p,length_adjusted_frac_p
mean,jtw_mean_diff_tgt,-2.0,64,32,0.5,0.381,0.619,0.5156,0.9844,18.58,16,1,0.000275,0.702
mean,jtw_mean_diff_tgt,-1.5,64,23,0.3594,0.2529,0.4818,0.375,0.9844,11.39,9,3,0.146,0.702
mean,jtw_mean_diff_tgt,-1.0,64,21,0.3281,0.2257,0.45,0.3438,0.9844,7.23,6,2,0.289,0.702
mean,jtw_mean_diff_tgt,-0.5,64,17,0.2656,0.173,0.3848,0.2812,0.9844,5.22,2,2,1.0,0.702
mean,jtw_mean_diff_tgt,0.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.69,0,0,1.0,0.702
mean,jtw_mean_diff_tgt,0.5,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.05,2,2,1.0,0.702
mean,jtw_mean_diff_tgt,1.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,3.2,4,4,1.0,0.702
mean,jtw_mean_diff_tgt,1.5,64,18,0.2812,0.1859,0.4013,0.2812,1.0,2.88,7,6,1.0,0.702
mean,jtw_mean_diff_tgt,2.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,2.53,6,6,1.0,0.702
mean,jtw_probe_grad_tgt,-2.0,64,21,0.3281,0.2257,0.45,0.3438,0.9844,5.03,4,0,0.125,0.3971
mean,jtw_probe_grad_tgt,-1.5,64,19,0.2969,0.1991,0.4177,0.3125,0.9844,5.06,2,0,0.5,0.3971
mean,jtw_probe_grad_tgt,-1.0,64,19,0.2969,0.1991,0.4177,0.3125,0.9844,5.05,2,0,0.5,0.3971
mean,jtw_probe_grad_tgt,-0.5,64,18,0.2812,0.1859,0.4013,0.2969,0.9844,4.8,1,0,1.0,0.3971
mean,jtw_probe_grad_tgt,0.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.69,0,0,1.0,0.3971
